Key,Spanish
actor.adjective.frivolous,Frívolo
actor.adjective.greedy,Codicioso
actor.adjective.indifferent,Indiferente
actor.adjective.intemperate,Impulsivo
actor.adjective.jealous,Celoso
actor.adjective.mean,Rencoroso
actor.adjective.melancholy,Melancólico
actor.adjective.sarcastic,Sarcástico
actor.adjective.subtle,Refinado
actor.adjective.trusting,Crédulo
actor.adjective.weakpowered,Débil
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Los ataques a un campesino sin provocación previa causarán <hint=hint_terror_peasants>terror</hint></red>.
actor.appoint.nominate_enemy.lord,<red>Los ataques a un señor sin provocación previa causarán <hint=hint_terror_lord>terror</hint></red>.
actor.appoint.nominate_enemy.guest,"<red>Atacar a un invitado, independientemente de lo que haya hecho, se considerará una violación de la sagrada ley de la hospitalidad.</red>

$ Relación entre {soul_uuid_performer_king} y {soul_uuid_target}: <red>{relations_modify_target}</red>

<b>CONSEJO</b>: para resolver conflictos, es mejor usar un <hint=hint_duel>duelo</hint>."
actor.appoint.nominate_enemy.bishop,"<red>El ataque a un miembro de la Familia Feliz, independientemente del motivo, se considerará un motivo para que tu ciudad reciba un castigo por parte de la <hint=hint_inquisitors>Inquisición</hint></red>."
actor.age,{age} años
actor.age_short,{age} años
actor.class.unarmed,Sin armas
actor.class.l_archer,Arquero ligero
actor.class.axeman,Hachero
actor.class.guard,Guardia
actor.class.h_axeman,Hachero pesado
actor.class.faceless_axeman,Luchador de la Horda Impía
actor.class.h_hammerhead,Macero pesado
actor.class.h_spearman,Lancero pesado
actor.class.h_swordman,Espadachín pesado
actor.class.hammerhead,Macero
actor.class.l_spearman,Lancero ligero
actor.class.outcast,Marginado
actor.class.spearman,Lancero
actor.class.swordman,Espadachín
actor.class.light_archer,Arquero sin armadura (nv. 3-5)
actor.class.light_hammerhead,Macero sin armadura (nv. 3-5)
actor.class.light_spearman,Lancero sin armadura (nv. 3-5)
actor.class.light_axeman,Hachero con escudo y sin armadura (nv. 3-5)
actor.class.middle_archer,Arquero con armadura ligera (nv. 8-11)
actor.class.middle_hammerhead,Macero con escudo y armadura ligera (nv. 8-11)
actor.class.middle_spearman,Lancero con escudo y armadura ligera (nv. 8-11)
actor.class.heavy_axeman,Hachero con escudo y armadura pesada (nv. 13-17)
actor.class.heavy_swordman,Espadachín con escudo y armadura pesada (nv. 13-17)
actor.class.lord,Señor espadachín con escudo y armadura pesada
actor.dignity.king,Gobernante
actor.events,EVENTOS
actor.events_date,FECHA
actor.knowledge,CONOCIMIENTO
actor.hint.battle_skill,Nivel de habilidad Combate
actor.hint.crimes.caption,Crímenes
actor.hint.injury.caption,Lesiones
actor.hint.injury.pain_level,Nivel de dolor: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Umbral de dolor:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - El riesgo de infección permanece
actor.hint.sin.caption,Pecados
actor.hint.sin.piety_impact,Influencia en el humor: {piety_impact}
actor.impact_on_person,ACCIÓN
actor.inventory,INVENTARIO
actor.log.today,Hoy
actor.log.days_before,Hace {day} días
actor.log.yesterday,Ayer
actor.loyalty,Lealtad {loyalty} %
menu.battle_result.win,¡Victoria!
menu.battle_result.lose,Derrota
menu.battle_result.deployed,Desplegado
menu.battle_result.died,Muerto
menu.battle_result.escaped,Huido
menu.battle_result.captured,Capturado
actor.menu.appoint.hunt,De cacería
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,PENSAMIENTOS
actor.moral,HUMOR
actor.motive.energy,Sueño
actor.motive.food,Comida
actor.motive.rest,Descanso
actor.motive.religion,Piedad
actor.motive.sex,Sexo
actor.motive.care,Cariño
actor.noun.adventurer,Aventurero
actor.noun.depraved,Libertino
actor.noun.fatalist,Fatalista
actor.noun.flatterer,Adulador
actor.noun.genius,Genio
actor.noun.introvert,Introvertido
actor.noun.moron,Simple
actor.noun.mystic,Místico
actor.noun.narcissist,Narcisista
actor.noun.rude,Rufián
actor.noun.shameless,Pervertido
actor.noun.skeptic,Escéptico
actor.noun.workaholic,Adicto al trabajo
actor.opinion.choose_factions.province_hint,En el mapa local
actor.opinion.interest,Interés:
actor.opinion.interest.high,Alto
actor.opinion.interest.low,Bajo
actor.opinion.interest.middle,Medio
actor.opinion.no_minds,Sin pensamientos
actor.opinion.opinion_of,Opinión de {name}:
actor.opinion.opinion_of_me,Opinión de {name} de mí:
actor.opinion.opinion_of_third_person,Opinión de {name_2} de {name}:
actor.opinion.special.deadly_enemy,Enemigo mortal
actor.opinion.special.enemy,Enemigo
actor.opinion.special.friend,Amigo
actor.opinion.special.like,Buena relación
actor.opinion.special.love,Interés romántico
actor.part_of_nature,RASGOS DE PERSONALIDAD
actor.punish.execute,Ejecutar
actor.punish.expel,Exiliar
actor.punish.imprison,Mantener como rehén
actor.desire,DESEO
actor.skill.command,Mando
actor.skill.education,Enseñanza
actor.skill.fight,Combate
actor.skill.knowledge,Inteligencia
actor.skill.management,Gestión
actor.skill.manners,Modales
actor.skill.negotiation,Comercio
actor.skill.oratory,Persuasión
actor.skill.points_remain,Puntos de experiencia necesarios para el siguiente nivel: {number}
actor.skills,HABILIDADES
actor.skills_training,ENTRENAMIENTO
actor.skills.level,{level}
actor.skill_category.rhetoric,Retórica
actor.skill_category.economic,Economía
actor.skill_category.philosophy,Filosofía
actor.skill_category.warcraft,Guerra
actor.stata.bandit,Bandido
actor.stata.thug,Criminal
actor.states,ESTADOS
actor.strata.animal,Animal
actor.strata.slave,Prisionero
actor.traits,ESTADO
building.hostel,Dormitorio
building.library,Biblioteca
building.armorsmith,Forja de armaduras
building.barracks,Barracones
building.brewery,Destilería
building.caption_with_level,{building_name} de nivel {level}
building.castle,Salón de reuniones
building.chancellery,Cancillería
building.church,Templo
building.altar,Altar
building.coal_burner,Horno de carbón
building.coal_furnace,Horno de carbón
building.coal_mine,Mina de carbón
building.description.burned,Este edificio lo ha destruido el fuego. Solo queda demolerlo.
building.farm,Granja
building.forge,Forja de armas
building.hall_storage,Almacén del salón
building.herbalist,Herbolario
building.house,Casa de campesino
building.menu.appoint.church,SERMÓN
building.menu.appoint.training,ENTRENAMIENTO
building.menu.appoint.gallows,CASTIGO
building.menu.appoint.chancellery,CANCILLER
building.menu.appoint.culture,CULTURA
building.menu.appoint.appoint_culture,señalar
building.menu.castle.builders,CONSTRUCTORES
building.menu.castle.servants,SIRVIENTES
building.menu.gallows.terror,Terror
building.menu.gallows.executers,VERDUGOS
building.menu.in_stock,EN EL ALMACÉN
building.menu.required_resources,NECESARIO
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,RESIDENTES
building.menu.service.attendance,Asistencia
building.menu.service.inspection,POLÍTICA
building.menu.service.revenue,Ingresos
building.menu.combat_training.number_of_places,ENTRENAMIENTO SIMULTÁNEO
building.menu.sold,VENDIDO
building.menu.trader,COMERCIANTE
building.menu.special_button.auto_repair,Autorreparar
building.menu.special_button.abort,Cancelar
building.menu.special_button.destroy,Destruir
building.menu.special_button.relocate,Mover
building.menu.special_button.repair,Reparar
building.menu.special_button.upgrade,Mejorar
building.menu.special_button.upgrade_workplace,#ERROR!
building.menu.status.breakdown,Análisis
building.menu.status.need_charge,Granja agotada.
building.menu.status.burned_full,Destruido por el fuego.
building.menu.status.burned_partially,Parcialmente quemado.
building.menu.status.burning,¡Fuego en el edificio!
building.menu.status.church,Fanáticos religiosos en la ciudad: {fanatics_percent} %
building.menu.status.construction,Construcción en curso.
building.menu.status.construction_template,{status} ({progress} %) Completado
building.menu.status.demolition,Desmontaje en curso.
building.menu.status.extinguishing,Labores de extinción en curso.
building.menu.status.harvest.after_tomorrow,La cosecha se recogerá pasado mañana.
building.menu.status.harvest.n_days,Recogerán las cosechas dentro de {days} días.
building.menu.status.harvest.today,Recogerán las cosechas hoy.
building.menu.status.harvest.tomorrow,Recogerán las cosechas mañana.
building.menu.status.no_tasks,Crea un pedido en el menú Producción.
building.menu.status.fertilize,Fertilidad: {number} %
building.menu.status.produce,En producción: {resource} ({progress} %)
building.menu.status.raw_not_enough,Recursos insuficientes para producción.
building.menu.status.relocate,Recolocación en curso.
building.menu.status.repair,Reparación en curso.
building.menu.status.upgrade,Mejora en curso.
building.menu.status.work_time,Horario laboral de {work_hour_begin} a {work_hour_end}
building.menu.status.works_fine,Trabajando normalmente
building.menu.status.pig_farm_need_to_charge,Se necesita cargar con colinabo
building.menu.status.need_inspector,Necesita el nombramiento de un gestor
building.menu.status.need_inspection,Instrucciones no recibidas
building.menu.status.need_paper_charge,Se necesita cargar con papel
building.menu.tavern.allow_nectar,Permite néctar
building.menu.temple.donation,Donaciones
building.menu.temple.priest,SACERDOTE
building.menu.workplace.appoint_inspector,Asignar
building.menu.workplace.inspection,GESTIÓN
building.menu.workplace.priority,Prioridad
building.menu.workplace.produced_today,PRODUCIDO HOY
building.menu.workplace.bonus_slave,Bonificación de prisioneros: {bonus_slave}
building.menu.workplace.bonus_addicted,Bonificación de los adictos: {bonus_addicted}
building.menu.workplace.bonus_culture,Bonificación del conocimiento de los {culture}: {bonus_culture}
building.menu.workplace.statistics,ESTADÍSTICAS
building.menu.workplace.workers,TRABAJADORES
building.menu.workplace.workers.free,Campesinos
building.menu.workplace.workers.slaves,Prisioneros
building.menu.workplace.addicted,Adictos
building.menu.patrollers,Estandarte de patrulla
building.menu.radius,Radio de la patrulla
building.menu.combat_max,Nivel máximo de combate
building.menu.max_pain,NIVEL MÁXIMO DE DOLOR
menu.patrol_sign.description,Lugar de patrulla para guerreros
building.mine,Mina
building.noble_house,Casa del señor
building.paper_factory,Taller de papel
building.slaves_barrack,Prisión
building.temple.preach.doubt,Sermón de duda
building.temple.preach.faith,Sermón de fe
building.farm.pig_farm_charge_abort,Cancelar carga
building.farm.pig_farm_charge,Cargar con colinabo
building.gallows.crimes,Crímenes
building.gallows.punishments,Castigos
building.gallows.change,Cambiar
building.training_field,Campo de entrenamiento
building.woodcutter,Serrería
building.workshop,Taller
building.gallows,Patíbulo
building.market,Mercado
building.storage,Almacén
building.tavern,Taberna
building.drug_deg,Antro
building.rye_farm,Campo de centeno
building.hop_farm,Campo de lúpulo
building.swede_farm,Campo de colinabo
building.pig_farm,Granja de cerdos
building.mill,Molino
building.alchimestry,Laboratorio de alquimia
building.melting_furnace,Fundición
building.patrol_sign,Patrulla nocturna
display_event.actor_complete_action_task_on_gm,{name} ha completado la tarea: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} no ha podido completar la tarea.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} ha llegado a {town_name}.
display_event.actors_married,{name_1} y {name_2} están prometidos.
display_event.new_genius_king,Rumor: conquistadores
display_event.defence_alliance.squad_arrived,¡Han llegado los refuerzos de {faction_name}!
display_event.defence_alliance.squad_created,¡Se han reunido refuerzos y los han puesto bajo tu mando!
display_event.defence_alliance.leave.time_expired,La estancia de los refuerzos ha terminado. Vuelven a casa.
display_event.defence_alliance.leave.battle_finished,Los refuerzos te han ayudado y ya vuelven a casa.
display_event.defence_alliance.leave.defence_alliance_broken,"Tu alianza con {faction_name} se ha disuelto, así que los refuerzos vuelven a casa antes de tiempo."
display_event.defence_alliance.leave.no_one_is_attacking_player,Ya no estás bajo amenaza; los refuerzos vuelven a casa.
display_event.defence_alliance.leave.other_reason,Los refuerzos vuelven a casa antes de tiempo.
display_event.got_title,Se le ha otorgado a {name} el título de señor.
display_event.kid_need_title,A {name} le hará falta pronto un título de señor.
display_event.storage_robbery_gold,¡Unos ladrones han robado {number} de oro!
display_event.squad_go_to_take_equipment,Los guerreros están cogiendo sus armas del almacén. Espera un momento...
display_event.no_servants_in_hall,¡No hay sirvientes en el salón de reuniones!
display_event.squad_take_all_equipment,¡Los guerreros están armados y listos!
display_event.horde_apeears,Aparición de la Horda Impía
display_event.horde_gossip,Rumor: una nueva secta herética en tierras lejanas
display_event.new_fraction,Nacimiento de una nueva casa noble: {faction_name}
display_event.fraction_death,Caída de una casa noble: {faction_name}
display_event.horde_murder_faction,La Horda Impía ha destruido otra casa noble.
display_event.horde_crisis_finish,La Horda Impía ha abandonado las tierras de Norland.
display_event.forecast,Predicción de precios obtenida {resource}
display_event.village_tribute,{village_name}: pagando tributo
display_event.bandits_at_the_gate,¡Escuadra hostil cerca!
display_event.army_at_the_gate,¡Escuadra hostil cerca!
display_event.enemy_attack_city,¡El enemigo está lanzando un ataque!
display_event.free_lord_expired,El contrato del señor ha expirado.
display_event.free_lord_low_loyalty,El señor libre ha perdido lealtad.
display_event.terror_lords,¡Terror entre los señores!
display_event.terror_peasants,¡Terror entre los campesinos!
display_event.bandits_prepare_to_attack,Los bandidos se están preparando para atacar tu ciudad.
display_event.caravan_arrive,La Caravana Sagrada ha llegado a la ciudad.
display_event.free_lord_arrive,Un señor libre está esperando a ser reclutado.
display_event.character_bleeding,Un personaje tiene una hemorragia.
display_event.fire,Se ha declarado un incendio.
display_event.slaves_hungry,Comprueba que los prisioneros estén recibiendo suficiente comida en el menú Economía.
display_event.dummy_little_beer,Comprueba que los personajes estén recibiendo suficiente alcohol en el menú Economía.
display_event.dummy_little_food,Comprueba que los prisioneros estén recibiendo suficiente comida en el menú Economía.
display_event.dummy_many_homeless,Construye más alojamientos.
display_event.high_fanaticism_level,Un sermón de duda en el templo puede reducir el fanatismo.
display_event.low_dummy_happiness,Presta atención a los pensamientos negativos más frecuentes.
display_event.not_enough_barracks,Construye más barracones.
display_event.not_enough_equipment,Compra equipo a la Caravana o créalo por tu cuenta.
display_event.not_enough_taverns,Construye más tabernas.
display_event.not_enough_temples,Construye más templos.
display_event.too_much_unemploe,"Para reducir el desempleo, baja el humor promedio, y por tanto la inmigración."
display_event.high_prices,Los campesinos compran mercancías a la Caravana Sagrada.
display_event.hired_soldiers_arrive,Los guerreros reclutados han llegado.
display_event.migrants_arrive,Han llegado {number} inmigrantes.
display_event.knowledge_interaction,{name} está estudiando {knowledge}: {progress} %
display_event.book_writing,{name} está escribiendo un libro de {knowledge}: {progress} %
display_event.not_enough_knowledge_paper,No hay suficiente papel para escribir un libro: {name}
display_event.knowledge_too_hard_again,{name} ya no puede aprender: {knowledge}
display_event.not_enough_resources,Recursos insuficientes.
display_event.building_breakdown,El edificio está estropeado.
display_event.farm_depleted,El suelo de la granja está agotado.
display_event.farm_soon_depleted,El suelo de la granja se agotará pronto.
display_event.not_enough_workers,Trabajadores insuficientes.
display_event.wheat_destroyed,Las cosechas se han perdido debido a la sequía.
display_event.building_needs_direct_contol,El edificio necesita control directo para funcionar.
display_event.building_without_inspector,El edificio necesita un gestor.
display_event.order_complete,{value} de {resource}: ¡pedido completado!
display_event.building_without_instruction,Los trabajadores no han recibido instrucciones hoy.
display_event.resources_stolen,¡Robo de recursos! {value} de {resource}
display_event.thugs_appear,Han aparecido criminales en la ciudad.
display_event.wolf_attack,¡Ataque de lobos devoradores!
display_event.no_meds,¡Ungüento finalizado!
display_event.quest_result,Resultado: {quest_name}
display_event.battle_result,Resultados de la batalla
display_event.battle_start,¡Nueva batalla!
display_event.new_quest,{name}
display_event.new_book,Se ha creado una nueva copia de un libro: {knowledge}
display_event.new_knowledge,Conocimiento aprendido: {knowledge}
display_event.slave_escape,Un prisionero está intentando escapar.
display_event.unhappy_lord,Tu señor está descontento.
display_event.actor_dont_work,"Debido al mal humor, {name} se niega a completar tus tareas."
