Key,Czech
main_menu.save_and_exit,Uložit a ukončit
main_menu.start,Začít
main_menu.back,Zpět
menu.problems,Problémy
adv_tutorial.obj_build_sawmill_place_text,Tady postav pilu.
adv_tutorial.obj_build_field_place_text,Tady založ tuřínové pole.
adv_tutorial.obj_build_taverna_place_text,Tady postav krčmu.
adv_tutorial.obj_build_generic_place_text,Umístit sem
notification.tutorial.ambush,Zbojníci útočí!
loading_screen,Načítá se...
loading_screen.ingame.misc_loading,Načítají se data
loading_screen.ingame.gui_init,Vytváří se rozhraní
loading_screen.ingame.save_game_load,Načítá se uložená hra
loading_screen.ingame.new_game_load,Spouští se nová hra
loading_screen.ingame.gui_system,Spouští se systém rozhraní
loading_screen.ingame.map_cells,Vytváří se buňky mapy
loading_screen.ingame.trade_manager,Spouští se správce obchodu
loading_screen.ingame.local_map_controller,Načítá se ovladač místní mapy
loading_screen.ingame.province_controller,Načítají se data provincie
loading_screen.ingame.global_map,Načítá se externí mapa
loading_screen.ingame.battle_injuty_lottery,Načítají se šance na zranění v boji
loading_screen.ingame.game_system_init,Spouštějí se herní systémy
loading_screen.ingame_unloading,Vykládají se herní suroviny
loading_screen.caching_textures,Textury se ukládají do mezipaměti
loading_screen.game_vars,Načítají se herní proměnné
loading_screen.audio,Spouští se systém zvuků
loading_screen.animations,Načítají se animace
loading_screen.building_assets,Načítají se prvky budov
loading_screen.actor_assets,Načítají se prvky aktérů
loading_screen.traits,Načítají se vlastnosti
loading_screen.minds,Načítají se myšlenky
loading_screen.tantrums,Načítají se záchvaty
loading_screen.activity,Načítají se aktivity
loading_screen.game_data,Načítají se herní data
loading_screen.building_constructions,Načítají se stavby budov
loading_screen.banners,Načítají se prapory
loading_screen.gui,Načítá se rozhraní
loading_screen.hints,Načítá se nápověda
loading_screen.rich_string,Načítají se bohaté texty
loading_screen.knowledge_localization,Načítá se lokalizace znalostí
loading_screen.saves_and_maps,Načítá se svět a uložené seznamy
loading_screen.done,Načítání je kompletní.
encyclopedia.help,NÁPOVĚDA
encyclopedia.category.battle,Boj
encyclopedia.category.economics,Ekonomika
encyclopedia.category.characters,Postavy
encyclopedia.category.mechanics,Mechanismy
encyclopedia.category.hints,Tipy
encyclopedia.category.global_map,Mapa
encyclopedia.search,Vyhledat...
action_task.skill_training_caption,Učení schopnosti {skill_name}
actor.relations.filter.location,Poblíž
actor.relations.filter.kings,Králové
actor.relations.filter.friends,Přátelé
actor.relations.filter.enemies,Nepřátelé
actor.relations.filter.can_seduce,Lze svést
action_task.category.king,Král
action_task.category.social,Společenské
action_task.category.bishop,Biskup
action_task.sub_category.social,Komunikace
action_task.sub_category.intrigue,Intriky
actor.action_task.begging,Prosit o odpuštění
actor.action_task.nominate_enemy,Prohlásit za nepřítele
actor.action_task_hunt,Lov vlků
actor.action_task_sick_visit,Navštívit nemocné
actor.action_task.marriage,Uzavřít manželství
actor.action_task.bribe,Úplatek
actor.action_task.punish,Potrestat
actor.action_task.reward,Odměnit
actor.action_task.rumors,Rozšířit drby
actor.action_task.spent_time,Strávit čas
actor.action_task.invite,Pozvat
actor.action_task.teach,Vzdělat
actor.action_task.threat,Vyhrožovat
actor.action_task.trade,Obchodovat
actor.action_task.make_free,Osvobodit
actor.action_task.seduction,Svést
actor.action_task.donate,Dar králi
actor.action_task.kill,Zabít
actor.action_task.poison,Otrávit
actor.action_task.play_dice,Hrát kostky
actor.action_task.depart,Vyhnat
actor.action_task.duel_call,Vyzvat na souboj
actor.action_task.duel_provocation,Vyprovokovat k souboji
actor.action_task.free_lord_hire,Najmout lorda
actor.action_task.send_guest,Poslat hosta
actor.action_task.king_tribute,Nabídka
actor.action_task.confession,Vyzpovídat
actor.action_task.kidnap,Zajmout
actor.action_task.free_captive,Propustit
actor.action_task.forced_sex,Donutit k sexu
actor.action_task.appoint_an_heir,Prohlásit za dědice
actor.action_task.go_home,Poslat domů
actor.action_task.sex_with_dummy,Návrh
actor.action_task.new_heir,Ustanovit jako dědice
actor.action_task.canonization,Požehnání
actor.action_task.divorce,Rozvést
actor.action_task.consolation,Utěšit
actor.action_task.give_title_to_hired_free_lord,Udělit titul
actor.action_task.give_title_to_soldier,Udělit titul
actor.action_task.take_title,Sebrat šlechtický titul
actor.action_task.join_captive,Propustit a přijmout
actor.action_task.new_king,Předat korunu
actor.appoint_in_town,Ve městě {town_name}
actor.appoint_in_this_town,V tomto městě
actor.appoint.our_lords,Naši lordi
actor.appoint.other_lords,Ostatní lordi
actor.action.training,VÝCVIK
actor.action.conversation,VYJEDNÁVÁNÍ
actor.action.army.on_local_map,Na místní mapě
actor.action.army.on_global_map,Na globální mapě
actor.action.army,VOJSKO
actor.action.executor,AKTÉR
actor.action.executor_replace,VYMĚNIT
actor.action.teacher,UČITEL
actor.action.chancellery_any,Libovolné kancléřství
actor.action.punishment,TREST
actor.action.teach,UČIT SE
actor.action.person,KOHO?
actor.action.different_actions,AKCE
actor.action.trade,OBCHOD
actor.action_task.invite_guest,Pozvat do provincie
actor.status.on_global_map,Na globální mapě
actor.status.on_global_map_lost,Pohřešuje se
actor.status.in_army,V četě na globální mapě
actor.status.in_travel,Cestuje
actor.status.in_object,V budově {object_name}
actor.adjective.addicted_to_drink,Sklony k pití
actor.adjective.ambitious,Ctižádost
actor.adjective.angry,Pomstychtivost
actor.adjective.arrogant,Namyšlenost
actor.adjective.ascetic,Asketismus
actor.adjective.bloodthirsty,Krvežíznivost
actor.adjective.contemptuous,Pohrdavost
actor.adjective.contradictory,Protikladnost
actor.adjective.emotional,Citlivost
actor.adjective.envious,Závistivost
actor.adjective.friendly,Přátelskost
actor.adjective.frivolous,Lehkovážnost
actor.adjective.greedy,Hamižnost
actor.adjective.indifferent,Lhostejnost
actor.adjective.intemperate,Vznětlivost
actor.adjective.jealous,Žárlivost
actor.adjective.mean,Záštiplnost
actor.adjective.melancholy,Sklíčenost
actor.adjective.sarcastic,Jízlivost
actor.adjective.subtle,Vytříbenost
actor.adjective.trusting,Hloupost
actor.adjective.weakpowered,Slabošství
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Nevyprovokované útoky vůči rolníkovi způsobí <hint=hint_terror_peasants>teror</hint></red>
actor.appoint.nominate_enemy.lord,<red>Nevyprovokované útoky vůči lordovi způsobí <hint=hint_terror_lord>teror</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Napadení hosta – nehledě na to, co udělal cokoliv – se bude považovat za porušení posvátného práva pohostinnosti.</red>

$ Vztah mezi postavami {soul_uuid_performer_king} a {soul_uuid_target}: <red>{relations_modify_target}

</b>TIP</b>: Konflikty je lepší řešit pomocí <hint=hint_duel>soubojů</hint>."
actor.appoint.nominate_enemy.bishop,"<red>Útok na člena Milující rodiny, ať už udělal cokoliv, se bude považovat za důvod, aby tvoje město potrestala <hint=hint_inquisitors>inkvizice</hint></red>"
actor.age,{age} let
actor.age_short,{age} let
actor.class.unarmed,Beze zbraně
actor.class.l_archer,Lehký lučištník
actor.class.axeman,Sekerník
actor.class.guard,Stráž
actor.class.h_axeman,Těžký sekerník
actor.class.faceless_axeman,Bojovník Nesvaté hordy
actor.class.h_hammerhead,Těžký palcátník
actor.class.h_spearman,Těžký kopiník
actor.class.h_swordman,Těžký šermíř
actor.class.hammerhead,Palcátník
actor.class.l_spearman,Lehký kopiník
actor.class.outcast,Vyděděnec
actor.class.spearman,Kopiník
actor.class.swordman,Šermíř
actor.class.light_archer,Úr. 3-5 Lučištník beze zbroje
actor.class.light_hammerhead,Úr. 3-5 Palcátník beze zbroje
actor.class.light_spearman,Úr. 3-5 Kopiník beze zbroje
actor.class.light_axeman,Úr. 3-5 Sekerník se štítem beze zbroje
actor.class.middle_archer,Úr. 8-11 Lučištník v lehké zbroji
actor.class.middle_hammerhead,Úr. 8-11 Palcátník v lehké zbroji se štítem
actor.class.middle_spearman,Úr. 8-11 Kopiník v lehké zbroji se štítem
actor.class.heavy_axeman,Úr. 13-17 Sekerník v těžké zbroji se štítem
actor.class.heavy_swordman,Úr. 13-17 Šermíř v těžké zbroji se štítem
actor.class.lord,Šlechtický šermíř v těžké zbroji se štítem
actor.dignity.king,Vládce
actor.events,UDÁLOSTI
actor.events_date,DATUM
actor.knowledge,ZNALOSTI
actor.hint.battle_skill,Úroveň bojové schopnosti
actor.hint.crimes.caption,Zločiny
actor.hint.injury.caption,Zranění
actor.hint.injury.pain_level,Úroveň bolesti: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Práh bolesti:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Riziko infekce zůstává
actor.hint.sin.caption,Hříchy
actor.hint.sin.piety_impact,Vliv na náladu: {piety_impact}
actor.impact_on_person,AKCE
actor.inventory,INVENTÁŘ
actor.log.today,Dnes
actor.log.days_before,Před {day} dny
actor.log.yesterday,Včera
actor.loyalty,Věrnost {loyalty} %
menu.battle_result.win,Vítězství!
menu.battle_result.lose,Prohra
menu.battle_result.deployed,Nasazení
menu.battle_result.died,Mrtví
menu.battle_result.escaped,Uprchlí
menu.battle_result.captured,Zajatí
actor.menu.appoint.hunt,Loví
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,MYŠLENKY
actor.moral,NÁLADA
actor.motive.energy,Spánek
actor.motive.food,Jídlo
actor.motive.rest,Odpočinek
actor.motive.religion,Zbožnost
actor.motive.sex,Sex
actor.motive.care,Péče
actor.noun.adventurer,Dobrodruh
actor.noun.depraved,Zhýralec
actor.noun.fatalist,Fatalista
actor.noun.flatterer,Lichotník
actor.noun.genius,Génius
actor.noun.introvert,Introvert
actor.noun.moron,Prosťáček
actor.noun.mystic,Mystik
actor.noun.narcissist,Narcis
actor.noun.rude,Násilník
actor.noun.shameless,Úchyl
actor.noun.skeptic,Skeptik
actor.noun.workaholic,Workoholik
actor.opinion.choose_factions.province_hint,Na lokální mapě
actor.opinion.interest,Zájem:
actor.opinion.interest.high,Vyšší
actor.opinion.interest.low,Nižší
actor.opinion.interest.middle,Střední
actor.opinion.no_minds,Žádné myšlenky
actor.opinion.opinion_of,Názor na osobu {name}:
actor.opinion.opinion_of_me,Názor osoby {name} na mě:
actor.opinion.opinion_of_third_person,Názor {name_2} > {name}:
actor.opinion.special.deadly_enemy,Nepřítel na smrt
actor.opinion.special.enemy,Nepřítel
actor.opinion.special.friend,Přítel
actor.opinion.special.like,Dobrý vztah
actor.opinion.special.love,Romantický zájem
actor.part_of_nature,POVAHOVÉ RYSY
actor.punish.execute,Popravit
actor.punish.expel,Vyhnat
actor.punish.imprison,Nechat jako rukojmí
actor.desire,TOUHA
actor.skill.command,Velení
actor.skill.education,Učení
actor.skill.fight,Boj
actor.skill.knowledge,Inteligence
actor.skill.management,Správa
actor.skill.manners,Chování
actor.skill.negotiation,Obchod
actor.skill.oratory,Přesvědčování
actor.skill.points_remain,Na dosažení další úrovně potřebuješ {number} zkušenostních bodů
actor.skills,SCHOPNOSTI
actor.skills_training,VÝCVIK
actor.skills.level,{level}
actor.skill_category.rhetoric,Řečnictví
actor.skill_category.economic,Hospodářství
actor.skill_category.philosophy,Filosofie
actor.skill_category.warcraft,Válečnictví
actor.stata.bandit,Zbojník
actor.stata.thug,Hrdlořez
actor.states,STÁTY
actor.strata.animal,Zvíře
actor.strata.slave,Vězeň
actor.traits,STAV
building.hostel,Ubytovna
building.library,Knihovna
building.armorsmith,Zbrojířství
building.barracks,Kasárna
building.brewery,Pivovar
building.caption_with_level,{building_name} {level}. úrovně
building.castle,Síň
building.chancellery,Kancléřství
building.church,Chrám
building.altar,Oltář
building.coal_burner,Uhelná pec
building.coal_furnace,Uhelná pec
building.coal_mine,Uhelný důl
building.description.burned,Tuto budovu zničil požár. Lze ji pouze zbourat.
building.farm,Farma
building.forge,Kovárna
building.hall_storage,Velký sklad
building.herbalist,Bylinkář
building.house,Rolnický dům
building.menu.appoint.church,KÁZÁNÍ
building.menu.appoint.training,VÝCVIK
building.menu.appoint.gallows,TREST
building.menu.appoint.chancellery,KANCLÉŘ
building.menu.appoint.culture,KULTURA
building.menu.appoint.appoint_culture,ustanovit
building.menu.castle.builders,STAVITELÉ
building.menu.castle.servants,SLUŽEBNÍCI
building.menu.gallows.terror,Teror
building.menu.gallows.executers,POPRAVČÍ
building.menu.in_stock,VE SKLADIŠTI
building.menu.required_resources,VYŽADUJE
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,OBYVATELÉ
building.menu.service.attendance,Účast
building.menu.service.inspection,POLITIKA
building.menu.service.revenue,Příjem
building.menu.combat_training.number_of_places,SOUBĚŽNÝ VÝCVIK
building.menu.sold,PRODÁNO
building.menu.trader,OBCHODNÍK
building.menu.special_button.auto_repair,Automatická oprava
building.menu.special_button.abort,Zrušit
building.menu.special_button.destroy,Zničit
building.menu.special_button.relocate,Přesunout
building.menu.special_button.repair,Opravit
building.menu.special_button.upgrade,Vylepšit
building.menu.special_button.upgrade_workplace,#ERROR!
building.menu.status.breakdown,Rozpis
building.menu.status.need_charge,Farma je vyčerpaná.
building.menu.status.burned_full,Zničeno požárem.
building.menu.status.burned_partially,Částečně ohořelé.
building.menu.status.burning,V budově hoří!
building.menu.status.church,Náboženští fanatici ve městě: {fanatics_percent} %
building.menu.status.construction,Probíhá stavba.
building.menu.status.construction_template,{status} – hotovo z {progress} %
building.menu.status.demolition,Probíhá rozebrání.
building.menu.status.extinguishing,Požár se hasí.
building.menu.status.harvest.after_tomorrow,Sklizeň bude pozítří.
building.menu.status.harvest.n_days,Sklizeň bude za {days} d.
building.menu.status.harvest.today,Sklizeň bude dnes.
building.menu.status.harvest.tomorrow,Sklizeň bude zítra.
building.menu.status.no_tasks,Vytvoř objednávku v nabídce výroby
building.menu.status.fertilize,Úrodnost: {number} %
building.menu.status.produce,Vyrábí se: {resource} ({progress} %)
building.menu.status.raw_not_enough,Na výrobu není dost surovin.
building.menu.status.relocate,Probíhá přesun
building.menu.status.repair,Probíhá oprava
building.menu.status.upgrade,Probíhá vylepšení
building.menu.status.work_time,Pracovní doba od {work_hour_begin} do {work_hour_end}
building.menu.status.works_fine,Funguje normálně
building.menu.status.pig_farm_need_to_charge,Vyžaduje zásoby tuřínu
building.menu.status.need_inspector,Vyžaduje ustanoveného správce
building.menu.status.need_inspection,Nemá pokyny
building.menu.status.need_paper_charge,Vyžaduje zásoby papíru
building.menu.tavern.allow_nectar,Povolit nektar
building.menu.temple.donation,Příspěvky
building.menu.temple.priest,KNĚZ
building.menu.workplace.appoint_inspector,Přiřadit
building.menu.workplace.inspection,SPRÁVA
building.menu.workplace.priority,Priorita
building.menu.workplace.produced_today,VYROBENO DNES
building.menu.workplace.bonus_slave,Bonus za vězně: {bonus_slave}
building.menu.workplace.bonus_addicted,Bonus za závislé: {bonus_addicted}
building.menu.workplace.bonus_culture,Bonus za expertízu – {culture}: {bonus_culture}
building.menu.workplace.statistics,STATISTIKY
building.menu.workplace.workers,DĚLNÍCI
building.menu.workplace.workers.free,Rolníci
building.menu.workplace.workers.slaves,Vězni
building.menu.workplace.addicted,Závislí
building.menu.patrollers,Hlídkový prapor
building.menu.radius,Dosah hlídky
building.menu.combat_max,Max. bojová úroveň
building.menu.max_pain,MAXIMÁLNÍ ÚROVEŇ BOLESTI
menu.patrol_sign.description,Místo hlídky pro válečníky
building.mine,Důl
building.noble_house,Lordův dům
building.paper_factory,Papírna
building.slaves_barrack,Věznice
building.temple.preach.doubt,Kázání o pochybách
building.temple.preach.faith,Kázání o víře
building.farm.pig_farm_charge_abort,Zrušit zásobování
building.farm.pig_farm_charge,Zásobit tuřínem
building.gallows.crimes,Zločiny
building.gallows.punishments,Tresty
building.gallows.change,Změna
building.training_field,Cvičiště
building.woodcutter,Pila
building.workshop,Dílna
building.gallows,Popraviště
building.market,Tržnice
building.storage,Skladiště
building.tavern,Krčma
building.drug_deg,Drogové doupě
building.rye_farm,Žitné pole
building.hop_farm,Chmelové pole
building.swede_farm,Tuřínové pole
building.pig_farm,Vepřín
building.mill,Mlýn
building.alchimestry,Alchymistická laboratoř
building.melting_furnace,Slévárna
building.patrol_sign,Noční hlídka
display_event.actor_complete_action_task_on_gm,{name} dokončuje úkol – {task_name}.
display_event.actor_abort_action_task_on_gm,{name} selhává v úkolu.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} přichází do města {town_name}.
display_event.actors_married,{name_1} a {name_2} jsou zasnoubení.
display_event.new_genius_king,Zvěst: Dobyvatelé
display_event.defence_alliance.squad_arrived,Dorazily posily frakce {faction_name}!
display_event.defence_alliance.squad_created,Posily se shromáždily a nyní spadají pod tvé velení!
display_event.defence_alliance.leave.time_expired,"Pobyt posil skončil, odcházejí domů."
display_event.defence_alliance.leave.battle_finished,Posily ti pomohly a odcházejí domů.
display_event.defence_alliance.leave.defence_alliance_broken,"Tvoje spojenectví s frakcí {faction_name} se rozpadlo, takže se posily vracejí domů předčasně."
display_event.defence_alliance.leave.no_one_is_attacking_player,Už ti nehrozí nebezpečí – posily odcházejí domů.
display_event.defence_alliance.leave.other_reason,Posily odcházejí domů brzo.
display_event.got_title,{name} dostává titul lorda.
display_event.kid_need_title,{name} bude brzo vyžadovat dostupný titul lorda.
display_event.storage_robbery_gold,Zloději ukradli {number} zlata!
display_event.squad_go_to_take_equipment,Válečníci si vyzvedávají zbraně ze skladiště. Počkej chvíli...
display_event.no_servants_in_hall,V síni nejsou žádní sluhové!
display_event.squad_take_all_equipment,Válečníci jsou ozbrojení a připravení!
display_event.horde_apeears,Zjevení Nesvaté hordy
display_event.horde_gossip,Zvěsti: Nový kacířský kult ve vzdálených zemích
display_event.new_fraction,Zrození nového šlechtického rodu: {faction_name}
display_event.fraction_death,Pád šlechtického rodu: {faction_name}
display_event.horde_murder_faction,Nesvatá horda zničila další šlechtický rod
display_event.horde_crisis_finish,Nesvatá horda opustila země Norlandu
display_event.forecast,Přišla předpověď cen – {resource}
display_event.village_tribute,{village_name}: Platí příspěvek
display_event.bandits_at_the_gate,Poblíž je nepřátelská četa!
display_event.army_at_the_gate,Poblíž je nepřátelská četa!
display_event.enemy_attack_city,Nepřítel zahajuje útok!
display_event.free_lord_expired,Lordova smlouva vypršela.
display_event.free_lord_low_loyalty,Svobodný lord ztratil věrnost.
display_event.terror_lords,Teror mezi lordy!
display_event.terror_peasants,Teror mezi rolníky!
display_event.bandits_prepare_to_attack,Zbojníci chystají útok na tvoje město.
display_event.caravan_arrive,Do města dorazila svatá karavana.
display_event.free_lord_arrive,"Svobodný lord čeká, až si ho najmeš."
display_event.character_bleeding,Postava krvácí.
display_event.fire,Vypukl požár.
display_event.slaves_hungry,"V nabídce Hospodářství se podívej, jestli vězni dostávají dost jídla."
display_event.dummy_little_beer,"V nabídce Hospodářství se podívej, jestli postavy dostávají dost alkoholu."
display_event.dummy_little_food,"V nabídce Hospodářství se podívej, jestli vězni dostávají dost jídla."
display_event.dummy_many_homeless,Postav další ubytování.
display_event.high_fanaticism_level,Kázání o pochybách v chrámu může snížit fanatismus.
display_event.low_dummy_happiness,Věnuj pozornost těm nejčastějším nespokojeným myšlenkám.
display_event.not_enough_barracks,Postav další kasárny.
display_event.not_enough_equipment,"Vybavení si kup od karavany, anebo si ho vyrob."
display_event.not_enough_taverns,Postav další krčmy.
display_event.not_enough_temples,Postav další chrámy.
display_event.too_much_unemploe,"Nezaměstnanost snížíš tak, že snížíš průměrnou náladu a tudíž i migraci."
display_event.high_prices,Rolníci si kupují zboží u svaté karavany.
display_event.hired_soldiers_arrive,Dorazili najatí válečníci!
display_event.migrants_arrive,Dorazili přistěhovalci: {number}
display_event.knowledge_interaction,{name} studuje obor {knowledge}: {progress} %
display_event.book_writing,{name} píše knihu na téma {knowledge}: {progress} %
display_event.not_enough_knowledge_paper,Chybí papír na napsání knihy: {name}
display_event.knowledge_too_hard_again,{name} už se nemůže učit: {knowledge}
display_event.not_enough_resources,Nedostatek surovin.
display_event.building_breakdown,Budova je rozbitá.
display_event.farm_depleted,Půda na farmě je vyčerpaná.
display_event.farm_soon_depleted,Půda na farmě se brzo vyčerpá.
display_event.not_enough_workers,Nedostatek dělníků
display_event.wheat_destroyed,Plodiny jsou zničené kvůli suchu
display_event.building_needs_direct_contol,Provoz budovy vyžaduje přímou kontrolu
display_event.building_without_inspector,Budova potřebuje správce
display_event.order_complete,{value} {resource}: Objednávka je dokončena!
display_event.building_without_instruction,Dělníci dnes nedostali pokyny
display_event.resources_stolen,Ukradené suroviny! {value} {resource}
display_event.thugs_appear,Ve městě se objevili hrdlořezové
display_event.wolf_attack,Útok hladového vlka!
display_event.no_meds,Léčivá mast je dokončena!
display_event.quest_result,Výsledek: {quest_name}
display_event.battle_result,Výsledky bitvy
display_event.battle_start,Nová bitva!
display_event.new_quest,{name}
display_event.new_book,Byl vytvořen nový opis knihy: {knowledge}
display_event.new_knowledge,Naučené znalosti: {knowledge}
display_event.slave_escape,Vězeň se pokouší o útěk
