Key,Hungarian
main_menu.save_and_exit,Mentés és kilépés
main_menu.start,Indítás
main_menu.back,Vissza
menu.problems,Problémák
adv_tutorial.obj_build_sawmill_place_text,Itt építsd fel a fűrészmalmot
adv_tutorial.obj_build_field_place_text,Ide helyezd le a karórépatáblát
adv_tutorial.obj_build_taverna_place_text,Itt építsd fel a kocsmát
adv_tutorial.obj_build_generic_place_text,Lehelyezés
notification.tutorial.ambush,Támadnak a banditák!
loading_screen,Betöltés… Kis türelmet.
loading_screen.ingame.misc_loading,Adatok betöltése
loading_screen.ingame.gui_init,Játékfelület létrehozása
loading_screen.ingame.save_game_load,Mentett játék betöltése
loading_screen.ingame.new_game_load,Új játék inicializálása
loading_screen.ingame.gui_system,Játékfelület inicializálása
loading_screen.ingame.map_cells,Térképcellák létrehozása
loading_screen.ingame.trade_manager,Kereskedelemkezelő inicializálása
loading_screen.ingame.local_map_controller,Helyi térképvezérlő betöltése
loading_screen.ingame.province_controller,Tartományadatok betöltése
loading_screen.ingame.global_map,Külső térkép betöltése
loading_screen.ingame.battle_injuty_lottery,Harci sérülési esélyek betöltése
loading_screen.ingame.game_system_init,Játékbeli rendszerek inicializálása
loading_screen.ingame_unloading,Játékbeli nyersanyagok kipakolása
loading_screen.caching_textures,Textúrák betárazása
loading_screen.game_vars,Játékváltozók betöltése
loading_screen.audio,Hangrendszer indítása
loading_screen.animations,Animációk betöltése
loading_screen.building_assets,Építési objektumok betöltése
loading_screen.actor_assets,Szereplői objektumok betöltése
loading_screen.traits,Jellemvonások betöltése
loading_screen.minds,Tudatok betöltése
loading_screen.tantrums,Szeszélyek betöltése
loading_screen.activity,Tevékenységek betöltése
loading_screen.game_data,Játékbeli adatok betöltése
loading_screen.building_constructions,Épületszerkezetek betöltése
loading_screen.banners,Lobogók betöltése
loading_screen.gui,Játékfelület betöltése
loading_screen.hints,Tippek betöltése
loading_screen.rich_string,RTF szöveg betöltése
loading_screen.knowledge_localization,Ismeretlokalizáció betöltése
loading_screen.saves_and_maps,Világ és mentéslisták betöltése
loading_screen.done,Betöltés kész.
encyclopedia.help,SÚGÓ
encyclopedia.category.battle,Harc
encyclopedia.category.economics,Gazdaság
encyclopedia.category.characters,Karakterek
encyclopedia.category.mechanics,Mechanikák
encyclopedia.category.hints,Tippek
encyclopedia.category.global_map,Térkép
encyclopedia.search,Keresés…
action_task.skill_training_caption,Tanítás: {skill_name}
actor.relations.filter.location,A közelben
actor.relations.filter.kings,Uralkodók
actor.relations.filter.friends,Barátok
actor.relations.filter.enemies,Ellenségek
actor.relations.filter.can_seduce,Elcsábítható
action_task.category.king,Uralkodó
action_task.category.social,Szociális
action_task.category.bishop,Püspök
action_task.sub_category.social,Kommunikáció
action_task.sub_category.intrigue,Cselszövés
actor.action_task.begging,Bocsánatáért esedezés
actor.action_task.nominate_enemy,Ellenségnek nyilvánítás
actor.action_task_hunt,Húsfarkasvadászat
actor.action_task_sick_visit,Beteglátogatás
actor.action_task.marriage,Házasság
actor.action_task.bribe,Megvesztegetés
actor.action_task.punish,Megbüntetés
actor.action_task.reward,Megjutalmazás
actor.action_task.rumors,Pletykák terjesztése
actor.action_task.spent_time,Időtöltés
actor.action_task.invite,Meghívás
actor.action_task.teach,Oktatás
actor.action_task.threat,Megfenyegetés
actor.action_task.trade,Kereskedés
actor.action_task.make_free,Felszabadítás
actor.action_task.seduction,Elcsábítás
actor.action_task.donate,Ajándék az uralkodónak
actor.action_task.kill,Meggyilkolás
actor.action_task.poison,Megmérgezés
actor.action_task.play_dice,Kockázás
actor.action_task.depart,Száműzés
actor.action_task.duel_call,Párbajra hívás
actor.action_task.duel_provocation,Párbaj kiprovokálása
actor.action_task.free_lord_hire,Nemes felfogadása
actor.action_task.send_guest,Vendég küldése
actor.action_task.king_tribute,Felajánlás
actor.action_task.confession,Gyónás
actor.action_task.kidnap,Elfogás
actor.action_task.free_captive,Elengedés
actor.action_task.forced_sex,Megerőszakolás
actor.action_task.appoint_an_heir,Örökösnek nyilvánítás
actor.action_task.go_home,Hazaküldés
actor.action_task.sex_with_dummy,Házassági ajánlat
actor.action_task.new_heir,Kijelölés örökösként
actor.action_task.canonization,Megáldás
actor.action_task.divorce,Válás
actor.action_task.consolation,Vigasztalás
actor.action_task.give_title_to_hired_free_lord,Cím adományozása
actor.action_task.give_title_to_soldier,Cím adományozása
actor.action_task.take_title,Nemesi cím visszavonása
actor.action_task.join_captive,Elengedés és elfogadás
actor.action_task.new_king,Korona átadása
actor.appoint_in_town,{town_name} városában
actor.appoint_in_this_town,Ebben a városban
actor.appoint.our_lords,Saját nemeseink
actor.appoint.other_lords,Más nemesek
actor.action.training,KÉPZÉS
actor.action.conversation,TÁRGYALÁSOK
actor.action.army.on_local_map,A helyi térképen
actor.action.army.on_global_map,A világtérképen
actor.action.army,HADSEREG
actor.action.executor,SZEREPLŐ
actor.action.executor_replace,CSERE
actor.action.teacher,OKTATÓ
actor.action.chancellery_any,Bármely kancellária
actor.action.punishment,BÜNTETÉS
actor.action.teach,TANULÁS
actor.action.person,KIT?
actor.action.different_actions,BEAVATKOZÁS
actor.action.trade,KERESKEDÉS
actor.action_task.invite_guest,Meghívás a tartományba
actor.status.on_global_map,A világtérképen
actor.status.on_global_map_lost,Eltűnt
actor.status.in_army,Egy osztagban a világtérképen
actor.status.in_travel,Utazik
actor.status.in_object,{object_name} objektumban
actor.adjective.addicted_to_drink,Hajlamos az ivásra
actor.adjective.ambitious,Ambiciózus
actor.adjective.angry,Bosszúálló
actor.adjective.arrogant,Arrogáns
actor.adjective.ascetic,Aszkéta
actor.adjective.bloodthirsty,Vérszomjas
actor.adjective.contemptuous,Gőgös
actor.adjective.contradictory,Ellentmondásos
actor.adjective.emotional,Lobbanékony
actor.adjective.envious,Irigy
actor.adjective.friendly,Barátságos
actor.adjective.frivolous,Frivol
actor.adjective.greedy,Kapzsi
actor.adjective.indifferent,Közömbös
actor.adjective.intemperate,Impulzív
actor.adjective.jealous,Féltékeny
actor.adjective.mean,Rosszindulatú
actor.adjective.melancholy,Mélabús
actor.adjective.sarcastic,Szarkasztikus
actor.adjective.subtle,Kifinomult
actor.adjective.trusting,Hiszékeny
actor.adjective.weakpowered,Nyápic
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>A parasztok elleni provokálatlan támadások <hint=hint_terror_peasants>rettegést</hint> keltenek.</red>
actor.appoint.nominate_enemy.lord,<red>A nemesek elleni provokálatlan támadások <hint=hint_terror_lord>rettegést</hint> keltenek.</red>
actor.appoint.nominate_enemy.guest,"<red>Vendégre támadni, függetlenül annak cselekedeteitől, a szent vendégjog megsértésének minősül.</red>

$ {soul_uuid_performer_king} és {soul_uuid_target} kapcsolata: <red>{relations_modify_target}

</b>TIPP</b>: A konfliktusok feloldásához jobb <hint=hint_duel>párbajhoz</hint> folyamodni."
actor.appoint.nominate_enemy.bishop,"<red>Ha a Szerető Család egy tagjára támadsz, függetlenül attól, hogy mit is tett, okot ad az <hint=hint_inquisitors>Inkvizíciónak</hint>, hogy a városodra büntetést mérjen.</red>"
actor.age,{age} éves
actor.age_short,{age} éves
actor.class.unarmed,Fegyvertelen
actor.class.l_archer,Könnyű íjász
actor.class.axeman,Szekercés
actor.class.guard,Őr
actor.class.h_axeman,Nehéz szekercés
actor.class.faceless_axeman,A Szentségtelen Horda harcosa
actor.class.h_hammerhead,Nehéz buzogányos
actor.class.h_spearman,Nehéz lándzsás
actor.class.h_swordman,Nehéz kardforgató
actor.class.hammerhead,Buzogányos
actor.class.l_spearman,Könnyű lándzsás
actor.class.outcast,Számkivetett
actor.class.spearman,Lándzsás
actor.class.swordman,Kardforgató
actor.class.light_archer,3-5. szintű íjász páncél nélkül
actor.class.light_hammerhead,3-5. szintű buzogányos páncél nélkül
actor.class.light_spearman,3-5. szintű lándzsás páncél nélkül
actor.class.light_axeman,"3-5. szintű szekercés pajzzsal, páncél nélkül"
actor.class.middle_archer,8-11. szintű íjász könnyű páncélban
actor.class.middle_hammerhead,"8-11. szintű buzogányos könnyű páncélban, pajzzsal"
actor.class.middle_spearman,"8-11. szintű lándzsás könnyű páncélban, pajzzsal"
actor.class.heavy_axeman,"13-17. szintű szekercés nehéz páncélban, pajzzsal"
actor.class.heavy_swordman,"13-17. szintű kardforgató nehéz páncélban, pajzzsal"
actor.class.lord,"Kardforgató nehéz páncélban, pajzzsal"
actor.dignity.king,Uralkodó
actor.events,ESEMÉNYEK
actor.events_date,DÁTUM
actor.knowledge,ISMERET
actor.hint.battle_skill,Harc képesség szintje
actor.hint.crimes.caption,Bűnök
actor.hint.injury.caption,Sérülések
actor.hint.injury.pain_level,Fájdalomszint: {pain}.
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Fájdalomküszöb:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* – A fertőzésveszély továbbra is fennáll
actor.hint.sin.caption,Vétkek
actor.hint.sin.piety_impact,A hangulatra gyakorolt hatás: {piety_impact}
actor.impact_on_person,BEAVATKOZÁS
actor.inventory,ESZKÖZTÁR
actor.log.today,Ma
actor.log.days_before,Ennyi napja: {day}
actor.log.yesterday,Tegnap
actor.loyalty,Hűség {loyalty}%
menu.battle_result.win,Győzelem!
menu.battle_result.lose,Vereség
menu.battle_result.deployed,Bevetve
menu.battle_result.died,Halott
menu.battle_result.escaped,Megmenekült
menu.battle_result.captured,Elfogva
actor.menu.appoint.hunt,Vadászik
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,GONDOLATOK
actor.moral,HANGULAT
actor.motive.energy,Alvás
actor.motive.food,Élelem
actor.motive.rest,Pihenés
actor.motive.religion,Áhítat
actor.motive.sex,Szex
actor.motive.care,Gondoskodás
actor.noun.adventurer,Kalandor
actor.noun.depraved,Korhely
actor.noun.fatalist,Fatalista
actor.noun.flatterer,Hízelgő
actor.noun.genius,Zseni
actor.noun.introvert,Introvertált
actor.noun.moron,Együgyű
actor.noun.mystic,Misztikus
actor.noun.narcissist,Önimádó
actor.noun.rude,Vadbarom
actor.noun.shameless,Deviáns
actor.noun.skeptic,Szkeptikus
actor.noun.workaholic,Munkamániás
actor.opinion.choose_factions.province_hint,A helyi térképen
actor.opinion.interest,Érdeklődés:
actor.opinion.interest.high,Magas
actor.opinion.interest.low,Alacsony
actor.opinion.interest.middle,Közepes
actor.opinion.no_minds,Nincsenek gondolatai
actor.opinion.opinion_of,Vélemény {name} személyéről:
actor.opinion.opinion_of_me,{name} véleménye rólam:
actor.opinion.opinion_of_third_person,{name_2} véleménye {name} személyéről:
actor.opinion.special.deadly_enemy,Halálos ellenség
actor.opinion.special.enemy,Ellenség
actor.opinion.special.friend,Barát
actor.opinion.special.like,Jó kapcsolat
actor.opinion.special.love,Romantikus érdeklődés
actor.part_of_nature,SZEMÉLYISÉGVONÁSOK
actor.punish.execute,Kivégzés
actor.punish.expel,Száműzés
actor.punish.imprison,Túszul ejtés
actor.desire,VÁGY
actor.skill.command,Parancsnoklás
actor.skill.education,Tanítás
actor.skill.fight,Harc
actor.skill.knowledge,Intellektus
actor.skill.management,Felügyelet
actor.skill.manners,Modor
actor.skill.negotiation,Kereskedés
actor.skill.oratory,Meggyőzés
actor.skill.points_remain,{number} tapasztalati pont szükséges a következő szint eléréséhez.
actor.skills,KÉPESSÉGEK
actor.skills_training,KÉPZÉS
actor.skills.level,{level}
actor.skill_category.rhetoric,Retorika
actor.skill_category.economic,Gazdaság
actor.skill_category.philosophy,Filozófia
actor.skill_category.warcraft,Hadviselés
actor.stata.bandit,Bandita
actor.stata.thug,Briganti
actor.states,ÁLLAPOTOK
actor.strata.animal,Állat
actor.strata.slave,Fogoly
actor.traits,ÁLLAPOT
building.hostel,Szállás
building.library,Könyvtár
building.armorsmith,Páncélműhely
building.barracks,Kaszárnya
building.brewery,Főzde
building.caption_with_level,{building_name} – {level}. szint
building.castle,Palota
building.chancellery,Kancellária
building.church,Templom
building.altar,Oltár
building.coal_burner,Szénégető
building.coal_furnace,Szénégető
building.coal_mine,Szénbánya
building.description.burned,Ezt az épületet tűz pusztította el. Csak lebonthatod.
building.farm,Gazdaság
building.forge,Fegyverműhely
building.hall_storage,Palota raktára
building.herbalist,Javasember
building.house,Parasztház
building.menu.appoint.church,PRÉDIKÁCIÓ
building.menu.appoint.training,KÉPZÉS
building.menu.appoint.gallows,BÜNTETÉS
building.menu.appoint.chancellery,KANCELLÁR
building.menu.appoint.culture,KULTÚRA
building.menu.appoint.appoint_culture,kinevezés
building.menu.castle.builders,ÉPÍTŐK
building.menu.castle.servants,SZOLGÁK
building.menu.gallows.terror,Terror
building.menu.gallows.executers,HÓHÉROK
building.menu.in_stock,A RAKTÁRBAN
building.menu.required_resources,SZÜKSÉGES
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,LAKOSOK
building.menu.service.attendance,Hallgatóság
building.menu.service.inspection,POLITIKA
building.menu.service.revenue,Bevétel
building.menu.combat_training.number_of_places,SZIMULTÁN KÉPZÉS
building.menu.sold,ELADVA
building.menu.trader,KERESKEDŐ
building.menu.special_button.auto_repair,Automatikus javítás
building.menu.special_button.abort,Megszakít
building.menu.special_button.destroy,Lerombol
building.menu.special_button.relocate,Mozgat
building.menu.special_button.repair,Javít
building.menu.special_button.upgrade,Fejleszt
building.menu.special_button.upgrade_workplace,#ERROR!
building.menu.status.breakdown,Leromlás
building.menu.status.need_charge,A gazdaság kimerült.
building.menu.status.burned_full,Elpusztította a tűz.
building.menu.status.burned_partially,Részben leégett.
building.menu.status.burning,Tűz az épületben!
building.menu.status.church,Vallási fanatikusok a városban: {fanatics_percent}%
building.menu.status.construction,Építés folyamatban.
building.menu.status.construction_template,{status} ({progress}%) kész
building.menu.status.demolition,Lebontás folyamatban.
building.menu.status.extinguishing,Tűzoltás folyamatban.
building.menu.status.harvest.after_tomorrow,A termés holnapután lesz betakarítva.
building.menu.status.harvest.n_days,A termést {days} nap múlva takarítják be.
building.menu.status.harvest.today,Ma takarítják be a termést.
building.menu.status.harvest.tomorrow,Holnap takarítják be a termést.
building.menu.status.no_tasks,Adj ki egy parancsot a Termelés menüben.
building.menu.status.fertilize,Termőképesség: {number}%
building.menu.status.produce,Termelés alatt: {resource} ({progress}%)
building.menu.status.raw_not_enough,Nincs elég nyersanyag a termeléshez.
building.menu.status.relocate,Áthelyezés folyamatban.
building.menu.status.repair,Javítás folyamatban.
building.menu.status.upgrade,Fejlesztés folyamatban.
building.menu.status.work_time,Munkaidő: {work_hour_begin} – {work_hour_end}
building.menu.status.works_fine,Rendesen működik
building.menu.status.pig_farm_need_to_charge,Karórépa-ellátás szükséges
building.menu.status.need_inspector,Kinevezett intéző szükséges
building.menu.status.need_inspection,Nem kapott utasítást
building.menu.status.need_paper_charge,Papírellátás szükséges
building.menu.tavern.allow_nectar,Nektár engedélyezése
building.menu.temple.donation,Adományok
building.menu.temple.priest,PAP
building.menu.workplace.appoint_inspector,Tevékenység
building.menu.workplace.inspection,FELÜGYELET
building.menu.workplace.priority,Prioritás
building.menu.workplace.produced_today,MAI TERMELÉS
building.menu.workplace.bonus_slave,Bónusz a foglyoktól: {bonus_slave}
building.menu.workplace.bonus_addicted,Bónusz a függőktől: {bonus_addicted}
building.menu.workplace.bonus_culture,Bónusz a(z) {culture} ismeretből: {bonus_culture}
building.menu.workplace.statistics,STATISZTIKÁK
building.menu.workplace.workers,MUNKÁSOK
building.menu.workplace.workers.free,Parasztok
building.menu.workplace.workers.slaves,Foglyok
building.menu.workplace.addicted,Függők
building.menu.patrollers,Járőrlobogó
building.menu.radius,Járőrsugár
building.menu.combat_max,Max. harci szint
building.menu.max_pain,MAXIMÁLIS FÁJDALOMSZINT
menu.patrol_sign.description,Járőrhely a harcosok számára
building.mine,Bánya
building.noble_house,Nemes háza
building.paper_factory,Papírműhely
building.slaves_barrack,Börtön
building.temple.preach.doubt,Kételybeszéd
building.temple.preach.faith,Hitbeszéd
building.farm.pig_farm_charge_abort,Ellátás megszakítása
building.farm.pig_farm_charge,Karórépa-ellátás
building.gallows.crimes,Bűnök
building.gallows.punishments,Büntetések
building.gallows.change,Módosítás
building.training_field,Gyakorlótér
building.woodcutter,Fűrészmalom
building.workshop,Műhely
building.gallows,Vesztőhely
building.market,Piac
building.storage,Raktár
building.tavern,Kocsma
building.drug_deg,Lebuj
building.rye_farm,Rozstábla
building.hop_farm,Komlótábla
building.swede_farm,Karórépatábla
building.pig_farm,Sertésfarm
building.mill,Malom
building.alchimestry,Alkímiai labor
building.melting_furnace,Olvasztókohó
building.patrol_sign,Éjszakai járőr
display_event.actor_complete_action_task_on_gm,{name} teljesítette a feladatot: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} nem teljesítette a feladatot.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} megérkezett {town_name} városába.
display_event.actors_married,{name_1} és {name_2} eljegyezték egymást.
display_event.new_genius_king,Pletyka: Hódítók
display_event.defence_alliance.squad_arrived,Az erősítés {faction_name} tartományból megérkezett!
display_event.defence_alliance.squad_created,Az erősítést összeállítottuk és a parancsnokságod alá helyeztük!
display_event.defence_alliance.leave.time_expired,"Az erősítés állomásozása véget ért, most hazatér."
display_event.defence_alliance.leave.battle_finished,"Az erősítés a segítségedre volt, és most hazatér."
display_event.defence_alliance.leave.defence_alliance_broken,"A te és {faction_name} közti volt szövetség felbomlott, így az erősítés idő előtt hazatér."
display_event.defence_alliance.leave.no_one_is_attacking_player,Már nem fenyeget veszély – az erősítés hazatér.
display_event.defence_alliance.leave.other_reason,Az erősítés idejekorán hazatér.
display_event.got_title,{name} nemesi címet kapott.
display_event.kid_need_title,{name} számára hamarosan egy elérhető nemesi cím lesz szükséges.
display_event.storage_robbery_gold,Tolvajok elraboltak {number} aranyat!
display_event.squad_go_to_take_equipment,A harcosok előveszik a fegyvereiket a fegyvertárból. Kis türelmet…
display_event.no_servants_in_hall,Nincsenek szolgák a palotában!
display_event.squad_take_all_equipment,A harcosok felfegyverkeztek és készen állnak!
display_event.horde_apeears,Feltűnt a Szentségtelen Horda
display_event.horde_gossip,Pletyka: Új eretnek szekta távoli vidéken
display_event.new_fraction,Új nemesi ház született: {faction_name}
display_event.fraction_death,Egy nemesi ház elbukott: {faction_name}
display_event.horde_murder_faction,A Szentségtelen Horda újabb nemesi házat irtott ki.
display_event.horde_crisis_finish,A Szentségtelen Horda elhagyta Norland földjét.
display_event.forecast,Árelőrejelzés készült: {resource}
display_event.village_tribute,{village_name}: Hűbéradót fizet
display_event.bandits_at_the_gate,Ellenséges osztag a közelben!
display_event.army_at_the_gate,Ellenséges osztag a közelben!
display_event.enemy_attack_city,Az ellenség támadást indít!
display_event.free_lord_expired,A nemes megbízása lejárt.
display_event.free_lord_low_loyalty,A szabad nemes hűsége csökkent.
display_event.terror_lords,Terror a nemesek közt!
display_event.terror_peasants,Terror a parasztok közt!
display_event.bandits_prepare_to_attack,Banditák készülnek a városra támadni.
display_event.caravan_arrive,A Szent Karaván a városba érkezett.
display_event.free_lord_arrive,"Egy szabad nemes vár, hogy felfogadd."
display_event.character_bleeding,Egy karakter vérzik.
display_event.fire,Tűz ütött ki.
display_event.slaves_hungry,"Ellenőrizd a Gazdaság menüben, hogy a foglyok elegendő élelmet kapnak-e."
display_event.dummy_little_beer,"Ellenőrizd a Gazdaság menüben, hogy a karakterek elegendő alkoholt kapnak-e."
display_event.dummy_little_food,"Ellenőrizd a Gazdaság menüben, hogy a foglyok elegendő élelmet kapnak-e."
display_event.dummy_many_homeless,Építs több szállást.
display_event.high_fanaticism_level,A Kételybeszéd a templomban képes a fanatizmust csökkenteni.
display_event.low_dummy_happiness,Figyelj a leggyakoribb elégedetlen gondolatokra.
display_event.not_enough_barracks,Építs újabb kaszárnyákat.
display_event.not_enough_equipment,"Vásároljon felszerelést a karavántól, vagy készíts saját magad."
display_event.not_enough_taverns,Építs újabb kocsmákat.
display_event.not_enough_temples,Építs újabb templomokat.
display_event.too_much_unemploe,"A munkanélküliség csökkentése érdekében csökkentsd az átlagos hangulatot, és vele a bevándorlást."
display_event.high_prices,A parasztok a Szent Karavántól vásárolnak.
display_event.hired_soldiers_arrive,Felbérelt harcosok érkeztek.
display_event.migrants_arrive,{number} bevándorló érkezett.
display_event.knowledge_interaction,{name} a(z) {knowledge} ismeretet tanulja: {progress}%
display_event.book_writing,{name} könyvet ír {knowledge} témában: {progress}%
display_event.not_enough_knowledge_paper,Nincs elég papír a könyv megírásához: {name}
display_event.knowledge_too_hard_again,{name} már nem tudja megtanulni ezt: {knowledge}
display_event.not_enough_resources,Nincs elég nyersanyag.
display_event.building_breakdown,Az épület leromlott.
display_event.farm_depleted,A gazdaság talaja kimerült.
display_event.farm_soon_depleted,A gazdaság talaja hamarosan kimerül.
display_event.not_enough_workers,Nincs elég munkás.
display_event.wheat_destroyed,A termés az aszály miatt elpusztult.
