Key,Japanese
actor.appoint.nominate_enemy.guest,"<red>ゲストの行動に関わらず、攻撃を仕掛けると、神聖なるもてなしの掟に反する行為とみなされる。</red>
 
 $ {soul_uuid_performer_king}と{soul_uuid_target}の関係性：<red>{relations_modify_target}
 
 </b>ヒント</b>：対立を解決するには、<hint=hint_duel>決闘</hint>を用いるのが好ましい。"
actor.appoint.nominate_enemy.bishop,<red>ラヴィング一族への攻撃は、相手の行いに関わらず、自分の街が<hint=hint_inquisitors>異端審問</hint>により罰せられる理由とみなされる</red>
actor.age,{age} 歳
actor.age_short,{age} 歳
actor.class.unarmed,非武装
actor.class.l_archer,軽弓兵
actor.class.axeman,斧兵
actor.class.guard,番兵
actor.class.h_axeman,重斧兵
actor.class.faceless_axeman,罪深き軍団の戦士
actor.class.h_hammerhead,重戦棍兵
actor.class.h_spearman,重槍兵
actor.class.h_swordman,重剣士
actor.class.hammerhead,戦棍兵
actor.class.l_spearman,軽槍兵
actor.class.outcast,異端者
actor.class.spearman,槍兵
actor.class.swordman,剣士
actor.class.light_archer,レベル3～5 弓兵（鎧なし）
actor.class.light_hammerhead,レベル3～5 戦棍兵（鎧なし）
actor.class.light_spearman,レベル3～5 槍兵（鎧なし）
actor.class.light_axeman,レベル3～5 斧兵（盾あり、鎧なし）
actor.class.middle_archer,レベル8～11 弓兵（軽鎧）
actor.class.middle_hammerhead,レベル8～11 戦棍兵（軽鎧、盾）
actor.class.middle_spearman,レベル8～11 槍兵（軽鎧、盾）
actor.class.heavy_axeman,レベル13～17 斧兵（重鎧、盾）
actor.class.heavy_swordman,レベル13～17 剣士（重鎧、盾）
actor.class.lord,領主付き剣士（重鎧、盾）
actor.dignity.king,支配者
actor.events,イベント
actor.events_date,日付
actor.knowledge,知識
actor.hint.battle_skill,戦闘スキルレベル
actor.hint.crimes.caption,犯罪
actor.hint.injury.caption,負傷
actor.hint.injury.pain_level,痛みのレベル：{pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>痛みのしきい値：</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - 感染リスクは残る
actor.hint.sin.caption,罪
actor.hint.sin.piety_impact,ムードへの影響：{piety_impact}
actor.impact_on_person,アクション
actor.inventory,インベントリ
actor.log.today,本日
actor.log.days_before,{day} 日前
actor.log.yesterday,昨日
actor.loyalty,忠誠心 {loyalty}%
menu.battle_result.win,勝利！
menu.battle_result.lose,敗北
menu.battle_result.deployed,配置
menu.battle_result.died,死亡
menu.battle_result.escaped,逃亡
menu.battle_result.captured,捕獲
actor.menu.appoint.hunt,狩猟
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,考え
actor.moral,ムード
actor.motive.energy,睡眠
actor.motive.food,食料
actor.motive.rest,休息
actor.motive.religion,信心深さ
actor.motive.sex,性交
actor.motive.care,心遣い
actor.noun.adventurer,冒険家
actor.noun.depraved,放蕩者
actor.noun.fatalist,運命論者
actor.noun.flatterer,ごますり
actor.noun.genius,天才
actor.noun.introvert,内向的
actor.noun.moron,単純者
actor.noun.mystic,神秘主義者
actor.noun.narcissist,ナルシスト
actor.noun.rude,荒くれ者
actor.noun.shameless,変人
actor.noun.skeptic,懐疑主義者
actor.noun.workaholic,仕事中毒
actor.opinion.choose_factions.province_hint,ローカルマップ上
actor.opinion.interest,関心：
actor.opinion.interest.high,高
actor.opinion.interest.low,低
actor.opinion.interest.middle,中
actor.opinion.no_minds,意見なし
actor.opinion.opinion_of,{name}に対する意見：
actor.opinion.opinion_of_me,自分に対する{name}の意見：
actor.opinion.opinion_of_third_person,{name}に対する{name_2}の意見：
actor.opinion.special.deadly_enemy,不倶戴天の敵
actor.opinion.special.enemy,敵
actor.opinion.special.friend,友人
actor.opinion.special.like,良好な関係
actor.opinion.special.love,恋愛感情
actor.part_of_nature,性格の特徴
actor.punish.execute,処刑
actor.punish.expel,追放
actor.punish.imprison,人質に取る
actor.desire,欲望
actor.skill.command,指揮
actor.skill.education,教育
actor.skill.fight,戦闘
actor.skill.knowledge,知能
actor.skill.management,管理
actor.skill.manners,マナー
actor.skill.negotiation,貿易
actor.skill.oratory,説得
actor.skill.points_remain,次のレベルに到達するには、経験値 {number} が必要です
actor.skills,スキル
actor.skills_training,訓練
actor.skills.level,{level}
actor.skill_category.rhetoric,修辞学
actor.skill_category.economic,経済
actor.skill_category.philosophy,哲学
actor.skill_category.warcraft,戦争
actor.stata.bandit,盗賊
actor.stata.thug,殺し屋
actor.states,状態
actor.strata.animal,動物
actor.strata.slave,囚人
actor.traits,状態
building.hostel,寮
building.library,図書館
building.armorsmith,鎧鍛治
building.barracks,兵舎
building.brewery,醸造所
building.caption_with_level,{building_name} レベル {level}
building.castle,屋敷
building.chancellery,官庁
building.church,礼拝堂
building.altar,祭壇
building.coal_burner,石炭炉
building.coal_furnace,石炭炉
building.coal_mine,炭鉱
building.description.burned,この建物は火事により破壊されました。解体することしかできません。
building.farm,農場
building.forge,武器鍛治
building.hall_storage,屋敷の収納庫
building.herbalist,薬草採集者
building.house,農民の家
building.menu.appoint.church,説教
building.menu.appoint.training,訓練
building.menu.appoint.gallows,処罰
building.menu.appoint.chancellery,大臣
building.menu.appoint.culture,文化
building.menu.appoint.appoint_culture,指名する
building.menu.castle.builders,建設業者
building.menu.castle.servants,召使い
building.menu.gallows.terror,恐怖
building.menu.gallows.executers,死刑執行人
building.menu.in_stock,倉庫
building.menu.required_resources,必要な資源
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,住民
building.menu.service.attendance,出席
building.menu.service.inspection,政治
building.menu.service.revenue,収益
building.menu.combat_training.number_of_places,一斉訓練
building.menu.sold,売切
building.menu.trader,貿易商
building.menu.special_button.auto_repair,自動車修理工
building.menu.special_button.abort,中止
building.menu.special_button.destroy,破壊
building.menu.special_button.relocate,移動
building.menu.special_button.repair,修理
building.menu.special_button.upgrade,アップグレード
building.menu.special_button.upgrade_workplace,+1 作業場
building.menu.status.breakdown,故障
building.menu.status.need_charge,不毛な農場
building.menu.status.burned_full,火災により破壊。
building.menu.status.burned_partially,一部焼失
building.menu.status.burning,建物内で火事発生！
building.menu.status.church,街にいる狂信者の割合： {fanatics_percent}%
building.menu.status.construction,建設中。
building.menu.status.construction_template,{status} ({progress}%) 完了
building.menu.status.demolition,解体中
building.menu.status.extinguishing,消火作業中
building.menu.status.harvest.after_tomorrow,明後日に収穫が行われます。
building.menu.status.harvest.n_days,{days} 日後に収穫を行います。
building.menu.status.harvest.today,今日、作物を収穫します。
building.menu.status.harvest.tomorrow,明日、作物を収穫します。
building.menu.status.no_tasks,「生産」メニューからオーダーを作成します。
building.menu.status.fertilize,肥沃度： {number}%
building.menu.status.produce,生産中： {resource} ({progress}%)
building.menu.status.raw_not_enough,生産には資源が足りません。
building.menu.status.relocate,移転進行中。
building.menu.status.repair,修理中。
building.menu.status.upgrade,アップグレード中。
building.menu.status.work_time,作業時間 {work_hour_begin} ～ {work_hour_end}
building.menu.status.works_fine,正常に稼働中
building.menu.status.pig_farm_need_to_charge,ルタバガの補充が必要
building.menu.status.need_inspector,選任管理者が必要
building.menu.status.need_inspection,指示を受け取っていません
building.menu.status.need_paper_charge,紙の補充が必要
building.menu.tavern.allow_nectar,ネクタルの販売を許可
building.menu.temple.donation,寄付
building.menu.temple.priest,司祭
building.menu.workplace.appoint_inspector,割り当て
building.menu.workplace.inspection,管理
building.menu.workplace.priority,優先度
building.menu.workplace.produced_today,本日の生産量
building.menu.workplace.bonus_slave,囚人からのボーナス： {bonus_slave}
building.menu.workplace.bonus_addicted,依存者からのボーナス： {bonus_addicted}
building.menu.workplace.bonus_culture,{culture}の専門知識からのボーナス： {bonus_culture}
building.menu.workplace.statistics,ステータス
building.menu.workplace.workers,労働者
building.menu.workplace.workers.free,農民
building.menu.workplace.workers.slaves,囚人
building.menu.workplace.addicted,依存者
building.menu.patrollers,巡回者の旗
building.menu.radius,巡回範囲
building.menu.combat_max,最高戦闘レベル
building.menu.max_pain,最小痛みのレベル
menu.patrol_sign.description,戦士の巡回場所
building.mine,鉱山
building.noble_house,領主の家
building.paper_factory,製紙工場
building.slaves_barrack,刑務所
building.temple.preach.doubt,疑念の説教
building.temple.preach.faith,信仰の説教
building.farm.pig_farm_charge_abort,補充のキャンセル
building.farm.pig_farm_charge,ルタバガの補充
building.gallows.crimes,犯罪
building.gallows.punishments,処罰
building.gallows.change,変更
building.training_field,訓練場
building.woodcutter,製材所
building.workshop,作業場
building.gallows,処刑台
building.market,市場
building.storage,倉庫
building.tavern,酒場
building.drug_deg,秘密の取引場
building.rye_farm,ライ麦畑
building.hop_farm,ホップ畑
building.swede_farm,ルタバガ畑
building.pig_farm,養豚場
building.mill,水車
building.alchimestry,錬金術研究所
building.melting_furnace,製錬炉
building.patrol_sign,夜間巡回
display_event.actor_complete_action_task_on_gm,{name}が任務「{task_name}」を完了しました。
display_event.actor_abort_action_task_on_gm,{name}が任務を完了できませんでした。
display_event.actor_arrived_in_town_as_guest_on_gm,{name}が{town_name}に到着しました。
display_event.actors_married,{name_1}と{name_2}が婚約しました。
display_event.new_genius_king,噂：征服者
display_event.defence_alliance.squad_arrived,{faction_name}からの援軍が到着した！
display_event.defence_alliance.squad_created,援軍が集結し、あなたの指揮下に入りました！
display_event.defence_alliance.leave.time_expired,援軍の滞在が終了し、彼らは故郷へと帰ります。
display_event.defence_alliance.leave.battle_finished,援軍による支援を受け、彼らは帰路につきます。
display_event.defence_alliance.leave.defence_alliance_broken,{faction_name}との同盟関係が解消したことにより、援軍は故郷へと戻り、二度と支援してくれることはありません。
display_event.defence_alliance.leave.no_one_is_attacking_player,脅威が去ったので、援軍は帰路につきます。
display_event.defence_alliance.leave.other_reason,援軍は早めに帰路につきます。
display_event.got_title,{name}は領主の爵位を与えられました。
display_event.kid_need_title,{name}はまもなく、利用可能な領主の爵位が必要になります。
display_event.storage_robbery_gold,盗賊は{number}ゴールドを盗んだ！
display_event.squad_go_to_take_equipment,戦士たちが倉庫から武器を取り出しています。しばらくお待ちください…
display_event.no_servants_in_hall,屋敷には召使いが一人もいません！
display_event.squad_take_all_equipment,戦士たちの武装が完了しました！
display_event.horde_apeears,罪深き軍団の出現
display_event.horde_gossip,噂：僻地に新たに生まれた異端狂信集団
display_event.new_fraction,新たな貴族の誕生： {faction_name}
display_event.fraction_death,貴族の没落： {faction_name}
display_event.horde_murder_faction,罪深き軍団がまた新たな貴族を破滅させました。
display_event.horde_crisis_finish,罪深き軍団はノーランドの地から立ち去りました。
display_event.forecast,{resource}の価格予測
display_event.village_tribute,{village_name}：敬意を表しています
display_event.bandits_at_the_gate,近くに敵対的な部隊がいます！
display_event.army_at_the_gate,近くに敵対的な部隊がいます！
display_event.enemy_attack_city,敵が襲撃を開始しました！
display_event.free_lord_expired,領主の契約が満了しました。
display_event.free_lord_low_loyalty,自由になった領主は忠誠心を失いました。
display_event.terror_lords,領主たちのあいだに恐怖が蔓延しています！
display_event.terror_peasants,農民たちに恐怖が蔓延しています！
display_event.bandits_prepare_to_attack,盗賊があなたの街を襲撃する準備をしています。
display_event.caravan_arrive,神聖なキャラバンが街に到着しました。
display_event.free_lord_arrive,自由領主は雇われることを望んでいます。
display_event.character_bleeding,キャラクターは出血しています。
display_event.fire,火事が発生しました。
display_event.slaves_hungry,経済メニューで、囚人が十分な食事を受け取っているか確認してください。
display_event.dummy_little_beer,経済メニューで、キャラクターが十分なアルコールを受け取っているか確認してください。
display_event.dummy_little_food,経済メニューで、囚人が十分な食事を受け取っているか確認してください。
display_event.dummy_many_homeless,より多くの住宅を建設しましょう。
display_event.high_fanaticism_level,礼拝堂にて疑念の説教を行うことで、狂信の傾向を減らすことができます。
display_event.low_dummy_happiness,最も頻繁に現れる不幸な考えに注意を払いましょう。
display_event.not_enough_barracks,より多くの兵舎を建設しましょう。
display_event.not_enough_equipment,酒場で装備を購入するか、自分で作成しましょう。
display_event.not_enough_taverns,より多くの酒場を建設しましょう。
display_event.not_enough_temples,より多くの礼拝堂を建設しましょう。
display_event.too_much_unemploe,失業率を低下させ、平均的なムードを低下させ、その結果、移住を抑制します。
display_event.high_prices,農民は神聖なキャラバンから商品を購入します。
display_event.hired_soldiers_arrive,雇われの戦士たちが到着しました。
display_event.migrants_arrive,{number}人の移住者が到着しました。
display_event.knowledge_interaction,{name}は{knowledge}を学習中： {progress}%
display_event.book_writing,{name}は{knowledge}の本を執筆中： {progress}%
display_event.not_enough_knowledge_paper,{name}の本を執筆するには紙が足りません
display_event.knowledge_too_hard_again,{name}はこれ以上{knowledge}を学習できません
display_event.not_enough_resources,資源が足りません。
display_event.building_breakdown,建物が壊れました。
display_event.farm_depleted,農場の土壌は枯渇している。
display_event.farm_soon_depleted,農場の土壌が間もなく枯渇してしまいます。
display_event.not_enough_workers,労働者が足りません。
display_event.wheat_destroyed,干ばつで作物が全滅しました。
display_event.building_needs_direct_contol,この建物を運用するには、直接コントロールする必要があります。
display_event.building_without_inspector,この建物には管理者が必要です。
display_event.order_complete,{value} {resource}：オーダーが完了しました！
display_event.building_without_instruction,労働者に本日の指示が渡されていません。
display_event.resources_stolen,資源が盗まれました！ {value} {resource}
display_event.thugs_appear,街に殺し屋が現れました。
display_event.wolf_attack,人喰いオオカミの攻撃！
display_event.no_meds,医療用軟膏が完成しました！
display_event.quest_result,結果： {quest_name}
display_event.battle_result,戦闘結果
display_event.battle_start,新たな戦闘！
display_event.new_quest,{name}
display_event.new_book,本の新しい写本ができました： {knowledge}
display_event.new_knowledge,身に着けた知識：{knowledge}
display_event.slave_escape,囚人が脱走を試みています。
display_event.unhappy_lord,領主は満足していません。
display_event.actor_dont_work,ムードが低いため、{name}は与えられた任務を拒否しています。
display_event.reg_riot_soon,狂信者が{target_name}の血を求めています！
display_event.reg_riot_cancel,{target_name}を処刑したことにより狂信者は満足しています。これで反乱は起こらないでしょう。
display_event.holy_family_become_enemy,あなたは女家長の寵愛を失いました！
display_event.reg_riot_against_king,狂信者は{target_name}は死すべきだと信じています。
display_event.reg_riot_in_hour,数時間後には反乱が勃発します！
display_event.low_loyaled,領主が王国を去っていきます。
display_event.bulglary_storage,放浪人は屋敷の倉庫を襲いました。
display_event.hall_robbed,放浪人が屋敷に侵入してゴールドを奪いました。
display_event.library_robbed,放浪人が図書館に侵入して本を奪いました。
display_event.lord_kidnapped,放浪人があなたの領主を誘拐しました！
display_event.lord_killed,金で雇われた殺し屋が領主を殺害しました！
display_event.army_returned_from_global_map,部隊が帰還しました。
display_event.hirde_bandits_returned_from_global_map,雇われの殺し屋が戦利品を持ち帰りました。
display_event.kid_now_can_read,{name}が成長して、10代になった。
display_event.bishop_arrived,司教が集落に到着しました。
display_event.bishop_leave_province,司教が集落を立ち去ります。
display_event.faction_become_enemy,派閥「{faction_name}」が敵になりました。
display_event.faction_soon_become_enemy,派閥「{faction_name}」がまもなく敵になります。
display_event.economy_statistics,経済レポート
display_event.dayly_statistic,日々の統計
display_event.daily_stat_main_pronlems,頻出するネガティブな思考
display_event.daily_stat_no_problems,問題なし
display_event.world_summary,ワールド概要
display_event.world_summary_trade,貿易
display_event.world_summary_marriage,結婚
display_event.world_summary_other,その他
display_event.world_summary_politic,政策
display_event.religious_rebellion_start,宗教的反乱が始まりました！
display_event.slaves_rebellion,囚人の反乱が始まりました！
display_event.soldier_rebellion,戦士たちの反乱が始まった！
display_event.loyalist_rage,王政支持者が大虐殺を始めている！
display_event.loyalist_rage_over,王政支持者による大虐殺が終わった
