Key,Turkish
main_menu.new_game.province.game_params.header,Oyun parametreleri
main_menu.new_game.province.header,Başlangıç vilayetini seç
main_menu.new_game.province.header.back_to_select_mode,Kendi vilayetini ve diğer vilayetleri ayarla
main_menu.new_game.province.header.next,Sonraki
main_menu.new_game.province.banner,Sancak
main_menu.new_game.province.difficulty,Zorluk
main_menu.new_game.province.difficulty.peaceful,Barışçıl Mod
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Zor
main_menu.new_game.province.difficulty.ironman,Demir İrade
main_menu.new_game.province.neighbours.caution.careful,Dikkatli
main_menu.new_game.province.neighbours.caution.risky,Riskli
main_menu.new_game.province.neighbours.caution.balanced,Dengeli
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Barışçıl
main_menu.new_game.province.neighbours.city_size,Başlangıç şehir boyutu
main_menu.new_game.province.neighbours.army_power,Ordu gücü
main_menu.new_game.province.neighbours.enemy,Antipati
main_menu.new_game.province.neighbours.friend,Sempati
main_menu.new_game.province.neighbours.neutral,Nötr
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Terk edilmiş kasaba
main_menu.new_game.province.neighbours.empty,Komşu Seç
main_menu.new_game.family.banner.sign_color,Nişan Rengi
main_menu.new_game.family.banner.pattern,Desen
main_menu.new_game.family.banner.sign,Nişan
main_menu.new_game.family.look.body,Vücut
main_menu.new_game.family.look.skin_color,Ten Rengi
main_menu.new_game.family.look.hair_color,Saç Rengi
main_menu.new_game.family.look.beard,Sakal
main_menu.new_game.family.look.haircut,Saç
main_menu.new_game.family.look.head,Kafa
main_menu.new_game.family.look.sex,Cinsiyet
main_menu.new_game.family.look.random,Rastgele görünüm
main_menu.new_game.family.character_traits,KARAKTER ÖZELLİKLERİ
main_menu.new_game.family.skills,BECERİLER
main_menu.new_game.family.overall_skills,Genel Beceriler
main_menu.new_game.soft_onboarding,Kolay Başlangıç
main_menu.new_game.family.members,Aile Fertleri
main_menu.new_game.family.members.husband_wife_child,"Koca, karı, çocuk"
main_menu.new_game.family.members.two_sis_and_son,İki kız kardeş ve bir erkek çocuk
main_menu.new_game.family.members.two_bro,İki erkek kardeş
main_menu.new_game.family.members.three_sisters,Üç kız kardeş
main_menu.new_game.family.members.father_three_doughters,Baba ve kızları
main_menu.new_game.family_settings,Aile Ayarları
main_menu.ng_world_should_generate,Dünya Oluştur
main_menu.ng_select_map,Harita Seç
main_menu.ng_save_name,Kayıt dosyası ismini gir
main_menu.save_load.delete,Sil
main_menu.save_load.deleted,SİLİNDİ
main_menu.save_load.save_as.desc2,Güncel harita dosyası ismi altında kaydetmek için boş bırak
main_menu.save_load.save_as.desc,Yeni kayıt dosyası ismi
main_menu.save_load.save_as,Yeni kayıt
main_menu.save_load.rewrite,Üzerine yaz
main_menu.save_load.save,Kaydet
main_menu.save_load.load,Yükle
main_menu.save_load.autosave_morning,Gündüz
main_menu.save_load.autosave_evening,Akşam
main_menu.mods,Modlar
main_menu.credits,Emeği Geçenler
main_menu.discord,Discord
main_menu.leave_feedback,Ver
main_menu.feedback.send,Geri Bildirim
main_menu.exit,Çıkış
main_menu.settings,Ayarlar
main_menu.load_game,Oyunu Yükle
main_menu.start_tutorial,Eğitici
main_menu.start_new_game,Yeni Oyun
main_menu.continue_last_game,Devam Et
main_menu.save_and_exit,Kaydet ve Çık
main_menu.start,Başlat
main_menu.back,Geri
menu.problems,Sorunlar
adv_tutorial.obj_build_sawmill_place_text,Kereste Fabrikası'nı buraya inşa et.
adv_tutorial.obj_build_field_place_text,Şalgam Tarlası'nı buraya yerleştir.
adv_tutorial.obj_build_taverna_place_text,Taverna'yı buraya inşa et.
adv_tutorial.obj_build_generic_place_text,Buraya yerleştir
notification.tutorial.ambush,Haydutlar saldırıyor!
loading_screen,Yükleniyor... Lütfen bekle.
loading_screen.ingame.misc_loading,Veriler Yükleniyor
loading_screen.ingame.gui_init,Arayüz Oluşturuluyor
loading_screen.ingame.save_game_load,Kayıtlı Oyun Yükleniyor
loading_screen.ingame.new_game_load,Yeni Oyun Başlatılıyor
loading_screen.ingame.gui_system,Arayüz Sistemi Başlatılıyor
loading_screen.ingame.map_cells,Harita Hücreleri Oluşturuluyor
loading_screen.ingame.trade_manager,Ticaret Yöneticisi Başlatılıyor
loading_screen.ingame.local_map_controller,Yerel Harita Yöneticisi Yükleniyor
loading_screen.ingame.province_controller,Vilayet Verileri Yükleniyor
loading_screen.ingame.global_map,Haricî Harita Yükleniyor
loading_screen.ingame.battle_injuty_lottery,Dövüş Hasarı Şansı Yükleniyor
loading_screen.ingame.game_system_init,Oyun İçi Sistemler Yükleniyor
loading_screen.ingame_unloading,Oyun İçi Kaynaklar Yükleniyor
loading_screen.caching_textures,Dokular Önbelleğe Alınıyor
loading_screen.game_vars,Oyun Değişkenleri Yükleniyor
loading_screen.audio,Ses Sistemleri Başlatılıyor
loading_screen.animations,Animasyonlar Yükleniyor
loading_screen.building_assets,Bina Değerleri Yükleniyor
loading_screen.actor_assets,Oyuncu Değerleri Yükleniyor
loading_screen.traits,Özellikler Yükleniyor
loading_screen.minds,Düşünceler Yükleniyor
loading_screen.tantrums,Sinir Krizleri Yükleniyor
loading_screen.activity,Aktiviteler Yükleniyor
loading_screen.game_data,Oyun İçi Veriler Yükleniyor
loading_screen.building_constructions,Bina İnşaatları Yükleniyor
loading_screen.banners,Sancaklar Yükleniyor
loading_screen.gui,Arayüz Yükleniyor
loading_screen.hints,İpuçları Yükleniyor
loading_screen.rich_string,Zengin Satırlar Yükleniyor
loading_screen.knowledge_localization,İrfan Yerelleştirmesi Yükleniyor
loading_screen.saves_and_maps,Dünya ve Kayıt Listeleri Yükleniyor
loading_screen.done,Yükleme Tamamlandı.
encyclopedia.help,YARDIM
encyclopedia.category.battle,Dövüş
encyclopedia.category.economics,Ekonomi
encyclopedia.category.characters,Karakterler
encyclopedia.category.mechanics,Mekanikler
encyclopedia.category.hints,İpuçları
encyclopedia.category.global_map,Harita
encyclopedia.search,Ara...
action_task.skill_training_caption,{skill_name} öğretiliyor
actor.relations.filter.location,Yakında
actor.relations.filter.kings,Hükümdarlar
actor.relations.filter.friends,Arkadaşlar
actor.relations.filter.enemies,Düşmanlar
actor.relations.filter.can_seduce,Ayartılabilir
action_task.category.king,Hükümdar
action_task.category.social,Sosyal
action_task.category.bishop,Piskopos
action_task.sub_category.social,İletişim
action_task.sub_category.intrigue,Entrika Çevir
actor.action_task.begging,Af dile
actor.action_task.nominate_enemy,Düşman ilan et
actor.action_task_hunt,Etbörü avı
actor.action_task_sick_visit,Hasta ziyareti
actor.action_task.marriage,Evlen
actor.action_task.bribe,Rüşvet
actor.action_task.punish,Cezalandır
actor.action_task.reward,Ödüllendir
actor.action_task.rumors,Dedikodu yay
actor.action_task.spent_time,Zaman geçir
actor.action_task.invite,Davet et
actor.action_task.teach,Eğitim
actor.action_task.threat,Tehdit et
actor.action_task.trade,Ticaret
actor.action_task.make_free,Özgür bırak
actor.action_task.seduction,Ayart
actor.action_task.donate,Hükümdara hediye ver
actor.action_task.kill,Öldür
actor.action_task.poison,Zehirle
actor.action_task.play_dice,Zar at
actor.action_task.depart,Sürgün
actor.action_task.duel_call,Düelloya davet et
actor.action_task.duel_provocation,Düello için kışkırt
actor.action_task.free_lord_hire,Bir asilzade işe al
actor.action_task.send_guest,Misafir gönder
actor.action_task.king_tribute,Sun
actor.action_task.confession,İtiraf et
actor.action_task.kidnap,Yakala
actor.action_task.free_captive,Serbest bırak
actor.action_task.forced_sex,Sekse zorla
actor.action_task.appoint_an_heir,Vâris ilan et
actor.action_task.go_home,Eve yolla
actor.action_task.sex_with_dummy,Uygunsuz teklifte bulun
actor.action_task.new_heir,Vâris olarak ata
actor.action_task.canonization,Kutsama
actor.action_task.divorce,Boşanma
actor.action_task.consolation,Teselli et
actor.action_task.give_title_to_hired_free_lord,Ünvan ver
actor.action_task.give_title_to_soldier,Ünvan ver
actor.action_task.take_title,Asilzadelik ünvanını geri al
actor.action_task.join_captive,Serbest bırak ve ailene al
actor.action_task.new_king,Tacı ver
actor.appoint_in_town,Bulunduğu Yer: {town_name}
actor.appoint_in_this_town,Bu kasabada
actor.appoint.our_lords,Asilzadelerimiz
actor.appoint.other_lords,Diğer asilzadeler
actor.action.training,EĞİTİM
actor.action.conversation,MÜZAKERELER
actor.action.army.on_local_map,Yerel haritada
actor.action.army.on_global_map,Dünya haritasında
actor.action.army,ORDU
actor.action.executor,OYUNCU
actor.action.executor_replace,DEĞİŞTİR
actor.action.teacher,ÖĞRETMEN
actor.action.chancellery_any,Herhangi bir Şansölyelik
actor.action.punishment,CEZA
actor.action.teach,ÖĞREN
actor.action.person,KİMDEN?
actor.action.different_actions,EYLEM
actor.action.trade,TİCARET
actor.action_task.invite_guest,Vilayetine davet et
actor.status.on_global_map,Dünya haritasında
actor.status.on_global_map_lost,Kayıp
actor.status.in_army,Dünya haritasındaki bir bölükte
actor.status.in_travel,Seyahat hâlinde
actor.status.in_object,Bulunduğu Yer: {object_name}
actor.adjective.addicted_to_drink,İçmeye eğilimli
actor.adjective.ambitious,Hırslı
actor.adjective.angry,İntikamcı
actor.adjective.arrogant,Kibirli
actor.adjective.ascetic,Sofu
actor.adjective.bloodthirsty,Kana susamış
actor.adjective.contemptuous,Küçümseyici
actor.adjective.contradictory,Tutarsız
actor.adjective.emotional,Duygusal
actor.adjective.envious,Haset
actor.adjective.friendly,Arkadaş canlısı
actor.adjective.frivolous,Uçarı
actor.adjective.greedy,Açgözlü
actor.adjective.indifferent,Umursamaz
actor.adjective.intemperate,Fevri
actor.adjective.jealous,Kıskanç
actor.adjective.mean,Kindar
actor.adjective.melancholy,Melankolik
actor.adjective.sarcastic,İğneleyici
actor.adjective.subtle,Zarif
actor.adjective.trusting,Ahmak
actor.adjective.weakpowered,Zayıf
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Bir köylüye nedensizce saldırılması <hint=hint_terror_peasants>dehşete</hint> neden olur.</red>
actor.appoint.nominate_enemy.lord,<red>Bir asilzadeye nedensizce saldırılması <hint=hint_terror_lord>dehşete</hint> neden olur.</red>
actor.appoint.nominate_enemy.guest,"<red>Ne yaparlarsa yapsınlar bir misafire saldırmak kutsal misafirperverlik yasasının ihlali olarak değerlendirilir.</red>
 
 $ {soul_uuid_performer_king} ve {soul_uuid_target} arasındaki ilişki: <red>{relations_modify_target}
 
 </b>İPUCU</b>: Anlaşmazlıkları çözmek için <hint=hint_duel>düellolardan</hint> yararlanabilirsin."
actor.appoint.nominate_enemy.bishop,"<red>Ne yaparlarsa yapsınlar bir Sevecen Aile üyesine saldırılması, şehrinin <hint=hint_inquisitors>Engizisyon</hint> tarafından cezalandırılmasıyla sonuçlanır.</red>"
actor.age,Yaşı {age}
actor.age_short,Yaşı {age}
actor.class.unarmed,Silahsız
actor.class.l_archer,Hafif Okçu
actor.class.axeman,Baltacı
actor.class.guard,Muhafız
actor.class.h_axeman,Ağır Baltacı
actor.class.faceless_axeman,Habis Sürü Savaşçısı
actor.class.h_hammerhead,Ağır Gürzlü
actor.class.h_spearman,Ağır Mızraklı
actor.class.h_swordman,Ağır Silahşor
actor.class.hammerhead,Gürzlü
actor.class.l_spearman,Hafif Mızraklı
actor.class.outcast,Serseri
actor.class.spearman,Mızraklı
actor.class.swordman,Silahşor
actor.class.light_archer,Zırhsız 3-5. Seviye Okçu
actor.class.light_hammerhead,Zırhsız 3-5. Seviye Gürzlü
actor.class.light_spearman,Zırhsız 3-5. Seviye Mızraklı
actor.class.light_axeman,Zırhsız Ama Kalkanlı 3-5. Seviye Baltacı
actor.class.middle_archer,Hafif Zırhlı 8-11. Seviye Okçu
actor.class.middle_hammerhead,Hafif Zırhlı ve Kalkanlı 8-11. Seviye Gürzlü
actor.class.middle_spearman,Hafif Zırhlı ve Kalkanlı 8-11. Seviye Mızraklı
actor.class.heavy_axeman,Ağır Zırhlı ve Kalkanlı 13-17. Seviye Baltacı
actor.class.heavy_swordman,Ağır Zırhlı ve Kalkanlı 13-17. Seviye Silahşor
actor.class.lord,Ağır Zırhlı ve Kalkanlı Asilzade Silahşor
actor.dignity.king,Hükümdar
actor.events,OLAYLAR
actor.events_date,TARİH
actor.knowledge,İRFAN
actor.hint.battle_skill,Dövüş Beceri Seviyesi
actor.hint.crimes.caption,Suçlar
actor.hint.injury.caption,Yaralanmalar
actor.hint.injury.pain_level,Acı Seviyesi: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Acı Eşiği:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Enfeksiyon riski devam ediyor
actor.hint.sin.caption,Günahlar
actor.hint.sin.piety_impact,Ruh hâline etkisi: {piety_impact}
actor.impact_on_person,EYLEM
actor.inventory,ENVANTER
actor.log.today,Bugün
actor.log.days_before,{day} gün önce
actor.log.yesterday,Dün
actor.loyalty,Sadakat %{loyalty}
menu.battle_result.win,Zafer!
menu.battle_result.lose,Mağlubiyet
menu.battle_result.deployed,Konuşlandırılan
menu.battle_result.died,Ölü
menu.battle_result.escaped,Kaçan
menu.battle_result.captured,Yakalanan
actor.menu.appoint.hunt,Avlanıyor
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,DÜŞÜNCELER
actor.moral,RUH HÂLİ
actor.motive.energy,Uyku
actor.motive.food,Gıda
actor.motive.rest,Dinlenme
actor.motive.religion,Dindarlık
actor.motive.sex,Seks
actor.motive.care,Bakım
actor.noun.adventurer,Maceraperest
actor.noun.depraved,Zampara
actor.noun.fatalist,Kaderci
actor.noun.flatterer,Yağcı
actor.noun.genius,Dâhi
actor.noun.introvert,İçine Kapanık
actor.noun.moron,Aptal
actor.noun.mystic,Gizemli
actor.noun.narcissist,Narsist
actor.noun.rude,Kavgacı
actor.noun.shameless,Sapkın
actor.noun.skeptic,Kuşkucu
actor.noun.workaholic,İşkolik
actor.opinion.choose_factions.province_hint,Yerel haritada
actor.opinion.interest,İlgi:
actor.opinion.interest.high,Yüksek
actor.opinion.interest.low,Düşük
actor.opinion.interest.middle,Orta
actor.opinion.no_minds,Düşünce Yok
actor.opinion.opinion_of,{name} hakkındaki düşünceleri:
actor.opinion.opinion_of_me,{name} karakterinin hakkımdaki düşünceleri:
actor.opinion.opinion_of_third_person,{name_2} adlı karakterin {name} hakkındaki düşünceleri:
actor.opinion.special.deadly_enemy,Can Düşmanı
actor.opinion.special.enemy,Düşman
actor.opinion.special.friend,Arkadaş
actor.opinion.special.like,İyi İlişki
actor.opinion.special.love,Romantik İlgi
actor.part_of_nature,KARAKTER ÖZELLİKLERİ
actor.punish.execute,İdam et
actor.punish.expel,Sürgün
actor.punish.imprison,Esir tut
actor.desire,ARZU
actor.skill.command,Komuta
actor.skill.education,Öğretme
actor.skill.fight,Dövüş
actor.skill.knowledge,Zekâ
actor.skill.management,Yönetim
actor.skill.manners,Terbiye
actor.skill.negotiation,Ticaret
actor.skill.oratory,İkna
actor.skill.points_remain,Bir sonraki seviyeye geçmek için {number} tecrübe puanı gerekir
actor.skills,BECERİLER
actor.skills_training,EĞİTİM
actor.skills.level,{level}
actor.skill_category.rhetoric,Üslup
actor.skill_category.economic,Ekonomi
actor.skill_category.philosophy,Felsefe
actor.skill_category.warcraft,Savaş
actor.stata.bandit,Haydut
actor.stata.thug,Eşkıya
actor.states,DURUM
actor.strata.animal,Hayvan
actor.strata.slave,Mahkûm
actor.traits,DURUM
building.hostel,Yurt
building.library,Kütüphane
building.armorsmith,Zırh Ocağı
building.barracks,Kışla
building.brewery,İçki İmalathanesi
building.caption_with_level,{level}. Seviye {building_name}
building.castle,Salon
building.chancellery,Şansölyelik
building.church,Tapınak
building.altar,Sunak
building.coal_burner,Kömür Fırını
building.coal_furnace,Kömür Fırını
building.coal_mine,Kömür Madeni
building.description.burned,Bu bina yangında kül oldu. Yalnızca yıkılabilir.
building.farm,Çiftlik
building.forge,Silah Ocağı
building.hall_storage,Salon Deposu
building.herbalist,Otacı
building.house,Köylü Evi
building.menu.appoint.church,VAAZ
building.menu.appoint.training,EĞİTİM
building.menu.appoint.gallows,CEZA
building.menu.appoint.chancellery,ŞANSÖLYE
building.menu.appoint.culture,KÜLTÜR
building.menu.appoint.appoint_culture,ata
building.menu.castle.builders,İNŞAATÇILAR
building.menu.castle.servants,HİZMETÇİLER
building.menu.gallows.terror,Dehşet
building.menu.gallows.executers,CELLATLAR
building.menu.in_stock,ARDİYE'DE
building.menu.required_resources,GEREKLİ
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,SAKİNLER
building.menu.service.attendance,Yoklama
building.menu.service.inspection,SİYASET
building.menu.service.revenue,Kâr
building.menu.combat_training.number_of_places,EŞ ZAMANLI EĞİTİM
building.menu.sold,SATILANLAR
building.menu.trader,TÜCCAR
building.menu.special_button.auto_repair,Otomatik Tamirat
building.menu.special_button.abort,İptal et
building.menu.special_button.destroy,Yok et
building.menu.special_button.relocate,Taşı
building.menu.special_button.repair,Onar
building.menu.special_button.upgrade,Yükselt
building.menu.special_button.upgrade_workplace,+1 çalışma alanı
building.menu.status.breakdown,Arıza
building.menu.status.need_charge,Çiftlik tüketildi.
building.menu.status.burned_full,Yangında kül oldu.
building.menu.status.burned_partially,Kısmen yandı.
building.menu.status.burning,Bina yanıyor!
building.menu.status.church,Şehirdeki dindar fanatikler: %{fanatics_percent}
building.menu.status.construction,İnşaat devam ediyor.
building.menu.status.construction_template,{status} (%{progress}) Tamamlandı
building.menu.status.demolition,Sökme işlemi devam ediyor.
building.menu.status.extinguishing,Yangın söndürme işlemi devam ediyor.
building.menu.status.harvest.after_tomorrow,Hasat: Yarından sonraki gün.
building.menu.status.harvest.n_days,Ekinler {days} gün sonra hasat edilecek.
building.menu.status.harvest.today,Bugün ekinler hasat edilecek.
building.menu.status.harvest.tomorrow,Yarın ekinler hasat edilecek.
building.menu.status.no_tasks,Üretim menüsünden sipariş oluştur.
building.menu.status.fertilize,Verimlilik: %{number}
building.menu.status.produce,Üretiliyor: {resource} (%{progress})
building.menu.status.raw_not_enough,Üretim için yetersiz kaynak.
building.menu.status.relocate,Taşıma işlemi devam ediyor.
building.menu.status.repair,Tamir işlemi devam ediyor.
building.menu.status.upgrade,Yükseltme işlemi devam ediyor.
building.menu.status.work_time,Çalışma saatleri {work_hour_begin} ile {work_hour_end} arasındadır.
building.menu.status.works_fine,Sorunsuz Çalışıyor
building.menu.status.pig_farm_need_to_charge,Şalgam ikmali gereklidir
building.menu.status.need_inspector,Atanmış bir yönetici gerekiyor
building.menu.status.need_inspection,Talimatlar alınmadı
building.menu.status.need_paper_charge,Kâğıt ikmali gereklidir
building.menu.tavern.allow_nectar,Nektara İzin Ver
building.menu.temple.donation,Bağışlar
building.menu.temple.priest,RAHİP
building.menu.workplace.appoint_inspector,Ata
building.menu.workplace.inspection,YÖNETİM
building.menu.workplace.priority,Öncelik
building.menu.workplace.produced_today,BUGÜN ÜRETİLEN
building.menu.workplace.bonus_slave,Mahkûm bonusu: {bonus_slave}
building.menu.workplace.bonus_addicted,Bağımlı bonusu: {bonus_addicted}
building.menu.workplace.bonus_culture,{culture} uzmanlığı bonusu: {bonus_culture}
building.menu.workplace.statistics,İSTATİSTİKLER
building.menu.workplace.workers,İŞÇİLER
building.menu.workplace.workers.free,Köylüler
building.menu.workplace.workers.slaves,Mahkûmlar
building.menu.workplace.addicted,Bağımlı
building.menu.patrollers,Devriye Sancağı
building.menu.radius,Devriye Menzili
building.menu.combat_max,Maksimum Dövüş Seviyesi
building.menu.max_pain,MAKSİMUM ACI SEVİYESİ
menu.patrol_sign.description,Savaşçılar için devriye yeri
building.mine,Maden
building.noble_house,Asilzade Evi
building.paper_factory,Kâğıt Atölyesi
building.slaves_barrack,Hapishane Koğuşu
building.temple.preach.doubt,Şüphe Vaazı
building.temple.preach.faith,İnanç Vaazı
building.farm.pig_farm_charge_abort,İkmali İptal Et
building.farm.pig_farm_charge,Şalgam ikmali yap
building.gallows.crimes,Suçlar
building.gallows.punishments,Cezalar
building.gallows.change,Değiştir
building.training_field,Eğitim Alanı
building.woodcutter,Kereste Fabrikası
building.workshop,Atölye
building.gallows,Darağacı
building.market,Pazar
building.storage,Ardiye
building.tavern,Taverna
building.drug_deg,Batakhane
building.rye_farm,Çavdar Tarlası
building.hop_farm,Şerbetçi Otu Tarlası
building.swede_farm,Şalgam Tarlası
building.pig_farm,Domuz Çiftliği
building.mill,Değirmen
building.alchimestry,Kimya Laboratuvarı
building.melting_furnace,Döküm Fırını
building.patrol_sign,Gece Devriyesi
display_event.actor_complete_action_task_on_gm,"{name}, {task_name} görevini tamamladı."
display_event.actor_abort_action_task_on_gm,{name} görevi tamamlayamadı.
display_event.actor_arrived_in_town_as_guest_on_gm,"{name}, {town_name} kasabasına geldi."
display_event.actors_married,{name_1} ve {name_2} nişanlandı.
display_event.new_genius_king,Dedikodu: Fatihler
display_event.defence_alliance.squad_arrived,{faction_name} destek güçleri geldi!
display_event.defence_alliance.squad_created,Destek güçleri yerlerine yerleştirildi ve emrine amade!
display_event.defence_alliance.leave.time_expired,Destek güçleri artık geri dönüyor.
display_event.defence_alliance.leave.battle_finished,Destek güçleri sana yardım etti ve artık geri dönüyor.
display_event.defence_alliance.leave.defence_alliance_broken,{faction_name} ile olan ittifakın feshedildiği için destek güçleri erkenden geri dönüyor.
display_event.defence_alliance.leave.no_one_is_attacking_player,"Artık tehdit altında değilsin, destek güçleri geri dönüyor."
display_event.defence_alliance.leave.other_reason,Destek güçleri erkenden geri dönüyor.
display_event.got_title,"{name}, asilzade ünvanını aldı."
display_event.kid_need_title,"{name}, yakında uygun bir asilzadelik ünvanına ihtiyaç duyacak."
display_event.storage_robbery_gold,Hırsızlar {number} altın çaldı!
display_event.squad_go_to_take_equipment,Savaşçılar depodan silahlarını alıyor. Lütfen biraz bekle...
display_event.no_servants_in_hall,Salonda hiç hizmetçi yok!
display_event.squad_take_all_equipment,Savaşçılar silahlandı ve hazırlar!
display_event.horde_apeears,Habis Sürü Görüldü
display_event.horde_gossip,Dedikodu: Uzak Diyarlarda Yeni Bir Kâfir Tarikatı Doğuyor
display_event.new_fraction,Yeni Bir Asil Ailenin Doğuşu: {faction_name}
display_event.fraction_death,Asil Bir Ailenin Çöküşü: {faction_name}
display_event.horde_murder_faction,Habis Sürü bir asil aileyi daha yok etti.
display_event.horde_crisis_finish,"Habis Sürü, Norland sınırlarını terk etti."
display_event.forecast,Fiyat tahmini elde edildi {resource}
display_event.village_tribute,{village_name}: Haraç ödüyor
display_event.bandits_at_the_gate,Yakınlarda bir düşman bölüğü var!
display_event.army_at_the_gate,Yakınlarda bir düşman bölüğü var!
display_event.enemy_attack_city,Düşman saldırıyor!
display_event.free_lord_expired,Asilzadenin sözleşmesi sona erdi.
display_event.free_lord_low_loyalty,Özgür asilzade sadakat kaybetti.
display_event.terror_lords,Asilzadeler dehşet içinde!
display_event.terror_peasants,Köylüler dehşet içinde!
display_event.bandits_prepare_to_attack,Haydutlar kasabana saldırmaya hazırlanıyor.
display_event.caravan_arrive,Kutsal Kervan şehre geldi.
display_event.free_lord_arrive,Özgür bir asilzade işe alınmayı bekliyor.
display_event.character_bleeding,Bir karakterin kanaması var.
display_event.fire,Yangın çıktı.
display_event.slaves_hungry,Ekonomi menüsüne göz atarak mahkûmların yeterli miktarda gıda aldığından emin ol.
display_event.dummy_little_beer,Ekonomi menüsüne göz atarak karakterlerin yeterli miktarda alkol aldığından emin ol.
display_event.dummy_little_food,Ekonomi menüsüne göz atarak mahkûmların yeterli miktarda gıda aldığından emin ol.
display_event.dummy_many_homeless,Daha fazla ev inşa et.
display_event.high_fanaticism_level,Tapınak'tan Şüphe Vaazı vererek fanatiklik azaltılabilir.
display_event.low_dummy_happiness,En sık görülen olumsuz düşüncelere dikkat et.
display_event.not_enough_barracks,Daha fazla Kışla inşa et.
