Key,Russian
main_menu.save_load.autosave_evening,Вечер
main_menu.mods,Модификации
main_menu.credits,Создатели
main_menu.discord,Discord
main_menu.leave_feedback,Отзыв
main_menu.feedback.send,Оставить
main_menu.exit,Выход
main_menu.settings,Настройки
main_menu.load_game,Загрузить игру
main_menu.start_tutorial,Обучение
main_menu.start_new_game,Новая игра
main_menu.continue_last_game,Продолжить
main_menu.save_and_exit,Сохранить и Выйти
main_menu.start,Начать
main_menu.back,Назад
menu.problems,Проблемы
adv_tutorial.obj_build_sawmill_place_text,Постройте здесь Лесопилку
adv_tutorial.obj_build_field_place_text,Постройте здесь Поле брюквы
adv_tutorial.obj_build_taverna_place_text,Постройте здесь Таверну
adv_tutorial.obj_build_generic_place_text,Разместите здесь
notification.tutorial.ambush,Бандиты пошли в атаку!
loading_screen,Загрузка
loading_screen.ingame.misc_loading,Загрузка данных
loading_screen.ingame.gui_init,Создание интерфейса игры
loading_screen.ingame.save_game_load,Загрузка Сохранённой игры
loading_screen.ingame.new_game_load,Инициализация Новой игры
loading_screen.ingame.gui_system,Инициализация системы GUI
loading_screen.ingame.map_cells,Создание клеток карты
loading_screen.ingame.trade_manager,Инициализация Менеджера Торговли
loading_screen.ingame.local_map_controller,Загрузка Контроллера локальной карты
loading_screen.ingame.province_controller,Загрузка Данных Провинции
loading_screen.ingame.global_map,Загрузка Внешней карты
loading_screen.ingame.battle_injuty_lottery,Загрузка шансов боевых травм
loading_screen.ingame.game_system_init,Инициализация Внутриигровых Систем
loading_screen.ingame_unloading,Выгрузка внутриигровых ресурсов
loading_screen.caching_textures,Кеширование текстур
loading_screen.game_vars,Загрузка внутриигровых переменных
loading_screen.audio,Запуск аудио системы
loading_screen.animations,Загрузка анимаций
loading_screen.building_assets,Загрузка ассетов зданий
loading_screen.actor_assets,Загрузка ассетов акторов
loading_screen.traits,Загрузка трейтов
loading_screen.minds,Загрузка Мыслей
loading_screen.tantrums,Загрузка нервных срывов
loading_screen.activity,Загрузка Активити
loading_screen.game_data,Загрузка внутриигровых данных
loading_screen.building_constructions,Загрузка Зданий
loading_screen.banners,Загрузка Баннеров
loading_screen.gui,Загрузка Интерфейс системы
loading_screen.hints,Загрузка всплывающих подсказок
loading_screen.rich_string,Загрузка Rich String
loading_screen.knowledge_localization,Загрузка локализации знаний
loading_screen.saves_and_maps,Загрузка списков миров и сохранений
loading_screen.done,Загрузка завершена
encyclopedia.help,ПОМОЩЬ
encyclopedia.category.battle,Бой
encyclopedia.category.economics,Экономика
encyclopedia.category.characters,Персонажи
encyclopedia.category.mechanics,Механики
encyclopedia.category.hints,Подсказки
encyclopedia.category.global_map,Карта
encyclopedia.search,Поиск..
action_task.skill_training_caption,Преподавание {skill_name}
actor.relations.filter.location,Рядом
actor.relations.filter.kings,Короли
actor.relations.filter.friends,Друзья
actor.relations.filter.enemies,Враги
actor.relations.filter.can_seduce,Могут соблазнить
action_task.category.king,Король
action_task.category.social,Социальное
action_task.category.bishop,Епископ
action_task.sub_category.social,Общение
action_task.sub_category.intrigue,Интриги
actor.action_task.begging,Молить о прощении
actor.action_task.nominate_enemy,Объявить врагом
actor.action_task_hunt,Охота на плотоволков
actor.action_task_sick_visit,Проведать больного
actor.action_task.marriage,Поженить
actor.action_task.bribe,Подкуп
actor.action_task.punish,Наказать
actor.action_task.reward,Наградить
actor.action_task.rumors,Слухи
actor.action_task.spent_time,Провести время
actor.action_task.invite,Пригласить
actor.action_task.teach,Обучать
actor.action_task.threat,Угрожать
actor.action_task.trade,Торговля
actor.action_task.make_free,Освободить
actor.action_task.seduction,Соблазнить
actor.action_task.donate,Дар королю
actor.action_task.kill,Убить
actor.action_task.poison,Отравить
actor.action_task.play_dice,Сыграть в кости
actor.action_task.depart,Выгнать
actor.action_task.duel_call,Вызвать на дуэль
actor.action_task.duel_provocation,Спровоцировать дуэль
actor.action_task.free_lord_hire,Нанять лорда
actor.action_task.send_guest,Отправить гостя
actor.action_task.king_tribute,Подношение
actor.action_task.confession,Исповедаться
actor.action_task.kidnap,Пленить
actor.action_task.free_captive,Освободить
actor.action_task.forced_sex,Принудить к сексу
actor.action_task.appoint_an_heir,Объявить наследником
actor.action_task.go_home,Отправить домой
actor.action_task.sex_with_dummy,Предложение
actor.action_task.new_heir,Назначить наследником
actor.action_task.canonization,Благословление
actor.action_task.divorce,Развод
actor.action_task.consolation,Утешить
actor.action_task.give_title_to_hired_free_lord,Даровать титул
actor.action_task.give_title_to_soldier,Даровать титул
actor.action_task.take_title,Забрать титул
actor.action_task.join_captive,Освободить и принять
actor.action_task.new_king,Передать корону
actor.appoint_in_town,В {town_name}
actor.appoint_in_this_town,В этом городе
actor.appoint.our_lords,Наши лорды
actor.appoint.other_lords,Чужие лорды
actor.action.training,ОБУЧЕНИЕ
actor.action.conversation,ПЕРЕГОВОРЫ
actor.action.army.on_local_map,На локальной карте
actor.action.army.on_global_map,На глобальной карте
actor.action.army,АРМИЯ
actor.action.executor,ИСПОЛНИТЕЛЬ
actor.action.executor_replace,ЗАМЕНИТЬ
actor.action.teacher,УЧИТЕЛЬ
actor.action.chancellery_any,Любая канцелярия
actor.action.punishment,НАКАЗАНИЕ
actor.action.teach,ОБУЧИТЬ
actor.action.person,КОГО?
actor.action.different_actions,ДЕЙСТВИЕ
actor.action.trade,ТОРГОВАТЬ
actor.action_task.invite_guest,Пригласить к себе
actor.status.on_global_map,На глобальной карте
actor.status.on_global_map_lost,Пропал без вести
actor.status.in_army,В отряде на глобальной карте
actor.status.in_travel,В путешествии
actor.status.in_object,В {object_name}
actor.adjective.addicted_to_drink,Склонный к выпивке
actor.adjective.ambitious,Честолюбивый
actor.adjective.angry,Злопамятный
actor.adjective.arrogant,Высокомерный
actor.adjective.ascetic,Аскетичный
actor.adjective.bloodthirsty,Кровожадный
actor.adjective.contemptuous,Презрительный
actor.adjective.contradictory,Противоречивый
actor.adjective.emotional,Эмоциональный
actor.adjective.envious,Завистливый
actor.adjective.friendly,Дружелюбный
actor.adjective.frivolous,Легкомысленный
actor.adjective.greedy,Жадный
actor.adjective.indifferent,Равнодушный
actor.adjective.intemperate,Несдержанный
actor.adjective.jealous,Ревнивый
actor.adjective.mean,Злословный
actor.adjective.melancholy,Меланхоличный
actor.adjective.sarcastic,Саркастичный
actor.adjective.subtle,Утонченный
actor.adjective.trusting,Доверчивый
actor.adjective.weakpowered,Слабосильный
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Беспричинная атака крестьянина вызовет <hint=hint_terror_peasants>террор</hint></red>
actor.appoint.nominate_enemy.lord,<red>Беспричинная атака лорда вызовет <hint=hint_terror_lord>террор</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Атака гостя, вне зависимости от содеянного им, будет считаться нарушением святого закона гостеприимства.</red>

$ Отношения {soul_uuid_performer_king} с {soul_uuid_target}: <red>{relations_modify_target}

</b>ПОДСКАЗКА</b> Для разрешения противоречий лучше использовать <hint=hint_duel>дуэль</hint>."
actor.appoint.nominate_enemy.bishop,"<red>Атака члена Любящей Семьи вне зависимости от содеянного им, будет считаться поводом для наказания вашего города <hint=hint_inqusitors>инквизицией</hint></red>"
actor.age,{age} лет
actor.age_short,{age} лет
actor.class.unarmed,Безоружный
actor.class.l_archer,Легкий лучник
actor.class.axeman,Топорщик
actor.class.guard,Стражник
actor.class.h_axeman,Тяжелый топорщик
actor.class.faceless_axeman,Боец Нечестивой Орды
actor.class.h_hammerhead,Тяжелый дубинщик
actor.class.h_spearman,Тяжелый копейщик
actor.class.h_swordman,Тяжелый мечник
actor.class.hammerhead,Дубинщик
actor.class.l_spearman,Легкий копейщик
actor.class.outcast,Отщепенец
actor.class.spearman,Копейщик
actor.class.swordman,Мечник
actor.class.light_archer,Ур. 3-5 Лучник без брони
actor.class.light_hammerhead,Ур. 3-5 Булавщик без брони
actor.class.light_spearman,Ур. 3-5 Копейщик без брони
actor.class.light_axeman,Ур. 3-5  Топорщик без брони и со щитом
actor.class.middle_archer,Ур. 8-11 Лучник в легкой броне
actor.class.middle_hammerhead,Ур. 8-11 Булавщик в легкой броне и со щитом
actor.class.middle_spearman,Ур. 8-11 Копейщик в легкой броне и со щитом
actor.class.heavy_axeman,Ур. 13-17 Топорщик в тяжелой броне и со щитом
actor.class.heavy_swordman,Ур. 13-17 Мечник в тяжелой броне и со щитом
actor.class.lord,Лорд мечник в тяжелой броне и со щитом
actor.dignity.king,Правитель
actor.events,СОБЫТИЯ
actor.events_date,ДАТА
actor.knowledge,ЗНАНИЯ
actor.hint.battle_skill,Уровень навыка боя
actor.hint.crimes.caption,Преступления
actor.hint.injury.caption,Повреждения
actor.hint.injury.pain_level,Уровень боли: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Болевой порог:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Остаётся риск заражения
actor.hint.sin.caption,Грехи
actor.hint.sin.piety_impact,Влияние на настроение: {piety_impact}
actor.impact_on_person,ДЕЙСТВИЕ
actor.inventory,ВЕЩИ
actor.log.today,Сегодня
actor.log.days_before,Дней назад: {day}
actor.log.yesterday,Вчера
actor.loyalty,Лояльность {loyalty}%
menu.battle_result.win,Победа!
menu.battle_result.lose,Поражение
menu.battle_result.deployed,Выставлены
menu.battle_result.died,Погибли
menu.battle_result.escaped,Сбежали
menu.battle_result.captured,Захвачены
actor.menu.appoint.hunt,Охота
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,МЫСЛИ
actor.moral,НАСТРОЕНИЕ
actor.motive.energy,Сон
actor.motive.food,Еда
actor.motive.rest,Отдых
actor.motive.religion,Праведность
actor.motive.sex,Секс
actor.motive.care,Забота
actor.noun.adventurer,Авантюрист
actor.noun.depraved,Развратник
actor.noun.fatalist,Фаталист
actor.noun.flatterer,Льстец
actor.noun.genius,Гений
actor.noun.introvert,Интроверт
actor.noun.moron,Болван
actor.noun.mystic,Мистик
actor.noun.narcissist,Нарцисс
actor.noun.rude,Грубиян
actor.noun.shameless,Бесстыдник
actor.noun.skeptic,Скептик
actor.noun.workaholic,Трудоголик
actor.opinion.choose_factions.province_hint,На локальной карте
actor.opinion.interest,Интерес: 
actor.opinion.interest.high,высокий
actor.opinion.interest.low,низкий
actor.opinion.interest.middle,средний
actor.opinion.no_minds,Нет мыслей
actor.opinion.opinion_of,Мнение о {name}: 
actor.opinion.opinion_of_me,Мнение {name} обо мне: 
actor.opinion.opinion_of_third_person,Мнение {name_2} о {name}: 
actor.opinion.special.deadly_enemy,Смертельный враг
actor.opinion.special.enemy,Враг
actor.opinion.special.friend,Друг
actor.opinion.special.like,Хорошие отношения
actor.opinion.special.love,Любовный интерес
actor.part_of_nature,ЧЕРТЫ ЛИЧНОСТИ
actor.punish.execute,Казнить
actor.punish.expel,Изгнать
actor.punish.imprison,Заключить в тюрьму
actor.desire,ЖЕЛАНИЕ
actor.skill.command,Командование
actor.skill.education,Преподавание
actor.skill.fight,Бой
actor.skill.knowledge,Интеллект
actor.skill.management,Управление
actor.skill.manners,Манеры
actor.skill.negotiation,Торговля
actor.skill.oratory,Убеждение
actor.skill.points_remain,До следующего уровня необходимо {number} очков опыта
actor.skills,НАВЫКИ
actor.skills_training,ТРЕНИРОВКА
actor.skills.level,{level}
actor.skill_category.rhetoric,Риторика
actor.skill_category.economic,Экономика
actor.skill_category.philosophy,Философия
actor.skill_category.warcraft,Военное дело
actor.stata.bandit,Бандит
actor.stata.thug,Головорез
actor.states,СОСТОЯНИЯ
actor.strata.animal,Животное
actor.strata.slave,Пленник
actor.traits,СОСТОЯНИЕ
building.hostel,Общежитие
building.library,Библиотека
building.armorsmith,Бронник
building.barracks,Казарма
building.brewery,Пивоварня
building.caption_with_level,{building_name} уровень {level}
building.castle,Холл
building.chancellery,Канцелярия
building.church,Храм
building.altar,Алтарь
building.coal_burner,Угольная печь
building.coal_furnace,Угольная печь
building.coal_mine,Шахта угля
building.description.burned,Здание уничтожено пожаром. Его можно только снести.
building.farm,Ферма
building.forge,Оружейник
building.hall_storage,Склад зала
building.herbalist,Травник
building.house,Дом крестьянина
building.menu.appoint.church,ПРОПОВЕДЬ
building.menu.appoint.training,ТРЕНИРОВКА
building.menu.appoint.gallows,НАКАЗАНИЕ
building.menu.appoint.chancellery,КАНЦЛЕР
building.menu.appoint.culture,КУЛЬТУРА
building.menu.appoint.appoint_culture,назначить
building.menu.castle.builders,СТРОИТЕЛИ
building.menu.castle.servants,СЛУГИ
building.menu.gallows.terror,Террор
building.menu.gallows.executers,ЭКЗЕКУТОРЫ
building.menu.in_stock,НА СКЛАДЕ
building.menu.required_resources,ТРЕБУЕТСЯ
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,ЖИТЕЛИ
building.menu.service.attendance,Посещаемость
building.menu.service.inspection,ПОЛИТИКА
building.menu.service.revenue,Выручка
building.menu.combat_training.number_of_places,ОДНОВРЕМЕННЫХ ТРЕНИРОВОК
building.menu.sold,ПРОДАНО
building.menu.trader,ТОРГОВЕЦ
building.menu.special_button.auto_repair,Автоматический ремонт
building.menu.special_button.abort,Отменить
building.menu.special_button.destroy,Уничтожить
building.menu.special_button.relocate,Перенос
building.menu.special_button.repair,Починить
building.menu.special_button.upgrade,Улучшить
building.menu.special_button.upgrade_workplace,+1 рабочее место
building.menu.status.breakdown,Сломано
building.menu.status.need_charge,Ферма истощена
building.menu.status.burned_full,Уничтожено пожаром
building.menu.status.burned_partially,Сгорело частично
building.menu.status.burning,Пожар в здании!
building.menu.status.church,Фанатиков в городе: {fanatics_percent}%
building.menu.status.construction,Идет строительство
building.menu.status.construction_template,{status} ({progress}%) готово
building.menu.status.demolition,Идет разборка
building.menu.status.extinguishing,Идет тушение пожара
building.menu.status.harvest.after_tomorrow,Послезавтра соберут урожай
building.menu.status.harvest.n_days,Соберут урожай через {days} дня
building.menu.status.harvest.today,Сегодня соберут урожай
building.menu.status.harvest.tomorrow,Завтра соберут урожай
building.menu.status.no_tasks,Создайте заказ в меню производства
building.menu.status.fertilize,Плодородность: {number}%
building.menu.status.produce,Производится: {resource} ({progress}%)
building.menu.status.raw_not_enough,Не хватает ресурсов для производства
building.menu.status.relocate,Идет перенос
building.menu.status.repair,Идет ремонт
building.menu.status.upgrade,Идет улучшение
building.menu.status.work_time,Рабочее время с {work_hour_begin} до {work_hour_end}
building.menu.status.works_fine,Работает нормально
building.menu.status.pig_farm_need_to_charge,Нужна зарядка Брюквой
building.menu.status.need_inspector,Требуется назначить руководство
building.menu.status.need_inspection,Инструкции не получены
building.menu.status.need_paper_charge,Нужна зарядка Бумагой
building.menu.tavern.allow_nectar,Разрешить Нектар
building.menu.temple.donation,Пожертвования
building.menu.temple.priest,СВЯЩЕННИК
building.menu.workplace.appoint_inspector,Назначить
building.menu.workplace.inspection,РУКОВОДСТВО
building.menu.workplace.priority,Приоритет
building.menu.workplace.produced_today,ПРОИЗВЕДЕНО СЕГОДНЯ
building.menu.workplace.bonus_slave,Бонус от пленников: {bonus_slave}
building.menu.workplace.bonus_addicted,Бонус от зависимых: {bonus_addicted}
building.menu.workplace.bonus_culture,Бонус от {culture}: {bonus_culture}
building.menu.workplace.statistics,СТАТИСТИКА
building.menu.workplace.workers,РАБОЧИЕ
building.menu.workplace.workers.free,Крестьяне
building.menu.workplace.workers.slaves,Пленники
building.menu.workplace.addicted,Зависимые
building.menu.patrollers,Баннер патруля
building.menu.radius,Радиус патрулирования
building.menu.combat_max,Макс. уровень боя
building.menu.max_pain,Макс. уровень боли
menu.patrol_sign.description,Место патрулирования для воинов
building.mine,Шахта железа
building.noble_house,Дом лорда
building.paper_factory,Производство бумаги
building.slaves_barrack,Барак пленников
building.temple.preach.doubt,Проповедь сомнений
building.temple.preach.faith,Проповедь веры
building.farm.pig_farm_charge_abort,Отменить зарядку
building.farm.pig_farm_charge,Зарядить Брюквой
building.gallows.crimes,Преступлений
building.gallows.punishments,Наказаний
building.gallows.change,Изменить
building.training_field,Тренировочное поле
building.woodcutter,Лесопилка
building.workshop,Мастерская
building.gallows,Эшафот
building.market,Рынок
building.storage,Склад
building.tavern,Таверна 
building.drug_deg,Притон
building.rye_farm,Ржаное поле
building.hop_farm,Хмелевое поле
building.swede_farm,Брюквенное поле
building.pig_farm,Свиной загон
building.mill,Мельница
building.alchimestry,Алхимик
building.melting_furnace,Плавильня
building.patrol_sign,Ночной Патруль
display_event.actor_complete_action_task_on_gm,{name} выполнил задачу - {task_name}.
display_event.actor_abort_action_task_on_gm,{name} не смог выполнить задачу
display_event.actor_arrived_in_town_as_guest_on_gm,{name} прибыл в {town_name}
display_event.actors_married,{name_1} и {name_2} обручились
display_event.new_genius_king,Амбициозный король
display_event.defence_alliance.squad_arrived,Отряд с подкреплением от {faction_name} прибыл!
display_event.defence_alliance.squad_created,Отряд подкрепления собран и отдан под ваше командование!
display_event.defence_alliance.leave.time_expired,"Время пребывания подкрепления окончилось, они отправляются домой"
display_event.defence_alliance.leave.battle_finished,Подкрепление оказало вам помощь и отправляется домой
display_event.defence_alliance.leave.defence_alliance_broken,"Ваш союз с {faction_name} был разорван, поэтому подкрепление возвращается домой досрочно"
display_event.defence_alliance.leave.no_one_is_attacking_player,Вам больше никто не угрожает - подкрепление возвращается домой 
display_event.defence_alliance.leave.other_reason,Подкрепление возвращается домой досрочно
display_event.got_title,{name} получил титул лорда
display_event.kid_need_title,Для {name} скоро потребуется свободный титул лорда
display_event.storage_robbery_gold,Воры украли {number} золота!
display_event.squad_go_to_take_equipment,Воины забирают вооружение со склада. Подождите немного...
display_event.no_servants_in_hall,В Холле нет слуг!
display_event.squad_take_all_equipment,Воины вооружены и готовы!
display_event.horde_apeears,Появление Нечестивой Орды
display_event.horde_gossip,Слухи: Новый еретический культ в далеких краях
display_event.new_fraction,Рождение нового Благородного дома: {faction_name}
display_event.fraction_death,Падение Благородного дома: {faction_name}
display_event.horde_murder_faction,Нечестивая Орда уничтожила очередной Благородный дом.
display_event.horde_crisis_finish,Нечестивая Орда распалась. Кризис закончился.
display_event.forecast,Получен прогноз цены {resource}
display_event.village_tribute,{village_name}: Принесли дань
display_event.bandits_at_the_gate,Враждебный отряд рядом!
display_event.army_at_the_gate,Враждебный отряд рядом!
display_event.enemy_attack_city,Враг идет на штурм!
display_event.free_lord_expired,Контракт свободного лорда истек
display_event.free_lord_low_loyalty,Свободный лорд потерял лояльность
display_event.terror_lords,Террор среди лордов!
display_event.terror_peasants,Террор среди крестьян!
display_event.bandits_prepare_to_attack,Бандиты готовятся к нападению на ваш город
display_event.caravan_arrive,В город пришел Святой караван
display_event.free_lord_arrive,"Свободный лорд ждет, чтобы его наняли"
display_event.character_bleeding,Персонаж истекает кровью
display_event.fire,Начался пожар
display_event.slaves_hungry,"Проверьте, что выдаете пленникам достаточно еды в меню Экономики"
display_event.dummy_little_beer,"Проверьте в меню Экономики, что персонажи получают достаточно алкоголя."
display_event.dummy_little_food,"Проверьте в меню Экономики, что персонажи получают достаточно еды."
display_event.dummy_many_homeless,Постройте больше жилья
display_event.high_fanaticism_level,Проповедь сомнения в Храме может снизить фанатизм
display_event.low_dummy_happiness,Обратите внимание на самые частые несчастные мысли
display_event.not_enough_barracks,Постройте больше казарм
display_event.not_enough_equipment,Купите экипировку у каравана или создайте ее сами
display_event.not_enough_taverns,Постройте больше таверн
display_event.not_enough_temples,Постройте больше храмов
display_event.too_much_unemploe,"Чтобы снизить безработицу, снижайте среднее настроение, а значит и миграцию."
display_event.high_prices,Крестьяне покупают товары у Святого каравана
display_event.hired_soldiers_arrive,Прибыли нанятые воины
display_event.migrants_arrive,Пришло {number} мигрантов
display_event.knowledge_interaction,{name} изучает {knowledge}: {progress}%
display_event.book_writing,{name} пишет книгу {knowledge}: {progress}%
display_event.not_enough_knowledge_paper,Не хватает бумаги для написания книги: {name}
display_event.knowledge_too_hard_again,{name} больше не может изучать: {knowledge}
display_event.not_enough_resources,Не хватает ресурсов
display_event.building_breakdown,Здание сломалось
display_event.farm_depleted,Почва фермы истощилась
display_event.farm_soon_depleted,Почва фермы скоро истощится
display_event.not_enough_workers,Не хватает рабочих
display_event.wheat_destroyed,Посевы погибли из-за засухи
display_event.building_needs_direct_contol,Здание требует прямого управления для работы
display_event.building_without_inspector,Зданию требуется управляющий
display_event.order_complete,{value} {resource}: Заказ выполнен! 
display_event.building_without_instruction,Рабочие не получили инструкций сегодня
display_event.resources_stolen,Совершена кража ресурсов! {value} {resource}
display_event.thugs_appear,В городе появились головорезы
display_event.wolf_attack,Нападение плотоволка!
display_event.no_meds,Лечебная мазь закончилась!
display_event.quest_result,Результат: {quest_name}
display_event.battle_result,Результаты битвы
display_event.battle_start,Новая битва!
display_event.new_quest,{name}
display_event.new_book,Создана новая копия книги: {knowledge}
display_event.new_knowledge,Знание изучено: {knowledge}
display_event.slave_escape,Пленник пытается сбежать
display_event.unhappy_lord,Ваш лорд несчастен
display_event.actor_dont_work,"Из-за плохого настроения, {name} отказывается выполнять ваши задания"
display_event.reg_riot_soon,Фанатики требуют крови: {target_name}!
display_event.reg_riot_cancel,Фанатики удовлетворены казнью: {target_name}. Восстания не будет.
display_event.holy_family_become_enemy,Вы впали в немилость у Матриарха!
display_event.reg_riot_against_king,"Фанатики считают, что {target_name} должен умереть"
