Key,Deutsch
main_menu.new_game.family.members,Familienmitglieder
main_menu.new_game.family.members.husband_wife_child,"Ehemann, Ehefrau, Kind"
main_menu.new_game.family.members.two_sis_and_son,"2 Schwestern, 1 Sohn"
main_menu.new_game.family.members.two_bro,Zwei Brüder
main_menu.new_game.family.members.three_sisters,Drei Schwestern
main_menu.new_game.family.members.father_three_doughters,Vater und Töchter
main_menu.new_game.family_settings,Familieneinstellungen
main_menu.ng_world_should_generate,Welt erzeugen
main_menu.ng_select_map,Karte auswählen
main_menu.ng_save_name,Spielstand benennen
main_menu.save_load.delete,Löschen
main_menu.save_load.deleted,GELÖSCHT
main_menu.save_load.save_as.desc2,Nicht benennen und unter dem aktuellen Kartennamen speichern
main_menu.save_load.save_as.desc,Name des neuen Spielstands
main_menu.save_load.save_as,Neuer Spielstand
main_menu.save_load.rewrite,Überschreiben
main_menu.save_load.save,Speichern
main_menu.save_load.load,Laden
main_menu.save_load.autosave_morning,Morgen
main_menu.save_load.autosave_evening,Abend
main_menu.mods,Mods
main_menu.credits,Mitwirkende
main_menu.discord,Discord
main_menu.leave_feedback,Feedback
main_menu.feedback.send,Übermitteln
main_menu.exit,Beenden
main_menu.settings,Einstellungen
main_menu.load_game,Spiel laden
main_menu.start_tutorial,Tutorial
main_menu.start_new_game,Neues Spiel
main_menu.continue_last_game,Fortsetzen
main_menu.save_and_exit,Speichern & beenden
main_menu.start,Start
main_menu.back,Zurück
menu.problems,Probleme
adv_tutorial.obj_build_sawmill_place_text,Errichte das Holzfällerlager hier
adv_tutorial.obj_build_field_place_text,Errichte das Steckrübenfeld hier
adv_tutorial.obj_build_taverna_place_text,Errichte die Taverne hier
adv_tutorial.obj_build_generic_place_text,Hier platzieren
notification.tutorial.ambush,Die Banditen greifen an!
loading_screen,Lädt ... Bitte warten.
loading_screen.ingame.misc_loading,Daten werden geladen
loading_screen.ingame.gui_init,GUI wird erstellt
loading_screen.ingame.save_game_load,Gespeichertes Spiel wird geladen
loading_screen.ingame.new_game_load,Neues Spiel wird gestartet
loading_screen.ingame.gui_system,Initialisiere GUI-System
loading_screen.ingame.map_cells,Erstelle Kartenzellen
loading_screen.ingame.trade_manager,Initialisiere Handelsverwaltung
loading_screen.ingame.local_map_controller,Lade lokale Kartensteuerung
loading_screen.ingame.province_controller,Lade Provinzdaten
loading_screen.ingame.global_map,Lade Externe Karte
loading_screen.ingame.battle_injuty_lottery,Lade Kampf-Verletzungswahrscheinlichkeiten
loading_screen.ingame.game_system_init,Initialisiere Spielsysteme
loading_screen.ingame_unloading,Entlade Spielressourcen
loading_screen.caching_textures,Caching von Texturen
loading_screen.game_vars,Lade Spielvariationen
loading_screen.audio,Starte Audiosystem
loading_screen.animations,Lade Animationen
loading_screen.building_assets,Lade Gebäude
loading_screen.actor_assets,Lade Akteure
loading_screen.traits,Lade Eigenschaften
loading_screen.minds,Lade Charaktere
loading_screen.tantrums,Lade Wutanfälle
loading_screen.activity,Lade Aktivitäten
loading_screen.game_data,Lade Spieldaten
loading_screen.building_constructions,Lade Gebäudekonstruktionen
loading_screen.banners,Lade Banner
loading_screen.gui,Lade GUI
loading_screen.hints,Lade Tipps
loading_screen.rich_string,Lade Rich String
loading_screen.knowledge_localization,Lade Wissenslokalisierung
loading_screen.saves_and_maps,Lade Welt und Speicherlisten
loading_screen.done,Laden abgeschlossen.
encyclopedia.help,HILFE
encyclopedia.category.battle,Kampf
encyclopedia.category.economics,Wirtschaft
encyclopedia.category.characters,Personen
encyclopedia.category.mechanics,Mechanik
encyclopedia.category.hints,Tipps
encyclopedia.category.global_map,Karte
encyclopedia.search,Suchen ...
action_task.skill_training_caption,{skill_name} lehren
actor.relations.filter.location,In der Nähe
actor.relations.filter.kings,Könige
actor.relations.filter.friends,Verbündete
actor.relations.filter.enemies,Feinde
actor.relations.filter.can_seduce,Kann verführt werden
action_task.category.king,König
action_task.category.social,Gemeinschaft
action_task.category.bishop,Bischof
action_task.sub_category.social,Kommunikation
action_task.sub_category.intrigue,Intrige
actor.action_task.begging,Um Vergebung bitten
actor.action_task.nominate_enemy,Zum Feind erklären
actor.action_task_hunt,Säbelzahnwolfsjagd
actor.action_task_sick_visit,Kranke besuchen
actor.action_task.marriage,Heiraten
actor.action_task.bribe,Bestechung
actor.action_task.punish,Bestrafen
actor.action_task.reward,Belohnen
actor.action_task.rumors,Gerüchte verbreiten
actor.action_task.spent_time,Zeit verbringen
actor.action_task.invite,Einladen
actor.action_task.teach,Unterrichten
actor.action_task.threat,Bedrohen
actor.action_task.trade,Handel
actor.action_task.make_free,Befreien
actor.action_task.seduction,Verführen
actor.action_task.donate,Dem König schenken
actor.action_task.kill,Töten
actor.action_task.poison,Vergiften
actor.action_task.play_dice,Würfel spielen
actor.action_task.depart,Verbannung
actor.action_task.duel_call,Zu einem Duell herausfordern
actor.action_task.duel_provocation,Duell provozieren
actor.action_task.free_lord_hire,Lord anheuern
actor.action_task.send_guest,Einen Gast schicken
actor.action_task.king_tribute,Tribut zollen
actor.action_task.confession,Beichten
actor.action_task.kidnap,Entführen
actor.action_task.free_captive,Freilassen
actor.action_task.forced_sex,Zum Sex zwingen
actor.action_task.appoint_an_heir,Zum Erben erklären
actor.action_task.go_home,Nach Hause schicken
actor.action_task.sex_with_dummy,Sexuelles Angebot
actor.action_task.new_heir,Zum Erben ernennen
actor.action_task.canonization,Segen
actor.action_task.divorce,Scheidung
actor.action_task.consolation,Trösten
actor.action_task.give_title_to_hired_free_lord,Einen Titel gewähren
actor.action_task.give_title_to_soldier,Einen Titel gewähren
actor.action_task.take_title,Adelstitel entziehen
actor.action_task.join_captive,Freilassen und akzeptieren
actor.action_task.new_king,Die Krone übergeben
actor.appoint_in_town,In {town_name}
actor.appoint_in_this_town,In dieser Stadt
actor.appoint.our_lords,Unsere Lords
actor.appoint.other_lords,Andere Lords
actor.action.training,AUSBILDUNG
actor.action.conversation,VERHANDLUNGEN
actor.action.army.on_local_map,Auf der lokalen Karte
actor.action.army.on_global_map,Auf der Weltkarte
actor.action.army,ARMEE
actor.action.executor,AKTEUR
actor.action.executor_replace,ERSETZEN
actor.action.teacher,LEHRER
actor.action.chancellery_any,Beliebige Kanzlei
actor.action.punishment,BESTRAFUNG
actor.action.teach,LERNEN
actor.action.person,WEM?
actor.action.different_actions,AKTION
actor.action.trade,HANDELN
actor.action_task.invite_guest,In deine Provinz einladen
actor.status.on_global_map,Auf der Weltkarte
actor.status.on_global_map_lost,Verschollen
actor.status.in_army,In einem Trupp auf der Weltkarte
actor.status.in_travel,Reist
actor.status.in_object,In {object_name}
actor.adjective.addicted_to_drink,Dem Wein zugetan
actor.adjective.ambitious,Ehrgeizig
actor.adjective.angry,Rachsüchtig
actor.adjective.arrogant,Arrogant
actor.adjective.ascetic,Asketisch
actor.adjective.bloodthirsty,Blutdurstig
actor.adjective.contemptuous,Herablassend
actor.adjective.contradictory,Widersprüchlich
actor.adjective.emotional,Emotional
actor.adjective.envious,Missgünstig
actor.adjective.friendly,Freundschaftlich
actor.adjective.frivolous,Frivol
actor.adjective.greedy,Gierig
actor.adjective.indifferent,Gleichgültig
actor.adjective.intemperate,Impulsiv
actor.adjective.jealous,Eifersüchtig
actor.adjective.mean,Boshaft
actor.adjective.melancholy,Melancholisch
actor.adjective.sarcastic,Sarkastisch
actor.adjective.subtle,Kultiviert
actor.adjective.trusting,Gutgläubig
actor.adjective.weakpowered,Schwächling
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Grundlose Angriffe auf Bauern sorgen für <hint=hint_terror_peasants>Terror</hint></red>
actor.appoint.nominate_enemy.lord,<red>Grundlose Angriffe auf Lords sorgen für <hint=hint_terror_lord>Terror</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Ein Angriff auf einen Gast, unabhängig von dessen Taten, wird als Verstoß gegen die heiligen Gesetze der Gastlichkeit gewertet.</red>
 
 $ Beziehungen zwischen {soul_uuid_performer_king} und {soul_uuid_target}: <red>{relations_modify_target}
 
 </b>TIPP</b>: Zur Lösung von Konflikten ist ein <hint=hint_duel>Duell</hint> empfohlen."
actor.appoint.nominate_enemy.bishop,"<red>Ein Angriff auf ein Mitglied der Liebenden Familie, unabhängig von dessen Taten, wird als Rechtfertigung für eine Bestrafung deiner Stadt durch die <hint=hint_inquisitors>Inquisition</hint></red> betrachtet."
actor.age,{age} Jahre alt
actor.age_short,{age} J. a.
actor.class.unarmed,Unbewaffnet
actor.class.l_archer,Leichter Bogenschütze
actor.class.axeman,Axtkrieger
actor.class.guard,Wache
actor.class.h_axeman,Schwerer Axtkrieger
actor.class.faceless_axeman,Krieger der Unheiligen Horde
actor.class.h_hammerhead,Schwerer Kolbenkrieger
actor.class.h_spearman,Schwerer Speerkämpfer
actor.class.h_swordman,Schwerer Schwertkämpfer
actor.class.hammerhead,Kolbenkrieger
actor.class.l_spearman,Leichter Speerkämpfer
actor.class.outcast,Ausgestoßener
actor.class.spearman,Speerkämpfer
actor.class.swordman,Schwertkämpfer
actor.class.light_archer,St. 3-5 Bogenschütze ohne Rüstung
actor.class.light_hammerhead,St. 3-5 Kolbenkrieger ohne Rüstung
actor.class.light_spearman,St. 3-5 Speerkämpfer ohne Rüstung
actor.class.light_axeman,St. 3-5 Axtkrieger mit Schild ohne Rüstung
actor.class.middle_archer,St. 8-11 Bogenschütze mit leichter Rüstung
actor.class.middle_hammerhead,St. 8-11 Kolbenkrieger mit leichter Rüstung und Schild
actor.class.middle_spearman,St. 8-11 Speerkämpfer mit leichter Rüstung und Schild
actor.class.heavy_axeman,St. 13-17 Axtkrieger mit schwerer Rüstung und Schild
actor.class.heavy_swordman,St. 13-17 Schwertkämpfer mit schwerer Rüstung und Schild
actor.class.lord,Adeliger Schwertkämpfer mit schwerer Rüstung und Schild
actor.dignity.king,Machthaber
actor.events,EREIGNISSE
actor.events_date,DATUM
actor.knowledge,WISSEN
actor.hint.battle_skill,Kampffähigkeitsstufe
actor.hint.crimes.caption,Verbrechen
actor.hint.injury.caption,Verletzungen
actor.hint.injury.pain_level,Schmerzstufe: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Schmerzschwelle:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* – Infektionsrisiko bleibt bestehen
actor.hint.sin.caption,Sünden
actor.hint.sin.piety_impact,Einfluss auf Laune: {piety_impact}
actor.impact_on_person,AKTION
actor.inventory,INVENTAR
actor.log.today,Heute
actor.log.days_before,Vor {day} Tagen
actor.log.yesterday,Gestern
actor.loyalty,Loyalität {loyalty} %
menu.battle_result.win,Sieg!
menu.battle_result.lose,Niederlage
menu.battle_result.deployed,Entsandt
menu.battle_result.died,Tot
menu.battle_result.escaped,Geflohen
menu.battle_result.captured,Entführt
actor.menu.appoint.hunt,Jagd
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,GEDANKEN
actor.moral,LAUNE
actor.motive.energy,Schlaf
actor.motive.food,Nahrung
actor.motive.rest,Ruhe
actor.motive.religion,Frömmigkeit
actor.motive.sex,Sex
actor.motive.care,Fürsorge
actor.noun.adventurer,Abenteurer
actor.noun.depraved,Wüstling
actor.noun.fatalist,Fatalist
actor.noun.flatterer,Schmeichler
actor.noun.genius,Genie
actor.noun.introvert,Eigenbrötler
actor.noun.moron,Dummkopf
actor.noun.mystic,Mystiker
actor.noun.narcissist,Narzisst
actor.noun.rude,Grobian
actor.noun.shameless,Perversling
actor.noun.skeptic,Skeptiker
actor.noun.workaholic,Arbeitstier
actor.opinion.choose_factions.province_hint,Auf der lokalen Karte
actor.opinion.interest,Interesse:
actor.opinion.interest.high,Hoch
actor.opinion.interest.low,Gering
actor.opinion.interest.middle,Mittel
actor.opinion.no_minds,Keine Gedanken
actor.opinion.opinion_of,Meinung von {name}:
actor.opinion.opinion_of_me,Meinung von {name} über mich:
actor.opinion.opinion_of_third_person,Meinung von {name_2} über {name}:
actor.opinion.special.deadly_enemy,Erzfeind
actor.opinion.special.enemy,Feind
actor.opinion.special.friend,Freund
actor.opinion.special.like,Gute Beziehungen
actor.opinion.special.love,Romantisches Interesse
actor.part_of_nature,PERSÖNLICHKEITSEIGENSCHAFTEN
actor.punish.execute,Hinrichten
actor.punish.expel,Verbannung
actor.punish.imprison,Als Geisel nehmen
actor.desire,SEHNSUCHT
actor.skill.command,Führungsqualität
actor.skill.education,Lehren
actor.skill.fight,Kampf
actor.skill.knowledge,Intelligenz
actor.skill.management,Verwaltung
actor.skill.manners,Manieren
actor.skill.negotiation,Handel
actor.skill.oratory,Redekunst
actor.skill.points_remain,{number} Erfahrungspunkte zum Erreichen der nächsten Stufe erforderlich
actor.skills,FÄHIGKEITEN
actor.skills_training,AUSBILDUNG
actor.skills.level,{level}
actor.skill_category.rhetoric,Rhetorik
actor.skill_category.economic,Wirtschaft
actor.skill_category.philosophy,Philosophie
actor.skill_category.warcraft,Kriegsführung
actor.stata.bandit,Bandit
actor.stata.thug,Handlanger
actor.states,STATUS
actor.strata.animal,Tier
actor.strata.slave,Sklave
actor.traits,STATUS
building.hostel,Schlafsaal
building.library,Bibliothek
building.armorsmith,Rüstungsschmied
building.barracks,Kaserne
building.brewery,Brauerei
building.caption_with_level,{building_name} Stufe {level}
building.castle,Halle
building.chancellery,Kanzlei
building.church,Tempel
building.altar,Altar
building.coal_burner,Kohleofen
building.coal_furnace,Kohleofen
building.coal_mine,Kohlemine
building.description.burned,Dieses Gebäude wurde durch einen Brand zerstört. Es kann nur noch abgerissen werden.
building.farm,Feld
building.forge,Waffenschmiede
building.hall_storage,Hallenlager
building.herbalist,Kräuterkundler
building.house,Bauernhaus
building.menu.appoint.church,PREDIGT
building.menu.appoint.training,AUSBILDUNG
building.menu.appoint.gallows,BESTRAFUNG
building.menu.appoint.chancellery,KANZLER
building.menu.appoint.culture,KULTUR
building.menu.appoint.appoint_culture,ernennen
building.menu.castle.builders,BAUARBEITER
building.menu.castle.servants,DIENER
building.menu.gallows.terror,Terror
building.menu.gallows.executers,SCHARFRICHTER
building.menu.in_stock,IM LAGER
building.menu.required_resources,ERFORDERLICH
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,BEWOHNER
building.menu.service.attendance,Besucherzahl
building.menu.service.inspection,POLITIK
building.menu.service.revenue,Einnahmen
building.menu.combat_training.number_of_places,GLEICHZEITIGE AUSBILDUNG
building.menu.sold,VERKAUFT
building.menu.trader,HÄNDLER
building.menu.special_button.auto_repair,Autom. reparieren
building.menu.special_button.abort,Abbrechen
building.menu.special_button.destroy,Abreißen
building.menu.special_button.relocate,Verlegen
building.menu.special_button.repair,Reparieren
building.menu.special_button.upgrade,Aufwerten
building.menu.special_button.upgrade_workplace,+1 Arbeitsplatz
building.menu.status.breakdown,Ausfall
building.menu.status.need_charge,Feld abgeerntet.
building.menu.status.burned_full,Durch einen Brand zerstört.
building.menu.status.burned_partially,Teilweise verbrannt.
building.menu.status.burning,Feuer im Gebäude!
building.menu.status.church,Religiöse Fanatiker in der Stadt: {fanatics_percent} %
building.menu.status.construction,Wird gebaut.
building.menu.status.construction_template,{status} ({progress} %) abgeschlossen
building.menu.status.demolition,Wird abgerissen.
building.menu.status.extinguishing,Brand wird gelöscht.
building.menu.status.harvest.after_tomorrow,Die Ernte wird übermorgen eingebracht.
building.menu.status.harvest.n_days,Feld wird in {days} Tagen abgeerntet.
building.menu.status.harvest.today,Feld wird heute abgeerntet.
building.menu.status.harvest.tomorrow,Feld wird morgen abgeerntet.
building.menu.status.no_tasks,Erstelle einen Befehl im Produktionsmenü.
building.menu.status.fertilize,Fruchtbarkeit: {number} %
building.menu.status.produce,In Produktion: {resource} ({progress} %)
building.menu.status.raw_not_enough,Nicht genug Ressourcen für die Produktion.
building.menu.status.relocate,Wird verlegt.
building.menu.status.repair,Wird repariert.
building.menu.status.upgrade,Wird aufgewertet.
building.menu.status.work_time,Arbeitszeit von {work_hour_begin} bis {work_hour_end}
building.menu.status.works_fine,Im Normalbetrieb
building.menu.status.pig_farm_need_to_charge,Muss mit Steckrüben versorgt werden
building.menu.status.need_inspector,Benötigt einen zugewiesenen Verwalter
building.menu.status.need_inspection,Keine Anweisungen erhalten
building.menu.status.need_paper_charge,Muss mit Papier versorgt werden.
building.menu.tavern.allow_nectar,Nektar erlauben
building.menu.temple.donation,Spenden
building.menu.temple.priest,PRIESTER
building.menu.workplace.appoint_inspector,Zuweisen
building.menu.workplace.inspection,VERWALTUNG
building.menu.workplace.priority,Priorität
building.menu.workplace.produced_today,HEUTE PRODUZIERT
building.menu.workplace.bonus_slave,Bonus durch Sklaven: {bonus_slave}
building.menu.workplace.bonus_addicted,Bonus durch Süchtige: {bonus_addicted}
building.menu.workplace.bonus_culture,Bonus durch {culture}-Expertise: {bonus_culture}
building.menu.workplace.statistics,STATISTIK
building.menu.workplace.workers,ARBEITER
building.menu.workplace.workers.free,Bauern
building.menu.workplace.workers.slaves,Sklaven
building.menu.workplace.addicted,Süchtige
building.menu.patrollers,Patrouillenbanner
building.menu.radius,Patrouillenradius
building.menu.combat_max,Max. Kampfstufe
building.menu.max_pain,MAXIMALE SCHMERZSTUFE
menu.patrol_sign.description,Patrouillenplatz für Krieger
building.mine,Mine
building.noble_house,Adelshaus
building.paper_factory,Papierwerkstatt
building.slaves_barrack,Kerker
building.temple.preach.doubt,Predigt des Zweifels
building.temple.preach.faith,Predigt des Glaubens
building.farm.pig_farm_charge_abort,Nachschub abbrechen
building.farm.pig_farm_charge,Mit Steckrüben versorgen
building.gallows.crimes,Verbrechen
building.gallows.punishments,Bestrafungen
building.gallows.change,Ändern
building.training_field,Übungsgelände
building.woodcutter,Holzfällerlager
building.workshop,Werkstatt
building.gallows,Schafott
building.market,Markt
building.storage,Lagerhaus
building.tavern,Taverne
building.drug_deg,Rauschhöhle
building.rye_farm,Roggenfeld
building.hop_farm,Hopfenfeld
building.swede_farm,Steckrübenfeld
building.pig_farm,Schweinefarm
building.mill,Mühle
building.alchimestry,Alchemielabor
building.melting_furnace,Schmelzofen
building.patrol_sign,Nachtpatrouille
display_event.actor_complete_action_task_on_gm,{name} hat eine Aufgabe abgeschlossen: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} hat die Aufgabe nicht abgeschlossen.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} ist in {town_name} eingetroffen.
display_event.actors_married,{name_1} und {name_2} sind jetzt verlobt.
display_event.new_genius_king,Gerücht: Eroberer
display_event.defence_alliance.squad_arrived,Die Verstärkungstruppen von {faction_name} ist eingetroffen!
display_event.defence_alliance.squad_created,Verstärkungstruppen wurden aufgestellt und unterstehen jetzt deinem Befehl!
display_event.defence_alliance.leave.time_expired,Der Aufenthalt der Verstärkungstruppen ist vorüber. Sie marschieren wieder nach Hause.
display_event.defence_alliance.leave.battle_finished,Die Verstärkungstruppen haben dich unterstützt und marschieren nun wieder nach Hause.
display_event.defence_alliance.leave.defence_alliance_broken,"Deine Allianz mit {faction_name} wurde aufgelöst, weshalb die Verstärkungstruppen vorzeitig nach Hause zurückkehren."
display_event.defence_alliance.leave.no_one_is_attacking_player,Es besteht keine Bedrohung mehr – die Verstärkungstruppen kehren nach Hause zurück.
display_event.defence_alliance.leave.other_reason,Die Verstärkungstruppen kehren vorzeitig nach Hause zurück.
display_event.got_title,{name} hat den Adelstitel Lord erhalten.
display_event.kid_need_title,{name} wird demnächst einen verfügbaren Adelstitel benötigen.
display_event.storage_robbery_gold,Diebe haben {number} Gold gestohlen!
display_event.squad_go_to_take_equipment,Krieger holen ihre Waffen aus dem Lager ab. Bitte warte einen Moment ...
display_event.no_servants_in_hall,Es befinden sich keine Diener in der Halle!
display_event.squad_take_all_equipment,Die Krieger sind bewaffnet und bereit!
display_event.horde_apeears,Die Unheilige Horde erscheint
display_event.horde_gossip,Gerüchte: Ein neuer Ketzerkult in entfernten Landen
display_event.new_fraction,Geburtsstunde eines neuen Adelsgeschlechts: {faction_name}
display_event.fraction_death,Niedergang eines Adelsgeschlechts: {faction_name}
display_event.horde_murder_faction,Die Unheilige Horde hat ein weiteres Adelsgeschlecht ausgerottet.
display_event.horde_crisis_finish,Die Unheilige Horde hat Norland verlassen.
display_event.forecast,Preisvorschau erhalten: {resource}
display_event.village_tribute,{village_name}: Zahlt Tribut
display_event.bandits_at_the_gate,Feindlicher Trupp in der Nähe!
display_event.army_at_the_gate,Feindlicher Trupp in der Nähe!
display_event.enemy_attack_city,Der Feind geht zum Angriff über!
display_event.free_lord_expired,Der Vertrag des Lords ist ausgelaufen.
display_event.free_lord_low_loyalty,Freier Lord hat Loyalität verloren.
display_event.terror_lords,Terror unter den Lords!
display_event.terror_peasants,Die Bauern werden terrorisiert!
display_event.bandits_prepare_to_attack,Banditen bereiten einen Angriff auf deine Stadt vor!
display_event.caravan_arrive,Die Heilige Karawane ist in deiner Stadt eingetroffen.
display_event.free_lord_arrive,"Ein Freier Lord wartet darauf, angeheuert zu werden."
display_event.character_bleeding,Eine Person blutet.
display_event.fire,Ein Feuer ist ausgebrochen.
display_event.slaves_hungry,"Überzeuge dich im Wirtschaftsmenü davon, dass Sklaven genügend Nahrung erhalten."
display_event.dummy_little_beer,"Überzeuge dich im Wirtschaftsmenü davon, dass Personen genügend Alkohol erhalten."
display_event.dummy_little_food,"Überzeuge dich im Wirtschaftsmenü davon, dass Sklaven genügend Nahrung erhalten."
display_event.dummy_many_homeless,Baue mehr Wohnhäuser.
display_event.high_fanaticism_level,Eine Predigt des Zweifels im Tempel kann Fanatismus reduzieren.
display_event.low_dummy_happiness,Achte auf die am häufigsten auftretenden unzufriedenen Gedanken.
display_event.not_enough_barracks,Baue mehr Kasernen.
display_event.not_enough_equipment,Kaufe Ausrüstung von der Karawane oder erstelle sie selbst.
display_event.not_enough_taverns,Baue mehr Tavernen.
display_event.not_enough_temples,Baue mehr Tempel.
display_event.too_much_unemploe,"Reduziere die durchschnittliche Laune und damit auch die Zuwanderung, um die Arbeitslosigkeit zu senken."
display_event.high_prices,Bauern kaufen Waren bei der Heiligen Karawane.
