Key,TraditionalChinese
main_menu.new_game.family.look.sex,性別
main_menu.new_game.family.look.random,隨機外貌
main_menu.new_game.family.character_traits,人物特質
main_menu.new_game.family.skills,能力
main_menu.new_game.family.overall_skills,總體能力
main_menu.new_game.soft_onboarding,輕鬆起步
main_menu.new_game.family.members,王室成員
main_menu.new_game.family.members.husband_wife_child,夫妻與一個孩子
main_menu.new_game.family.members.two_sis_and_son,兩姊妹與一個兒子
main_menu.new_game.family.members.two_bro,兩兄弟
main_menu.new_game.family.members.three_sisters,三姊妹
main_menu.new_game.family.members.father_three_doughters,父親與女兒們
main_menu.new_game.family_settings,王室設定
main_menu.ng_world_should_generate,生成世界
main_menu.ng_select_map,選擇地圖
main_menu.ng_save_name,請輸入存檔名稱
main_menu.save_load.delete,刪除
main_menu.save_load.deleted,已刪除
main_menu.save_load.save_as.desc2,留空將以現有地圖作為存檔名稱
main_menu.save_load.save_as.desc,新存檔名稱
main_menu.save_load.save_as,新存檔
main_menu.save_load.rewrite,覆蓋
main_menu.save_load.save,存檔
main_menu.save_load.load,讀檔
main_menu.save_load.autosave_morning,早晨
main_menu.save_load.autosave_evening,傍晚
main_menu.mods,模組
main_menu.credits,開發者名單
main_menu.discord,Discord
main_menu.leave_feedback,意見回饋
main_menu.feedback.send,提供
main_menu.exit,退出
main_menu.settings,設定
main_menu.load_game,讀取遊戲
main_menu.start_tutorial,教學
main_menu.start_new_game,新遊戲
main_menu.continue_last_game,繼續
main_menu.save_and_exit,存檔並退出
main_menu.start,開始
main_menu.back,返回
menu.problems,問題
adv_tutorial.obj_build_sawmill_place_text,請把伐木場建在這裡
adv_tutorial.obj_build_field_place_text,請把洋蕪菁田放在這裡
adv_tutorial.obj_build_taverna_place_text,請把酒館建在這裡
adv_tutorial.obj_build_generic_place_text,請放在這裡
notification.tutorial.ambush,劫匪來襲！
loading_screen,載入中，請稍候……
loading_screen.ingame.misc_loading,正在讀取資料
loading_screen.ingame.gui_init,正在建立圖形介面
loading_screen.ingame.save_game_load,正在讀取存檔
loading_screen.ingame.new_game_load,正在初始化新遊戲
loading_screen.ingame.gui_system,正在初始化圖形介面系統
loading_screen.ingame.map_cells,正在建立地圖單元
loading_screen.ingame.trade_manager,正在初始化交易管理員
loading_screen.ingame.local_map_controller,正在載入領地地圖控制系統
loading_screen.ingame.province_controller,正在載入省邦資料
loading_screen.ingame.global_map,正在載入外部地圖
loading_screen.ingame.battle_injuty_lottery,正在載入戰鬥傷害機率
loading_screen.ingame.game_system_init,正在初始化遊戲內系統
loading_screen.ingame_unloading,正在卸除遊戲內資源
loading_screen.caching_textures,正在載入材質快取
loading_screen.game_vars,正在載入遊戲變數
loading_screen.audio,正在啟動音訊系統
loading_screen.animations,正在載入動畫
loading_screen.building_assets,正在載入建築素材
loading_screen.actor_assets,正在載入行動素材
loading_screen.traits,正在載入人物特質
loading_screen.minds,正在載入人物思想
loading_screen.tantrums,正在載入人物脾氣
loading_screen.activity,正在載入活動
loading_screen.game_data,正在載入遊戲內資料
loading_screen.building_constructions,正在載入建築工程
loading_screen.banners,正在載入旗幟
loading_screen.gui,正在載入圖形介面
loading_screen.hints,正在載入提示
loading_screen.rich_string,正在載入富格式字串
loading_screen.knowledge_localization,正在載入在地化知識
loading_screen.saves_and_maps,正在載入世界與存檔列表
loading_screen.done,載入完成。
encyclopedia.help,說明
encyclopedia.category.battle,戰鬥
encyclopedia.category.economics,經濟
encyclopedia.category.characters,人物
encyclopedia.category.mechanics,機制
encyclopedia.category.hints,提示
encyclopedia.category.global_map,地圖
encyclopedia.search,搜尋……
action_task.skill_training_caption,教導{skill_name}
actor.relations.filter.location,附近
actor.relations.filter.kings,君王
actor.relations.filter.friends,好友
actor.relations.filter.enemies,敵人
actor.relations.filter.can_seduce,可勾引
action_task.category.king,君王
action_task.category.social,社交
action_task.category.bishop,主教
action_task.sub_category.social,交際
action_task.sub_category.intrigue,挑撥
actor.action_task.begging,乞求寬恕
actor.action_task.nominate_enemy,宣布敵對立場
actor.action_task_hunt,獵捕食肉狼
actor.action_task_sick_visit,探病
actor.action_task.marriage,結婚
actor.action_task.bribe,賄賂
actor.action_task.punish,責罰
actor.action_task.reward,賞賜
actor.action_task.rumors,散播謠言
actor.action_task.spent_time,共度時光
actor.action_task.invite,邀請
actor.action_task.teach,教育
actor.action_task.threat,威脅
actor.action_task.trade,貿易
actor.action_task.make_free,釋放
actor.action_task.seduction,勾引
actor.action_task.donate,獻禮給君王
actor.action_task.kill,殺害
actor.action_task.poison,下毒
actor.action_task.play_dice,賭骰子
actor.action_task.depart,流放
actor.action_task.duel_call,邀約決鬥
actor.action_task.duel_provocation,挑釁決鬥
actor.action_task.free_lord_hire,聘請貴族
actor.action_task.send_guest,派人作客
actor.action_task.king_tribute,進貢
actor.action_task.confession,告解
actor.action_task.kidnap,綁架
actor.action_task.free_captive,釋放
actor.action_task.forced_sex,脅迫性交
actor.action_task.appoint_an_heir,立為王儲
actor.action_task.go_home,送回家
actor.action_task.sex_with_dummy,援助性交
actor.action_task.new_heir,立為王儲
actor.action_task.canonization,祝福
actor.action_task.divorce,離婚
actor.action_task.consolation,撫慰
actor.action_task.give_title_to_hired_free_lord,授予爵位
actor.action_task.give_title_to_soldier,授予爵位
actor.action_task.take_title,褫奪貴族爵位
actor.action_task.join_captive,釋放並授爵
actor.action_task.new_king,傳授王位
actor.appoint_in_town,在{town_name}境內
actor.appoint_in_this_town,在本城鎮境內
actor.appoint.our_lords,我的貴族
actor.appoint.other_lords,其他貴族
actor.action.training,訓練
actor.action.conversation,交涉
actor.action.army.on_local_map,在領地地圖
actor.action.army.on_global_map,在世界地圖
actor.action.army,軍隊
actor.action.executor,執行者
actor.action.executor_replace,替換
actor.action.teacher,導師
actor.action.chancellery_any,任何官邸
actor.action.punishment,責罰
actor.action.teach,學習
actor.action.person,對象
actor.action.different_actions,行動
actor.action.trade,貿易
actor.action_task.invite_guest,邀請來作客
actor.status.on_global_map,在世界地圖
actor.status.on_global_map_lost,失蹤
actor.status.in_army,所屬部隊在世界地圖
actor.status.in_travel,旅行中
actor.status.in_object,在{object_name}境內
actor.adjective.addicted_to_drink,嗜酒成癮
actor.adjective.ambitious,野心勃勃
actor.adjective.angry,愛記仇
actor.adjective.arrogant,驕矜自大
actor.adjective.ascetic,清心寡慾
actor.adjective.bloodthirsty,殘暴嗜血
actor.adjective.contemptuous,傲慢無禮
actor.adjective.contradictory,自相矛盾
actor.adjective.emotional,情緒化
actor.adjective.envious,嫉妒心重
actor.adjective.friendly,友善
actor.adjective.frivolous,玩世不恭
actor.adjective.greedy,貪婪
actor.adjective.indifferent,冷漠疏離
actor.adjective.intemperate,衝動行事
actor.adjective.jealous,愛吃醋
actor.adjective.mean,壞心眼
actor.adjective.melancholy,鬱鬱寡歡
actor.adjective.sarcastic,諷刺
actor.adjective.subtle,溫文儒雅
actor.adjective.trusting,易受影響
actor.adjective.weakpowered,軟弱怕事
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>無端攻擊庶民會引發<hint=hint_terror_peasants>恐怖</hint></red>
actor.appoint.nominate_enemy.lord,<red>無端攻擊貴族會引發<hint=hint_terror_lord>恐怖</hint></red>
actor.appoint.nominate_enemy.guest,"<red>動手攻擊外賓，無論其行動為何，都會被視為違反至聖的待客之道。</red>
 
 $ {soul_uuid_performer_king}與{soul_uuid_target}的關係：<red>{relations_modify_target}
 
 </b>提示：</b>建議以<hint=hint_duel>決鬥</hint>來調解貴族間的衝突。"
actor.appoint.nominate_enemy.bishop,<red>動手攻擊神愛之家的成員，無論緣由為何，都會讓你的城鎮受到<hint=hint_inquisitors>審判庭</hint>責罰</red>。
actor.age,{age} 歲
actor.age_short,{age} 歲
actor.class.unarmed,手無寸鐵
actor.class.l_archer,輕弓兵
actor.class.axeman,斧兵
actor.class.guard,衛兵
actor.class.h_axeman,重斧兵
actor.class.faceless_axeman,孽惡部族打手
actor.class.h_hammerhead,重鎚兵
actor.class.h_spearman,重矛兵
actor.class.h_swordman,重劍兵
actor.class.hammerhead,鎚兵
actor.class.l_spearman,輕矛兵
actor.class.outcast,亡命之徒
actor.class.spearman,矛兵
actor.class.swordman,劍兵
actor.class.light_archer,Lv. 3-5 無甲弓兵
actor.class.light_hammerhead,Lv. 3-5 無甲鎚兵
actor.class.light_spearman,Lv. 3-5 無甲矛兵
actor.class.light_axeman,Lv. 3-5 無甲攜盾斧兵
actor.class.middle_archer,Lv. 8-11 輕甲弓兵
actor.class.middle_hammerhead,Lv. 8-11 輕甲攜盾鎚兵
actor.class.middle_spearman,Lv. 8-11 輕甲攜盾矛兵
actor.class.heavy_axeman,Lv. 13-17 重甲攜盾斧兵
actor.class.heavy_swordman,Lv. 13-17 重甲攜盾劍兵
actor.class.lord,重甲攜盾貴族劍士
actor.dignity.king,統治者
actor.events,事件
actor.events_date,約會
actor.knowledge,知識
actor.hint.battle_skill,戰鬥能力等級
actor.hint.crimes.caption,犯罪
actor.hint.injury.caption,負傷
actor.hint.injury.pain_level,疼痛程度：{pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>疼痛門檻值：</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - 仍有感染風險
actor.hint.sin.caption,罪孽
actor.hint.sin.piety_impact,對心情的影響：{piety_impact}
actor.impact_on_person,行動
actor.inventory,物品欄
actor.log.today,今天
actor.log.days_before,{day} 天前
actor.log.yesterday,昨天
actor.loyalty,忠誠度 {loyalty}%
menu.battle_result.win,勝利！
menu.battle_result.lose,失敗
menu.battle_result.deployed,參戰
menu.battle_result.died,死亡
menu.battle_result.escaped,逃逸
menu.battle_result.captured,被俘
actor.menu.appoint.hunt,打獵
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,想法
actor.moral,心情
actor.motive.energy,睡眠
actor.motive.food,食物
actor.motive.rest,休息
actor.motive.religion,聖靈充滿
actor.motive.sex,性愛
actor.motive.care,關懷
actor.noun.adventurer,冒險家
actor.noun.depraved,登徒子
actor.noun.fatalist,宿命論者
actor.noun.flatterer,馬屁精
actor.noun.genius,天才
actor.noun.introvert,內向者
actor.noun.moron,傻瓜
actor.noun.mystic,神秘主義者
actor.noun.narcissist,自戀狂
actor.noun.rude,惡棍
actor.noun.shameless,悖常者
actor.noun.skeptic,懷疑論者
actor.noun.workaholic,工作狂
actor.opinion.choose_factions.province_hint,在領地地圖
actor.opinion.interest,感興趣程度：
actor.opinion.interest.high,高
actor.opinion.interest.low,低
actor.opinion.interest.middle,中
actor.opinion.no_minds,沒有想法
actor.opinion.opinion_of,對{name}的印象：
actor.opinion.opinion_of_me,{name}對我的印象：
actor.opinion.opinion_of_third_person,{name_2}對{name}的印象：
actor.opinion.special.deadly_enemy,死敵
actor.opinion.special.enemy,敵人
actor.opinion.special.friend,好友
actor.opinion.special.like,和睦
actor.opinion.special.love,愛戀
actor.part_of_nature,人格特質
actor.punish.execute,處決
actor.punish.expel,流放
actor.punish.imprison,擄為人質
actor.desire,慾望
actor.skill.command,指揮
actor.skill.education,教育
actor.skill.fight,戰鬥
actor.skill.knowledge,智力
actor.skill.management,管理
actor.skill.manners,氣質
actor.skill.negotiation,貿易
actor.skill.oratory,遊說
actor.skill.points_remain,再 {number} 點經驗值可達下一等級
actor.skills,能力
actor.skills_training,訓練
actor.skills.level,{level}
actor.skill_category.rhetoric,辭令學
actor.skill_category.economic,經濟
actor.skill_category.philosophy,哲學
actor.skill_category.warcraft,軍事學
actor.stata.bandit,劫匪
actor.stata.thug,刺客
actor.states,州省
actor.strata.animal,動物
actor.strata.slave,囚犯
actor.traits,特質
building.hostel,寢舍
building.library,藏書閣
building.armorsmith,防具鍛造廠
building.barracks,營房
building.brewery,釀酒廠
building.caption_with_level,{building_name}等級 {level}
building.castle,莊園大廳
building.chancellery,官邸
building.church,教堂
building.altar,祭壇
building.coal_burner,製炭爐
building.coal_furnace,製炭爐
building.coal_mine,煤礦場
building.description.burned,此建築已遭大火燒毀，只能拆除。
building.farm,農場
building.forge,武器鍛造廠
building.hall_storage,大廳倉庫
building.herbalist,採藥人
building.house,庶民住宅
building.menu.appoint.church,佈道
building.menu.appoint.training,訓練
building.menu.appoint.gallows,責罰
building.menu.appoint.chancellery,大臣
building.menu.appoint.culture,文化
building.menu.appoint.appoint_culture,指派
building.menu.castle.builders,建築工人
building.menu.castle.servants,僕人
building.menu.gallows.terror,恐怖
building.menu.gallows.executers,劊子手
building.menu.in_stock,倉庫中
building.menu.required_resources,所需資源
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,居民
building.menu.service.attendance,出席者
building.menu.service.inspection,政策
building.menu.service.revenue,收益
building.menu.combat_training.number_of_places,同時訓練
building.menu.sold,售出
building.menu.trader,商人
building.menu.special_button.auto_repair,自動修復
building.menu.special_button.abort,中止
building.menu.special_button.destroy,摧毀
building.menu.special_button.relocate,移動
building.menu.special_button.repair,修復
building.menu.special_button.upgrade,升級
building.menu.special_button.upgrade_workplace,工人名額 +1
building.menu.status.breakdown,瓦解
building.menu.status.need_charge,田地已枯竭
building.menu.status.burned_full,毀於火災
building.menu.status.burned_partially,部分毀於火災
building.menu.status.burning,建築失火了！
building.menu.status.church,城鎮內的狂熱信徒：{fanatics_percent}%
building.menu.status.construction,營建中。
building.menu.status.construction_template,{status}：{progress}% 完成
building.menu.status.demolition,拆除中
building.menu.status.extinguishing,滅火中
building.menu.status.harvest.after_tomorrow,後天收成
building.menu.status.harvest.n_days,{days} 天後收成
building.menu.status.harvest.today,今天收成
building.menu.status.harvest.tomorrow,明天收成
building.menu.status.no_tasks,請於「生產」選單下達訂單
building.menu.status.fertilize,肥沃度：{number}%
building.menu.status.produce,生產中：{resource} ({progress}%)
building.menu.status.raw_not_enough,生產所需資源不足。
building.menu.status.relocate,遷移中
building.menu.status.repair,修復中
building.menu.status.upgrade,升級中
building.menu.status.work_time,工時：{work_hour_begin} 點至 {work_hour_end} 點
building.menu.status.works_fine,正常運作中
building.menu.status.pig_farm_need_to_charge,需要取用洋蕪菁
building.menu.status.need_inspector,需要指派管理員
building.menu.status.need_inspection,未接獲指令
building.menu.status.need_paper_charge,需要取用紙
building.menu.tavern.allow_nectar,允許蜜露
building.menu.temple.donation,捐獻
building.menu.temple.priest,神父
building.menu.workplace.appoint_inspector,指派
building.menu.workplace.inspection,管理
building.menu.workplace.priority,優先
building.menu.workplace.produced_today,今日已生產
building.menu.workplace.bonus_slave,囚犯加成：{bonus_slave}
building.menu.workplace.bonus_addicted,成癮者加成：{bonus_addicted}
building.menu.workplace.bonus_culture,{culture}特長加成：{bonus_culture}
building.menu.workplace.statistics,統計數據
building.menu.workplace.workers,工人
building.menu.workplace.workers.free,庶民
building.menu.workplace.workers.slaves,囚犯
building.menu.workplace.addicted,成癮者
building.menu.patrollers,巡邏旗
building.menu.radius,巡邏範圍
building.menu.combat_max,最高戰鬥等級
building.menu.max_pain,最高疼痛程度
menu.patrol_sign.description,戰士巡邏處
building.mine,礦場
building.noble_house,貴族住宅
building.paper_factory,造紙坊
building.slaves_barrack,牢房
building.temple.preach.doubt,疑竇之道
building.temple.preach.faith,信仰之道
building.farm.pig_farm_charge_abort,停止取用
building.farm.pig_farm_charge,開始取用洋蕪菁
building.gallows.crimes,犯罪
building.gallows.punishments,責罰
building.gallows.change,改過
building.training_field,訓練場
building.woodcutter,伐木場
building.workshop,工作坊
building.gallows,行刑台
building.market,市集
building.storage,倉庫
building.tavern,酒館
building.drug_deg,賊窩
building.rye_farm,麥田
building.hop_farm,啤酒花田
building.swede_farm,洋蕪菁田
building.pig_farm,養豬場
building.mill,磨坊
building.alchimestry,煉金實驗室
building.melting_furnace,冶煉爐
building.patrol_sign,夜間巡邏
display_event.actor_complete_action_task_on_gm,{name}已完成事項：{task_name}。
display_event.actor_abort_action_task_on_gm,{name}無法完成事項。
display_event.actor_arrived_in_town_as_guest_on_gm,{name}已抵達{town_name}。
display_event.actors_married,{name_1}和{name_2}訂婚了。
display_event.new_genius_king,傳聞：征服者
display_event.defence_alliance.squad_arrived,{faction_name}派出的援軍抵達了！
display_event.defence_alliance.squad_created,援軍已整隊完畢，靜候你的差遣！
display_event.defence_alliance.leave.time_expired,援軍的駐留已告終，即將返回本土。
display_event.defence_alliance.leave.battle_finished,援軍已完成馳援，即將返回本土。
display_event.defence_alliance.leave.defence_alliance_broken,{faction_name}與你的結盟瓦解了，因此將提前撤走援軍。
display_event.defence_alliance.leave.no_one_is_attacking_player,你已不再面臨威脅，援軍即將返回本土。
display_event.defence_alliance.leave.other_reason,援軍將提前返回本土。
display_event.got_title,{name}已獲封貴族爵位。
display_event.kid_need_title,{name}很快將需要空餘的貴族爵位。
display_event.storage_robbery_gold,有 {number} 枚金幣失竊了！
display_event.squad_go_to_take_equipment,戰士們正前往倉庫拿取武器，請稍候……
display_event.no_servants_in_hall,莊園大廳沒有僕人！
display_event.squad_take_all_equipment,戰士們已整裝待發！
display_event.horde_apeears,孽惡部族出沒
display_event.horde_gossip,傳聞：遙遠地帶出現新興邪教
display_event.new_fraction,新貴族王室誕生：{faction_name}
display_event.fraction_death,貴族王室殞落：{faction_name}
display_event.horde_murder_faction,孽惡部族又摧毀了一支貴族王室。
display_event.horde_crisis_finish,孽惡部族離開了諾蘭德大陸。
display_event.forecast,已獲得物價預報{resource}
display_event.village_tribute,{village_name}：進貢
display_event.bandits_at_the_gate,附近有敵方部隊！
display_event.army_at_the_gate,附近有敵方部隊！
display_event.enemy_attack_city,敵方發動了攻勢！
display_event.free_lord_expired,貴族的聘約到期了。
display_event.free_lord_low_loyalty,流浪貴族的忠誠度下滑了。
display_event.terror_lords,恐怖在貴族間蔓延，人人自危！
display_event.terror_peasants,恐怖在庶民間蔓延，人人自危！
display_event.bandits_prepare_to_attack,劫匪們正在策畫進攻你的城鎮。
display_event.caravan_arrive,聖商隊來到你的城鎮了。
display_event.free_lord_arrive,有流浪貴族在等候受聘。
display_event.character_bleeding,有人正在失血。
display_event.fire,失火了！
display_event.slaves_hungry,在「經濟」選單中查看囚犯是否獲得足夠的食物。
display_event.dummy_little_beer,在「經濟」選單中查看人物是否獲得足夠的酒。
display_event.dummy_little_food,在「經濟」選單中查看囚犯是否獲得足夠的食物。
display_event.dummy_many_homeless,請加蓋住所。
display_event.high_fanaticism_level,在教堂宣講疑竇之道可減少狂熱信徒。
display_event.low_dummy_happiness,請多加留意頻繁出現的負面想法。
display_event.not_enough_barracks,請加蓋營房。
display_event.not_enough_equipment,請向商隊購入或自行製作裝備。
display_event.not_enough_taverns,請加蓋酒館。
display_event.not_enough_temples,請加蓋教堂。
display_event.too_much_unemploe,欲降低失業率，可以降低平均心情，從而減少移民率。
display_event.high_prices,庶民會向聖商隊購買貨物。
display_event.hired_soldiers_arrive,你聘請的戰士已抵達。
display_event.migrants_arrive,{number}位移民來到了領地。
display_event.knowledge_interaction,{name}正在研讀「{knowledge}」：{progress}%
display_event.book_writing,{name}正在撰寫書籍「{knowledge}」：{progress}%
display_event.not_enough_knowledge_paper,紙張不足，無法寫書：{name}
display_event.knowledge_too_hard_again,{name}無法再學習：{knowledge}
display_event.not_enough_resources,資源不足。
display_event.building_breakdown,建築已毀損。
display_event.farm_depleted,農田已枯竭。
display_event.farm_soon_depleted,農田即將枯竭。
display_event.not_enough_workers,工人不足。
display_event.wheat_destroyed,由於久未降雨，作物都枯死了。
display_event.building_needs_direct_contol,建築需要直接管理才能運作。
display_event.building_without_inspector,建築缺少管理員。
display_event.order_complete,{value} {resource}：訂單完成！
display_event.building_without_instruction,今天有工人未接獲指令。
display_event.resources_stolen,資源失竊：{value} 個{resource}
display_event.thugs_appear,城鎮裡出現了刺客。
display_event.wolf_attack,食肉狼來襲！
display_event.no_meds,治療藥膏用光了！
display_event.quest_result,結果：{quest_name}
display_event.battle_result,戰役結果
display_event.battle_start,新戰役！
display_event.new_quest,{name}
display_event.new_book,已完成書籍抄本：{knowledge}
display_event.new_knowledge,已習得知識：{knowledge}
display_event.slave_escape,有囚犯正試圖逃逸。
display_event.unhappy_lord,你的貴族心懷不滿。
display_event.actor_dont_work,{name}心懷不滿，不願進行獲派的事項。
display_event.reg_riot_soon,狂熱信徒要求血祭{target_name}！
display_event.reg_riot_cancel,{target_name}受到處決後，狂熱信徒相當滿意，答應放棄叛變。
display_event.holy_family_become_enemy,你失去了國母的信任！
display_event.reg_riot_against_king,狂熱信徒深信{target_name}必須死。
display_event.reg_riot_in_hour,叛變再過幾個鐘頭就要爆發了！
display_event.low_loyaled,此貴族正在離開領地。
display_event.bulglary_storage,流民洗劫了大廳倉庫。
display_event.hall_robbed,流民潛入大廳偷走了金幣。
display_event.library_robbed,流民潛入藏書閣偷走了書籍。
display_event.lord_kidnapped,流民綁架了你的貴族！
display_event.lord_killed,有人買通刺客要殺害你的貴族！
display_event.army_returned_from_global_map,部隊回來了。
display_event.hirde_bandits_returned_from_global_map,受僱的刺客帶著戰利品回來了。
display_event.kid_now_can_read,{name}已長成青少年。
display_event.bishop_arrived,主教來到你的領地了。
display_event.bishop_leave_province,主教即將離開領地。
display_event.faction_become_enemy,{faction_name}宣布與你為敵。
display_event.faction_soon_become_enemy,{faction_name}即將宣布與你為敵。
display_event.economy_statistics,經濟報告
display_event.dayly_statistic,每日統計
display_event.daily_stat_main_pronlems,常見負面想法
display_event.daily_stat_no_problems,無問題
display_event.world_summary,世界概要
display_event.world_summary_trade,貿易
display_event.world_summary_marriage,婚姻
display_event.world_summary_other,其他
display_event.world_summary_politic,政策
display_event.religious_rebellion_start,宗教起義爆發了！
display_event.slaves_rebellion,囚犯掀起暴動了！
display_event.soldier_rebellion,戰士的造反開始了！
display_event.loyalist_rage,忠誠派要展開大屠殺了！
display_event.loyalist_rage_over,忠誠派的大屠殺結束了
display_event.soldier_rebellion_finished,戰士造反結束了
display_event.soldier_rebellion_crushed,成功鎮壓了戰士的造反！
display_event.religion_rebellion_crushed,成功鎮壓了宗教起義！
display_event.religion_rebellion_finished,宗教起義結束了。
display_event.slaves_rebellion_finished,囚犯造反結束了。
display_event.slaves_rebellion_crushed,成功鎮壓了囚犯的暴動！
display_event.culture_rage_today,{name}：可能會繼續針對{name_2}發起暴動
display_event.culture_rage,{name}掀起了暴動。
display_event.culture_rage_over,暴動結束了。
display_event.no_new_events,無事件。
display_event.player_became_vassal,你已成為{sir_faction}的附庸。
display_event.player_stopped_being_vassal,你已不再是{ex_sir_faction}的附庸。
display_event.enemy_go_to_attack_town_soon,{faction}似乎正要攻擊你的城鎮！
display_event.enemy_go_to_attack_village,{faction}派出部隊要劫掠你的村莊！
display_event.enemy_go_to_attack_town,{faction}派出部隊要洗劫你的城鎮！
display_event.bandits_go_to_attack_village,林中劫匪即將進犯你的村莊！
display_event.bandits_go_to_attack_town,林中劫匪即將攻打你的城鎮！
display_event.bandits_looted_village,林中劫匪洗劫了你的村莊！
display_event.enemy_looted_village,{faction}洗劫了你的村莊！
display_event.heir_rebellion,王儲起兵篡位了！
