Key,Polska
scenario.surrounded_by_enemies,W otoczeniu wrogów
scenario.peacepul_dolina,Pokojowa dolina
scenario.everything_is_lost,Wszystko stracone
scenario.slave_owner,Handlarze jeńców
main_menu.new_game.province.game_params.crisis,Kryzys
main_menu.new_game.province.game_params.crisis.no_crisis,Bez kryzysu
main_menu.new_game.province.game_params.crisis.unholy_horde,Horda Przeklętych
main_menu.new_game.province.game_params.crisis.pandemic,Pandemia
main_menu.new_game.province.game_params.crisis.religious_war,Wojna religijna
main_menu.new_game.province.game_params.crisis.long_winter,Długa zima
main_menu.new_game.province.game_params.mutators,Modyfikatory
mutator.wave_fanatism,Fala fanatyzmu
mutator.after_war,Powojnie
mutator.decline_of_trade,Załamanie handlu
mutator.power_of_crowd,Przewaga liczebna
mutator.fast_metabolism,Szybki metabolizm
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Ustaw
main_menu.new_game.family_editor.erethic,Heretyk
main_menu.new_game.province.game_params.adv_neighbours_settings,Zaaw. ustawienia sąsiadów
main_menu.new_game.province.game_params.header,Parametry gry
main_menu.new_game.province.header,Wybierz prowincję początkową
main_menu.new_game.province.header.back_to_select_mode,Wybierz ustawienia prowincji
main_menu.new_game.province.header.next,Dalej
main_menu.new_game.province.banner,Sztandar
main_menu.new_game.province.difficulty,Poziom trudności
main_menu.new_game.province.difficulty.peaceful,Tryb pokojowy
main_menu.new_game.province.difficulty.normal,Normalny
main_menu.new_game.hardcore_start,Ekstremalny
main_menu.new_game.province.difficulty.ironman,Żelazna wola
main_menu.new_game.province.neighbours.caution.careful,Ostrożny
main_menu.new_game.province.neighbours.caution.risky,Ryzykowny
main_menu.new_game.province.neighbours.caution.balanced,Zrównoważony
main_menu.new_game.province.neighbours.pacifism.default,Normalny
main_menu.new_game.province.neighbours.pacifism.peaceful,Pokojowy
main_menu.new_game.province.neighbours.city_size,Początkowy rozmiar miasta
main_menu.new_game.province.neighbours.army_power,Siła armii
main_menu.new_game.province.neighbours.enemy,Wrogość
main_menu.new_game.province.neighbours.friend,Sympatia
main_menu.new_game.province.neighbours.neutral,Neutralny
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Opuszczone miasto
main_menu.new_game.province.neighbours.empty,Wybierz sąsiada
main_menu.new_game.family.banner.sign_color,Kolor symbolu
main_menu.new_game.family.banner.pattern,Wzór
main_menu.new_game.family.banner.sign,Symbol
main_menu.new_game.family.look.body,Korpus
main_menu.new_game.family.look.skin_color,Kolor skóry
main_menu.new_game.family.look.hair_color,Kolor włosów
main_menu.new_game.family.look.beard,Broda
main_menu.new_game.family.look.haircut,Fryzura
main_menu.new_game.family.look.head,Głowa
main_menu.new_game.family.look.sex,Płeć
main_menu.new_game.family.look.random,Losowe
main_menu.new_game.family.character_traits,CECHY POSTACI
main_menu.new_game.family.skills,UMIEJĘTNOŚCI
main_menu.new_game.family.overall_skills,Suma umiejętności
main_menu.new_game.soft_onboarding,Łatwy początek
main_menu.new_game.family.members,Skład rodziny
main_menu.new_game.family.members.husband_wife_child,"Mąż, żona, dziecko"
main_menu.new_game.family.members.two_sis_and_son,Dwie siostry i syn
main_menu.new_game.family.members.two_bro,Dwaj bracia
main_menu.new_game.family.members.three_sisters,Trzy siostry
main_menu.new_game.family.members.father_three_doughters,Ojciec i córki
main_menu.new_game.family_settings,Ustawienia rodziny
main_menu.ng_world_should_generate,Generuj świat
main_menu.ng_select_map,Wybierz mapę
main_menu.ng_save_name,Wprowadź nazwę zapisu gry
main_menu.save_load.delete,Usuń
main_menu.save_load.deleted,USUNIĘTO
main_menu.save_load.save_as.desc2,"Zostaw puste pole, aby zapisać grę pod nazwą mapy."
main_menu.save_load.save_as.desc,Nowy plik zapisu gry
main_menu.save_load.save_as,Nowy zapis
main_menu.save_load.rewrite,Nadpisz
main_menu.save_load.save,Zapisz
main_menu.save_load.load,Wczytaj
main_menu.save_load.autosave_morning,Poranek
main_menu.save_load.autosave_evening,Popołudnie
main_menu.mods,Modyfikacje
main_menu.credits,Autorzy
main_menu.discord,Discord
main_menu.leave_feedback,Opinia
main_menu.feedback.send,Wyślij
main_menu.exit,Wyjdź
main_menu.settings,Ustawienia
main_menu.load_game,Wczytaj grę
main_menu.start_tutorial,Samouczek
main_menu.start_new_game,Nowa gra
main_menu.continue_last_game,Kontynuuj
main_menu.save_and_exit,Zapisz i wyjdź
main_menu.start,Rozpocznij
main_menu.back,Wróć
menu.problems,Problemy
adv_tutorial.obj_build_sawmill_place_text,Zbuduj tartak tutaj.
adv_tutorial.obj_build_field_place_text,Umieść pole brukwi tutaj.
adv_tutorial.obj_build_taverna_place_text,Zbuduj karczmę tutaj.
adv_tutorial.obj_build_generic_place_text,Umieść tutaj.
notification.tutorial.ambush,Atak bandytów!
loading_screen,Wczytywanie… Proszę czekać.
loading_screen.ingame.misc_loading,Wczytywanie danych
loading_screen.ingame.gui_init,Tworzenie interfejsu
loading_screen.ingame.save_game_load,Wczytywanie zapisanych danych
loading_screen.ingame.new_game_load,Inicjalizacja nowej gry
loading_screen.ingame.gui_system,Inicjalizacja interfejsu
loading_screen.ingame.map_cells,Tworzenie pól mapy
loading_screen.ingame.trade_manager,Inicjalizacja menedżera handlu
loading_screen.ingame.local_map_controller,Wczytywanie kontrolera mapy lokalnej
loading_screen.ingame.province_controller,Wczytywanie danych prowincji
loading_screen.ingame.global_map,Wczytywanie mapy zewnętrznej
loading_screen.ingame.battle_injuty_lottery,Wczytywanie szansy na obrażenia w walce
loading_screen.ingame.game_system_init,Inicjalizacja systemów wewnętrznych gry
loading_screen.ingame_unloading,Wysyłanie zasobów gry
loading_screen.caching_textures,Wczytywane tekstur do pamięci podręcznej
loading_screen.game_vars,Wczytywanie zmiennych wewnętrznych gry
loading_screen.audio,Wczytywanie systemu dźwiękowego
loading_screen.animations,Wczytywanie animacji
loading_screen.building_assets,Wczytywanie elementów budynków
loading_screen.actor_assets,Wczytywanie postaci
loading_screen.traits,Wczytywanie cech
loading_screen.minds,Wczytywanie myśli
loading_screen.tantrums,Wczytywanie załamań nerwowych
loading_screen.activity,Wczytywanie aktywności
loading_screen.game_data,Wczytywanie danych wewnętrznych
loading_screen.building_constructions,Wczytywanie budynków
loading_screen.banners,Wczytywanie sztandarów
loading_screen.gui,Tworzenie interfejsu
loading_screen.hints,Wczytywanie porad
loading_screen.rich_string,Wczytywanie Rich String
loading_screen.knowledge_localization,Wczytywanie lokalizacji wiedzy
loading_screen.saves_and_maps,Wczytywanie list światów i zapisów
loading_screen.done,Wczytywanie zakończone.
encyclopedia.help,POMOC
encyclopedia.category.battle,Walka
encyclopedia.category.economics,Gospodarka
encyclopedia.category.characters,Postacie
encyclopedia.category.mechanics,Mechaniki
encyclopedia.category.hints,Porady
encyclopedia.category.global_map,Mapa
encyclopedia.search,Wyszukaj…
action_task.skill_training_caption,Nauczanie: {skill_name}
actor.relations.filter.location,W pobliżu
actor.relations.filter.kings,Królowie
actor.relations.filter.friends,Przyjaciele
actor.relations.filter.enemies,Wrogowie
actor.relations.filter.can_seduce,Można uwieść
action_task.category.king,Król
action_task.category.social,Społeczne
action_task.category.bishop,Biskup
action_task.sub_category.social,Komunikacja
action_task.sub_category.intrigue,Intryga
actor.action_task.begging,Proś o przebaczenie
actor.action_task.nominate_enemy,Ogłoś wrogiem
actor.action_task_hunt,Polowanie na żerwilka
actor.action_task_sick_visit,Odwiedź chorego
actor.action_task.marriage,Poślub
actor.action_task.bribe,Przekup
actor.action_task.punish,Ukarz
actor.action_task.reward,Nagrodź
actor.action_task.rumors,Szerz plotki
actor.action_task.spent_time,Spędź wspólnie czas
actor.action_task.invite,Zaproś
actor.action_task.teach,Edukuj
actor.action_task.threat,Groź
actor.action_task.trade,Handluj
actor.action_task.make_free,Uwolnij
actor.action_task.seduction,Uwiedź
actor.action_task.donate,Dar dla króla
actor.action_task.kill,Zabij
actor.action_task.poison,Otruj
actor.action_task.play_dice,Graj w kości
actor.action_task.depart,Wygnaj
actor.action_task.duel_call,Wyzwij na pojedynek
actor.action_task.duel_provocation,Sprowokuj pojedynek
actor.action_task.free_lord_hire,Zatrudnij lorda
actor.action_task.send_guest,Wyślij gościa
actor.action_task.king_tribute,Przekaż dar
actor.action_task.confession,Wyspowiadaj się
actor.action_task.kidnap,Schwytaj
actor.action_task.free_captive,Uwolnij
actor.action_task.forced_sex,Zmuś do seksu
actor.action_task.appoint_an_heir,Ogłoś spadkobiercą
actor.action_task.go_home,Odeślij do domu
actor.action_task.sex_with_dummy,Płatny seks
actor.action_task.new_heir,Mianuj spadkobiercą
actor.action_task.canonization,Błogosław
actor.action_task.divorce,Rozwiedź się
actor.action_task.consolation,Pociesz
actor.action_task.give_title_to_hired_free_lord,Nadaj tytuł
actor.action_task.give_title_to_soldier,Nadaj tytuł
actor.action_task.take_title,Pozbaw tytułu
actor.action_task.join_captive,Uwolnij i przyłącz
actor.action_task.new_king,Przekaż koronę
actor.appoint_in_town,W mieście {town_name}
actor.appoint_in_this_town,W tym mieście
actor.appoint.our_lords,Nasi lordowie
actor.appoint.other_lords,Inni lordowie
actor.action.training,SZKOLENIE
actor.action.conversation,NEGOCJACJE
actor.action.army.on_local_map,Na mapie lokalnej
actor.action.army.on_global_map,Na mapie globalnej
actor.action.army,ARMIA
actor.action.executor,WYKONAWCA
actor.action.executor_replace,ZASTĄP
actor.action.teacher,NAUCZYCIEL
actor.action.chancellery_any,Dowolna kancelaria
actor.action.punishment,KARA
actor.action.teach,NAUKA
actor.action.person,KOGO?
actor.action.different_actions,DZIAŁANIE
actor.action.trade,HANDEL
actor.action_task.invite_guest,Zaproś do swojej prowincji
actor.status.on_global_map,Na mapie globalnej
actor.status.on_global_map_lost,Lokalizacja nieznana
actor.status.in_army,W oddziale na mapie globalnej
actor.status.in_travel,Podróżuje
actor.status.in_object,W miejscu {object_name}
actor.adjective.addicted_to_drink,Dużo pije
actor.adjective.ambitious,Ambitny
actor.adjective.angry,Mściwy
actor.adjective.arrogant,Arogancki
actor.adjective.ascetic,Ascetyczny
actor.adjective.bloodthirsty,Żądny krwi
actor.adjective.contemptuous,Pogardliwy
actor.adjective.contradictory,Sprzeczny
actor.adjective.emotional,Emocjonalny
actor.adjective.envious,Zawistny
actor.adjective.friendly,Przyjazny
actor.adjective.frivolous,Frywolny
actor.adjective.greedy,Chciwy
actor.adjective.indifferent,Obojętny
actor.adjective.intemperate,Impulsywny
actor.adjective.jealous,Zazdrosny
actor.adjective.mean,Złośliwy
actor.adjective.melancholy,Melancholijny
actor.adjective.sarcastic,Sarkastyczny
actor.adjective.subtle,Wyrafinowany
actor.adjective.trusting,Łatwowierny
actor.adjective.weakpowered,Cherlawy
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Niesprowokowane ataki na chłopów wzbudzą <hint=hint_terror_peasants>terror</hint>.</red>
actor.appoint.nominate_enemy.lord,<red>Niesprowokowane ataki na lordów wzbudzą <hint=hint_terror_lord>terror</hint>.</red>
actor.appoint.nominate_enemy.guest,"<red>Atak na gościa, niezależnie od jego przewin, będzie uznany za złamanie świętego prawa gościny.</red>

$ Stosunki na linii {soul_uuid_performer_king} – {soul_uuid_target}: <red>{relations_modify_target}

</b>PORADA</b>: Do rozwiązywania konfliktów lepsze są <hint=hint_duel>pojedynki</hint>."
actor.appoint.nominate_enemy.bishop,"<red>Atak na członka Kochającego Rodu, niezależnie od jego przewin, zostanie przez <hint=hint_inquisitors>Inkwizycję</hint> uznany za wystarczający powód, aby ukarać twoje miasto.</red>"
actor.age,{age} lat(a)
actor.age_short,{age} lat(a)
actor.class.unarmed,Nieuzbrojony
actor.class.l_archer,Lekki łucznik
actor.class.axeman,Topornik
actor.class.guard,Strażnik
actor.class.h_axeman,Ciężki topornik
actor.class.faceless_axeman,Wojownik Hordy Przeklętych
actor.class.h_hammerhead,Ciężki buławnik
actor.class.h_spearman,Ciężki włócznik
actor.class.h_swordman,Ciężki szermierz
actor.class.hammerhead,Buławnik
actor.class.l_spearman,Lekki włócznik
actor.class.outcast,Odszczepieniec
actor.class.spearman,Włócznik
actor.class.swordman,Szermierz
actor.class.light_archer,Łucznik poz. 3-5 bez pancerza
actor.class.light_hammerhead,Buławnik poz. 3-5 bez pancerza
actor.class.light_spearman,Włócznik poz. 3-5 bez pancerza
actor.class.light_axeman,Topornik poz. 3-5 z tarczą i bez pancerza
actor.class.middle_archer,Łucznik poz. 8-11 z lekkim pancerzem
actor.class.middle_hammerhead,Buławnik poz. 8-11 z lekkim pancerzem i tarczą
actor.class.middle_spearman,Włócznik poz. 8-11 z lekkim pancerzem i tarczą
actor.class.heavy_axeman,Topornik poz. 13-17 z ciężkim pancerzem i tarczą
actor.class.heavy_swordman,Szermierz poz. 13-17 z ciężkim pancerzem i tarczą
actor.class.lord,Lord szermierz z ciężkim pancerzem i tarczą
actor.dignity.king,Władca
actor.events,WYDARZENIA
actor.events_date,DATA
actor.knowledge,WIEDZA
actor.hint.battle_skill,Poziom umiejętności bojowych
actor.hint.crimes.caption,Przestępstwa
actor.hint.injury.caption,Rany
actor.hint.injury.pain_level,Poziom bólu: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Próg bólu:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* – występuje ryzyko zakażenia
actor.hint.sin.caption,Grzechy
actor.hint.sin.piety_impact,Wpływ na nastrój: {piety_impact}
actor.impact_on_person,DZIAŁANIE
actor.inventory,WYPOSAŻENIE
actor.log.today,Dzisiaj
actor.log.days_before,Dni temu: {day}
actor.log.yesterday,Wczoraj
actor.loyalty,Lojalność {loyalty}%
menu.battle_result.win,Zwycięstwo!
menu.battle_result.lose,Porażka
menu.battle_result.deployed,Wystawiono
menu.battle_result.died,Polegli
menu.battle_result.escaped,Uciekli
menu.battle_result.captured,Schwytani
actor.menu.appoint.hunt,Polowanie
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,MYŚLI
actor.moral,NASTRÓJ
actor.motive.energy,Sen
actor.motive.food,Jedzenie
actor.motive.rest,Odpoczynek
actor.motive.religion,Pobożność
actor.motive.sex,Seks
actor.motive.care,Opieka
actor.noun.adventurer,Awanturnik
actor.noun.depraved,Rozpustnik
actor.noun.fatalist,Fatalista
actor.noun.flatterer,Pochlebca
actor.noun.genius,Geniusz
actor.noun.introvert,Introwertyk
actor.noun.moron,Prostak
actor.noun.mystic,Mistyk
actor.noun.narcissist,Narcyz
actor.noun.rude,Grubianin
actor.noun.shameless,Dewiant
actor.noun.skeptic,Sceptyk
actor.noun.workaholic,Pracoholik
actor.opinion.choose_factions.province_hint,Na mapie lokalnej
actor.opinion.interest,Zainteresowanie:
actor.opinion.interest.high,wysokie
actor.opinion.interest.low,niskie
actor.opinion.interest.middle,średnie
actor.opinion.no_minds,Brak myśli
actor.opinion.opinion_of,Opinia o {name}:
actor.opinion.opinion_of_me,Opinia {name} o mnie:
actor.opinion.opinion_of_third_person,Opinia {name_2} o {name}:
actor.opinion.special.deadly_enemy,Śmiertelny wróg
actor.opinion.special.enemy,Wróg
actor.opinion.special.friend,Przyjaciel
actor.opinion.special.like,Dobre stosunki
actor.opinion.special.love,Pociąg romantyczny
actor.part_of_nature,CECHY OSOBOWOŚCI
actor.punish.execute,Strać
actor.punish.expel,Wygnaj
actor.punish.imprison,Weź na zakładnika
actor.desire,PRAGNIENIE
actor.skill.command,Dowodzenie
actor.skill.education,Nauczanie
actor.skill.fight,Bojowe
actor.skill.knowledge,Inteligencja
actor.skill.management,Zarządzanie
actor.skill.manners,Maniery
actor.skill.negotiation,Handel
actor.skill.oratory,Perswazja
actor.skill.points_remain,Do następnego poziomu potrzebuje {number} PD.
actor.skills,UMIEJĘTNOŚCI
actor.skills_training,SZKOLENIE
actor.skills.level,{level}
actor.skill_category.rhetoric,Retoryka
actor.skill_category.economic,Ekonomia
actor.skill_category.philosophy,Filozofia
actor.skill_category.warcraft,Sztuka wojny
actor.stata.bandit,Bandyta
actor.stata.thug,Zbój
actor.states,STANY
actor.strata.animal,Zwierzę
actor.strata.slave,Jeniec
actor.traits,STAN
building.hostel,Barak
building.library,Biblioteka
building.armorsmith,Płatnerz
building.barracks,Koszary
building.brewery,Gorzelnia
building.caption_with_level,{building_name} poz. {level}
building.castle,Siedziba
building.chancellery,Kancelaria
building.church,Świątynia
building.altar,Ołtarz
building.coal_burner,Mielerz
building.coal_furnace,Mielerz
building.coal_mine,Kopalnia węgla
building.description.burned,Ten budynek spłonął w pożarze. Można go tylko zburzyć.
building.farm,Gospodarstwo
building.forge,Kuźnia broni
building.hall_storage,Skład siedziby
building.herbalist,Zielarz
building.house,Dom chłopski
building.menu.appoint.church,KAZANIE
building.menu.appoint.training,SZKOLENIE
building.menu.appoint.gallows,KARA
building.menu.appoint.chancellery,KANCLERZ
building.menu.appoint.culture,KULTURA
building.menu.appoint.appoint_culture,mianuj
building.menu.castle.builders,BUDOWNICZY
building.menu.castle.servants,SŁUŻBA
building.menu.gallows.terror,Terror
building.menu.gallows.executers,KACI
building.menu.in_stock,W SKŁADZIE
building.menu.required_resources,WYMAGA
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,MIESZKAŃCY
building.menu.service.attendance,Obecni
building.menu.service.inspection,POLITYKA
building.menu.service.revenue,Obroty
building.menu.combat_training.number_of_places,JEDNOCZESNY TRENING
building.menu.sold,SPRZEDANO
building.menu.trader,HANDLARZ
building.menu.special_button.auto_repair,Automatyczna naprawa
building.menu.special_button.abort,Anuluj
building.menu.special_button.destroy,Zniszcz
building.menu.special_button.relocate,Przenieś
building.menu.special_button.repair,Napraw
building.menu.special_button.upgrade,Ulepsz
building.menu.special_button.upgrade_workplace,#ERROR!
building.menu.status.breakdown,Awaria
building.menu.status.need_charge,Pole wyeksploatowane.
building.menu.status.burned_full,Zniszczone w pożarze.
building.menu.status.burned_partially,Częściowo spalone.
building.menu.status.burning,Pożar!
building.menu.status.church,Religijni fanatycy w mieście: {fanatics_percent}%
building.menu.status.construction,Trwa budowa.
building.menu.status.construction_template,{status} ({progress}%) ukończono
building.menu.status.demolition,Trwa rozbiórka.
building.menu.status.extinguishing,Trwa gaszenie pożaru.
building.menu.status.harvest.after_tomorrow,Zbiór plonów nastąpi pojutrze.
building.menu.status.harvest.n_days,Zbiór plonów nastąpi za {days} dni.
building.menu.status.harvest.today,Dzisiaj nastąpi zbiór plonów.
building.menu.status.harvest.tomorrow,Jutro nastąpi zbiór plonów.
building.menu.status.no_tasks,Wydaj polecenie w menu produkcji.
building.menu.status.fertilize,Żyzność: {number}%
building.menu.status.produce,W produkcji: {resource} ({progress}%)
building.menu.status.raw_not_enough,Niewystarczająca ilość surowców do produkcji.
building.menu.status.relocate,Trwają przenosiny.
building.menu.status.repair,Trwają naprawy.
building.menu.status.upgrade,Trwa ulepszanie.
building.menu.status.work_time,Godziny pracy: {work_hour_begin} – {work_hour_end}
building.menu.status.works_fine,Pracuje normalnie.
building.menu.status.pig_farm_need_to_charge,Wymaga dostaw brukwi.
building.menu.status.need_inspector,Wymaga mianowania zarządcy.
building.menu.status.need_inspection,Nie otrzymano poleceń.
building.menu.status.need_paper_charge,Wymaga dostaw papieru.
building.menu.tavern.allow_nectar,Serwuj nektar
building.menu.temple.donation,Datki
building.menu.temple.priest,KAPŁAN
building.menu.workplace.appoint_inspector,Przydziel
building.menu.workplace.inspection,ZARZĄDZANIE
building.menu.workplace.priority,Priorytet
building.menu.workplace.produced_today,WYPRODUKOWANO DZISIAJ
building.menu.workplace.bonus_slave,Premia za jeńców: {bonus_slave}
building.menu.workplace.bonus_addicted,Premia za uzależnionych: {bonus_addicted}
building.menu.workplace.bonus_culture,Premia za wiedzę kultury {culture}: {bonus_culture}
building.menu.workplace.statistics,STATYSTYKI
building.menu.workplace.workers,PRACOWNICY
building.menu.workplace.workers.free,Chłopi
building.menu.workplace.workers.slaves,Jeńcy
building.menu.workplace.addicted,Uzależnieni
building.menu.patrollers,Sztandar patrolu
building.menu.radius,Zasięg patrolu
building.menu.combat_max,Maks. poziom bojowy
building.menu.max_pain,MAKS. POZIOM BÓLU
menu.patrol_sign.description,Miejsce patrolu wojowników.
building.mine,Kopalnia
building.noble_house,Dom lorda
building.paper_factory,Papiernia
building.slaves_barrack,Barak jeńców
building.temple.preach.doubt,Kazanie zwątpienia
building.temple.preach.faith,Kazanie wiary
building.farm.pig_farm_charge_abort,Anuluj dostawy
building.farm.pig_farm_charge,Dostarczaj brukiew
building.gallows.crimes,Przestępstwa
building.gallows.punishments,Kary
building.gallows.change,Zmień
building.training_field,Plac treningowy
building.woodcutter,Tartak
building.workshop,Warsztat
building.gallows,Szafot
building.market,Rynek
building.storage,Skład
building.tavern,Karczma
building.drug_deg,Melina
building.rye_farm,Pole żyta
building.hop_farm,Pole chmielu
building.swede_farm,Pole brukwi
building.pig_farm,Chlew
building.mill,Młyn
building.alchimestry,Laborat. alchemiczne
building.melting_furnace,Huta
building.patrol_sign,Patrol nocny
display_event.actor_complete_action_task_on_gm,{name} wykonuje zadanie – {task_name}.
display_event.actor_abort_action_task_on_gm,{name} nie wykonuje zadania.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} dociera do miasta {town_name}.
display_event.actors_married,{name_1} i {name_2} są zaręczeni.
display_event.new_genius_king,Plotka: Najeźdźcy
display_event.defence_alliance.squad_arrived,Nadeszły posiłki z frakcji {faction_name}!
display_event.defence_alliance.squad_created,"Posiłki zebrały się w oddział, który został umieszczony pod twoim dowództwem."
display_event.defence_alliance.leave.time_expired,"Pobyt posiłków dobiega końca, więc wrócą teraz one do domu."
display_event.defence_alliance.leave.battle_finished,Posiłki udzieliły ci wsparcia i teraz wrócą do domu.
display_event.defence_alliance.leave.defence_alliance_broken,"Twój sojusz z frakcją {faction_name} został zakończony, więc posiłki zostaną odesłane do domu."
display_event.defence_alliance.leave.no_one_is_attacking_player,"Zagrożenie minęło, więc posiłki wrócą do domu."
display_event.defence_alliance.leave.other_reason,Posiłki wrócą do domu wcześniej.
display_event.got_title,{name} otrzymuje tytuł lordowski.
display_event.kid_need_title,{name} wkrótce będzie wymagać dostępnego tytułu lordowskiego.
display_event.storage_robbery_gold,Złodzieje ukradli {number} szt. złota!
display_event.squad_go_to_take_equipment,Wojownicy pobierają broń ze składu. Zaczekaj chwilę…
display_event.no_servants_in_hall,W siedzibie nie ma żadnej służby!
display_event.squad_take_all_equipment,Wojownicy są uzbrojeni i gotowi do walki!
display_event.horde_apeears,Przybycie Hordy Przeklętych
display_event.horde_gossip,Plotki: Nowa sekta heretyków w odległych krainach
display_event.new_fraction,Narodziny nowego rodu szlacheckiego: {faction_name}
display_event.fraction_death,Upadek rodu szlacheckiego: {faction_name}
display_event.horde_murder_faction,Hord Przeklętych zgładziła kolejny ród szlachecki.
display_event.horde_crisis_finish,Horda Przeklętych opuściła ziemie Norlandu.
display_event.forecast,Uzyskano prognozę cen ({resource}).
display_event.village_tribute,{village_name}: Opłata daniny
display_event.bandits_at_the_gate,W pobliżu znajduje się wrogi oddział!
display_event.army_at_the_gate,W pobliżu znajduje się wrogi oddział!
display_event.enemy_attack_city,Wróg rozpoczyna natarcie!
display_event.free_lord_expired,Umowa lorda wygasła.
display_event.free_lord_low_loyalty,Wolny lord stracił lojalność.
display_event.terror_lords,Terror pośród lordów!
display_event.terror_peasants,Terror pośród chłopów!
display_event.bandits_prepare_to_attack,Bandyci szykują się do ataku na twoje miasto.
display_event.caravan_arrive,Przybyła Święta Karawana.
display_event.free_lord_arrive,Wolny lord czeka na zatrudnienie.
display_event.character_bleeding,Postać krwawi.
display_event.fire,Wybuchł pożar.
display_event.slaves_hungry,"Sprawdź w menu Gospodarka, czy jeńcy otrzymują dość jedzenia."
display_event.dummy_little_beer,"Sprawdź w menu Gospodarka, czy postacie otrzymują dość alkoholu."
display_event.dummy_little_food,"Sprawdź w menu Gospodarka, czy jeńcy otrzymują dość jedzenia."
display_event.dummy_many_homeless,Zbuduj więcej mieszkań.
display_event.high_fanaticism_level,Wygłoszenie w świątyni kazania zwątpienia może zredukować fanatyzm.
display_event.low_dummy_happiness,"Sprawdzaj, jakie są najczęstsze nieszczęśliwe myśli."
display_event.not_enough_barracks,Zbuduj więcej koszar.
display_event.not_enough_equipment,Kup wyposażenie w karawanie lub wytwórz je samodzielnie.
display_event.not_enough_taverns,Zbuduj więcej karczm.
display_event.not_enough_temples,Zbuduj więcej świątyń.
display_event.too_much_unemploe,"Aby zmniejszyć bezrobocie, pogorsz nastroje, co zredukuje liczbę imigrantów."
display_event.high_prices,Chłopi kupują towary u Świętej Karawany.
display_event.hired_soldiers_arrive,Przybyli najemni wojownicy.
display_event.migrants_arrive,Przybyli imigranci ({number}).
display_event.knowledge_interaction,{name} studiuje księgę ({knowledge}): {progress}%.
display_event.book_writing,{name} pisze księgę ({knowledge}): {progress}%.
display_event.not_enough_knowledge_paper,"{name} ma za mało papieru, żeby napisać księgę."
