Key,PortugueseBrazilian
main_menu.new_game.family.members.three_sisters,Três irmãs
main_menu.new_game.family.members.father_three_doughters,Pai e filhas
main_menu.new_game.family_settings,Configurações da família
main_menu.ng_world_should_generate,Gerar mundo
main_menu.ng_select_map,Selecionar mapa
main_menu.ng_save_name,Inserir nome do arquivo salvo
main_menu.save_load.delete,Apagar
main_menu.save_load.deleted,APAGADO
main_menu.save_load.save_as.desc2,Deixe em branco para salvar com o nome do arquivo de mapa atual
main_menu.save_load.save_as.desc,Novo nome de arquivo de salvamento
main_menu.save_load.save_as,Novo salvamento
main_menu.save_load.rewrite,Sobrescrever
main_menu.save_load.save,Salvar
main_menu.save_load.load,Carregar
main_menu.save_load.autosave_morning,Manhã
main_menu.save_load.autosave_evening,Noite
main_menu.mods,Mods
main_menu.credits,Créditos
main_menu.discord,Discord
main_menu.leave_feedback,Feedback
main_menu.feedback.send,Fornecer
main_menu.exit,Sair
main_menu.settings,Configurações
main_menu.load_game,Carregar jogo
main_menu.start_tutorial,Tutorial
main_menu.start_new_game,Novo jogo
main_menu.continue_last_game,Continuar
main_menu.save_and_exit,Salvar e sair
main_menu.start,Iniciar
main_menu.back,Voltar
menu.problems,Problemas
adv_tutorial.obj_build_sawmill_place_text,Construa a serraria aqui
adv_tutorial.obj_build_field_place_text,Coloque o campo de couve-nabo aqui
adv_tutorial.obj_build_taverna_place_text,Construa a taverna aqui
adv_tutorial.obj_build_generic_place_text,Coloque aqui
notification.tutorial.ambush,Os bandidos estão atacando!
loading_screen,Carregando... Aguarde.
loading_screen.ingame.misc_loading,Carregando dados
loading_screen.ingame.gui_init,Criando interface gráfica
loading_screen.ingame.save_game_load,Carregando jogo salvo
loading_screen.ingame.new_game_load,Inicializando um novo jogo
loading_screen.ingame.gui_system,Inicializando sistema de interface gráfica
loading_screen.ingame.map_cells,Criando células de mapa
loading_screen.ingame.trade_manager,Inicializando gerenciador de comércio
loading_screen.ingame.local_map_controller,Carregando controle do mapa local
loading_screen.ingame.province_controller,Carregando dados da província
loading_screen.ingame.global_map,Carregando mapa externo
loading_screen.ingame.battle_injuty_lottery,Carregando chances de lesões em combate
loading_screen.ingame.game_system_init,Inicializando sistemas do jogo
loading_screen.ingame_unloading,Descarregando recursos do jogo
loading_screen.caching_textures,Armazenando texturas
loading_screen.game_vars,Carregando variáveis do jogo
loading_screen.audio,Iniciando sistema de áudio
loading_screen.animations,Carregando as animações
loading_screen.building_assets,Carregando recursos de construção
loading_screen.actor_assets,Carregando recursos de personagens
loading_screen.traits,Carregando características
loading_screen.minds,Carregando pensamentos
loading_screen.tantrums,Carregando birras
loading_screen.activity,Carregando atividades
loading_screen.game_data,Carregando dados do jogo
loading_screen.building_constructions,Carregando construções
loading_screen.banners,Carregando estandartes
loading_screen.gui,Carregando interface
loading_screen.hints,Carregando dicas
loading_screen.rich_string,Carregando texto rico
loading_screen.knowledge_localization,Carregando localização de conhecimento
loading_screen.saves_and_maps,Carregando listas de mundo e salvamentos
loading_screen.done,Carregamento completo.
encyclopedia.help,AJUDA
encyclopedia.category.battle,Combate
encyclopedia.category.economics,Economia
encyclopedia.category.characters,Personagens
encyclopedia.category.mechanics,Mecânicas
encyclopedia.category.hints,Dicas
encyclopedia.category.global_map,Mapa
encyclopedia.search,Procurar...
action_task.skill_training_caption,Ensinando {skill_name}
actor.relations.filter.location,Próximo
actor.relations.filter.kings,Reis
actor.relations.filter.friends,Amigos
actor.relations.filter.enemies,Inimigos
actor.relations.filter.can_seduce,Pode ser seduzido
action_task.category.king,Rei
action_task.category.social,Social
action_task.category.bishop,Bispo
action_task.sub_category.social,Comunicação
action_task.sub_category.intrigue,Intriga
actor.action_task.begging,Implorar por perdão
actor.action_task.nominate_enemy,Declarar inimizade
actor.action_task_hunt,Caçar lobos-sangrentos
actor.action_task_sick_visit,Visitar os doentes
actor.action_task.marriage,Casar-se
actor.action_task.bribe,Subornar
actor.action_task.punish,Punir
actor.action_task.reward,Recompensar
actor.action_task.rumors,Espalhar rumores
actor.action_task.spent_time,Passar tempo juntos
actor.action_task.invite,Convidar
actor.action_task.teach,Educar
actor.action_task.threat,Ameaçar
actor.action_task.trade,Comerciar
actor.action_task.make_free,Libertar
actor.action_task.seduction,Seduzir
actor.action_task.donate,Presentear o rei
actor.action_task.kill,Matar
actor.action_task.poison,Envenenar
actor.action_task.play_dice,Jogar dados
actor.action_task.depart,Exílio
actor.action_task.duel_call,Desafiar para um duelo
actor.action_task.duel_provocation,Provocar para duelo
actor.action_task.free_lord_hire,Contratar um nobre
actor.action_task.send_guest,Enviar um convidado
actor.action_task.king_tribute,Fazer oferenda
actor.action_task.confession,Confessar
actor.action_task.kidnap,Capturar
actor.action_task.free_captive,Soltar
actor.action_task.forced_sex,Forçar sexo
actor.action_task.appoint_an_heir,Declarar alguém como herdeiro
actor.action_task.go_home,Enviar para casa
actor.action_task.sex_with_dummy,Proposta
actor.action_task.new_heir,Nomear como herdeiro
actor.action_task.canonization,Benzer
actor.action_task.divorce,Divorciar-se
actor.action_task.consolation,Consolar
actor.action_task.give_title_to_hired_free_lord,Conceder um título
actor.action_task.give_title_to_soldier,Conceder um título
actor.action_task.take_title,Revogar título de nobreza
actor.action_task.join_captive,Soltar e aceitar
actor.action_task.new_king,Passar a coroa
actor.appoint_in_town,Em {town_name}
actor.appoint_in_this_town,Nesta cidade
actor.appoint.our_lords,Nossos nobres
actor.appoint.other_lords,Outros nobres
actor.action.training,TREINAMENTO
actor.action.conversation,NEGOCIAÇÕES
actor.action.army.on_local_map,No mapa local
actor.action.army.on_global_map,No mapa global
actor.action.army,EXÉRCITO
actor.action.executor,PERSONAGEM
actor.action.executor_replace,SUBSTITUIR
actor.action.teacher,PROFESSOR
actor.action.chancellery_any,Qualquer chancelaria
actor.action.punishment,PUNIÇÃO
actor.action.teach,APRENDER
actor.action.person,QUEM?
actor.action.different_actions,AÇÃO
actor.action.trade,COMÉRCIO
actor.action_task.invite_guest,Convidar para sua província
actor.status.on_global_map,No mapa global
actor.status.on_global_map_lost,Desaparecido
actor.status.in_army,Em um esquadrão do mapa global
actor.status.in_travel,Viajando
actor.status.in_object,Em {object_name}
actor.adjective.addicted_to_drink,Propensão à bebedeira
actor.adjective.ambitious,Ambiguidade
actor.adjective.angry,Vingança
actor.adjective.arrogant,Arrogância
actor.adjective.ascetic,Asceticismo
actor.adjective.bloodthirsty,Sede por sangue
actor.adjective.contemptuous,Desdém
actor.adjective.contradictory,Contradições
actor.adjective.emotional,Emocional
actor.adjective.envious,Invejoso
actor.adjective.friendly,Amigável
actor.adjective.frivolous,Frivolidade
actor.adjective.greedy,Ganancioso
actor.adjective.indifferent,Indiferença
actor.adjective.intemperate,Impulsividade
actor.adjective.jealous,Ciúmes
actor.adjective.mean,Rancor
actor.adjective.melancholy,Melancolia
actor.adjective.sarcastic,Sarcasmo
actor.adjective.subtle,Refinamento
actor.adjective.trusting,Crédulo
actor.adjective.weakpowered,Fraqueza
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Um ataque não provocado a um membro do campesinato causará <hint=hint_terror_peasants>Terror</hint></red>
actor.appoint.nominate_enemy.lord,<red>Ataques não provocados a um membro da nobreza causarão <hint=hint_terror_lord>Terror</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Atacar um convidado, a despeito do que ele tenha feito, será considerado uma violação da lei sagrada de hospitalidade.</red>
 
 $ Relação entre {soul_uuid_performer_king} e {soul_uuid_target}: <red>{relations_modify_target}
 
 </b>DICA</b>: Um <hint=hint_duel>Duelo</hint> é a melhor maneira de solucionar conflitos."
actor.appoint.nominate_enemy.bishop,"<red>Um ataque a qualquer membro da Família Amorosa, independentemente da motivação, será considerado uma razão para que a <hint=hint_inquisitors>Inquisição</hint></red> puna a sua cidade"
actor.age,{age} anos de idade
actor.age_short,{age} anos
actor.class.unarmed,Sem armas
actor.class.l_archer,Arqueiro leve
actor.class.axeman,Luta com machado
actor.class.guard,Guarda
actor.class.h_axeman,Usuário de machado pesado
actor.class.faceless_axeman,Lutador da Horda Profana
actor.class.h_hammerhead,Usuário de maça pesado
actor.class.h_spearman,Usuário de lança pesado
actor.class.h_swordman,Espadachim pesado
actor.class.hammerhead,Usuário de maça
actor.class.l_spearman,Usuário de lança leve
actor.class.outcast,Pária
actor.class.spearman,Usuário de lança
actor.class.swordman,Espadachim
actor.class.light_archer,Arqueiro nv. 3-5 sem armadura
actor.class.light_hammerhead,Usuário de maça de nv. 3-5 sem armadura
actor.class.light_spearman,Usuário de lança nv. 3-5 sem armadura
actor.class.light_axeman,Usuário de machado nv. 3-5 com escudo e sem armadura
actor.class.middle_archer,Arqueiro nv. 8-11 com armadura leve
actor.class.middle_hammerhead,Usuário de maça nv. 8-11 com armadura leve e escudo
actor.class.middle_spearman,Usuário de lança nv. 8-11 com armadura leve e escudo
actor.class.heavy_axeman,Usuário de machado nv. 13-17 com armadura pesada e escudo
actor.class.heavy_swordman,Espadachim nv. 13-17 com armadura pesada e escudo
actor.class.lord,Espadachim nobre com armadura pesada e escudo
actor.dignity.king,Governante
actor.events,EVENTOS
actor.events_date,DATA
actor.knowledge,CONHECIMENTO
actor.hint.battle_skill,Nível de habilidade de combate
actor.hint.crimes.caption,Crimes
actor.hint.injury.caption,Lesões
actor.hint.injury.pain_level,Nível de dor: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Limite de dor:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Ainda há risco de infecção
actor.hint.sin.caption,Pecados
actor.hint.sin.piety_impact,Influência sobre o humor: {piety_impact}
actor.impact_on_person,AÇÃO
actor.inventory,INVENTÁRIO
actor.log.today,Hoje
actor.log.days_before,Dias passados: {day}
actor.log.yesterday,Ontem
actor.loyalty,Lealdade {loyalty}%
menu.battle_result.win,Vitória!
menu.battle_result.lose,Derrota
menu.battle_result.deployed,Desdobrado
menu.battle_result.died,Sem vida
menu.battle_result.escaped,Desertores
menu.battle_result.captured,Capturado
actor.menu.appoint.hunt,Caçando
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,PENSAMENTOS
actor.moral,HUMOR
actor.motive.energy,Sono
actor.motive.food,Fome
actor.motive.rest,Descanso
actor.motive.religion,Piedade
actor.motive.sex,Sexo
actor.motive.care,Cuidados
actor.noun.adventurer,Aventureiro
actor.noun.depraved,Devasso
actor.noun.fatalist,Fatalista
actor.noun.flatterer,Lisonjeador
actor.noun.genius,Gênio
actor.noun.introvert,Introvertido
actor.noun.moron,Simplório
actor.noun.mystic,Místico
actor.noun.narcissist,Narcisista
actor.noun.rude,Malfeitor
actor.noun.shameless,Depravado
actor.noun.skeptic,Cético
actor.noun.workaholic,Viciado em trabalho
actor.opinion.choose_factions.province_hint,No mapa local
actor.opinion.interest,Interesse:
actor.opinion.interest.high,Alto
actor.opinion.interest.low,Baixo
actor.opinion.interest.middle,Médio
actor.opinion.no_minds,Sem pensamentos
actor.opinion.opinion_of,Opinião de {name}:
actor.opinion.opinion_of_me,A opinião de {name} sobre mim:
actor.opinion.opinion_of_third_person,A opinião de {name_2} sobre {name}:
actor.opinion.special.deadly_enemy,Inimigo mortal
actor.opinion.special.enemy,Inimigo
actor.opinion.special.friend,Amigo
actor.opinion.special.like,Boa relação
actor.opinion.special.love,Interesse romântico
actor.part_of_nature,CARACTERÍSTICAS
actor.punish.execute,Executar
actor.punish.expel,Exílio
actor.punish.imprison,Manter como refém
actor.desire,DESEJO
actor.skill.command,Comandar
actor.skill.education,Ensinar
actor.skill.fight,Combate
actor.skill.knowledge,Inteligência
actor.skill.management,Administração
actor.skill.manners,Boas maneiras
actor.skill.negotiation,Comerciar
actor.skill.oratory,Persuasão
actor.skill.points_remain,{number} pontos de EXP necessários para passar ao próximo nível
actor.skills,HABILIDADES
actor.skills_training,TREINAMENTO
actor.skills.level,{level}
actor.skill_category.rhetoric,Retórica
actor.skill_category.economic,Economia
actor.skill_category.philosophy,Filosofia
actor.skill_category.warcraft,Guerra
actor.stata.bandit,Bandido
actor.stata.thug,Facínora
actor.states,ESTADOS
actor.strata.animal,Animal
actor.strata.slave,Prisioneiro
actor.traits,ESTADO
building.hostel,Dormitório
building.library,Biblioteca
building.armorsmith,Armoraria
building.barracks,Caserna
building.brewery,Cervejaria
building.caption_with_level,{building_name} de nível {level}
building.castle,Salão
building.chancellery,Chancelaria
building.church,Templo
building.altar,Altar
building.coal_burner,Fornalha
building.coal_furnace,Fornalha
building.coal_mine,Mina de carvão
building.description.burned,Este edifício foi destruído pelo fogo. Ele só pode ser demolido.
building.farm,Fazenda
building.forge,Forja de armas
building.hall_storage,Depósito do salão
building.herbalist,Herbolário
building.house,Casa de camponês
building.menu.appoint.church,SERMÃO
building.menu.appoint.training,TREINAMENTO
building.menu.appoint.gallows,PUNIÇÃO
building.menu.appoint.chancellery,CHANCELER
building.menu.appoint.culture,CULTURA
building.menu.appoint.appoint_culture,indicar
building.menu.castle.builders,CONSTRUTORES
building.menu.castle.servants,SERVOS
building.menu.gallows.terror,Terror
building.menu.gallows.executers,CARRASCOS
building.menu.in_stock,NO DEPÓSITO
building.menu.required_resources,NECESSÁRIO
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,MORADORES
building.menu.service.attendance,Comparecimento
building.menu.service.inspection,POLÍTICA
building.menu.service.revenue,Receita
building.menu.combat_training.number_of_places,TREINAMENTO SIMULTÂNEO
building.menu.sold,VENDIDO
building.menu.trader,COMERCIANTE
building.menu.special_button.auto_repair,Conserto automático
building.menu.special_button.abort,Abortar
building.menu.special_button.destroy,Demolir
building.menu.special_button.relocate,Mover
building.menu.special_button.repair,Consertar
building.menu.special_button.upgrade,Melhorar
building.menu.special_button.upgrade_workplace,+1 vaga de trabalho
building.menu.status.breakdown,Desgaste
building.menu.status.need_charge,Fazenda esgotada.
building.menu.status.burned_full,Edifício destruído pelo fogo.
building.menu.status.burned_partially,Parcialmente queimado.
building.menu.status.burning,Fogo no edifício!
building.menu.status.church,Fanáticos religiosos na cidade: {fanatics_percent}%
building.menu.status.construction,Construção em andamento.
building.menu.status.construction_template,{status} ({progress}%) concluído
building.menu.status.demolition,Desmontagem em andamento.
building.menu.status.extinguishing,Combate a incêndios em andamento.
building.menu.status.harvest.after_tomorrow,A colheita será depois de amanhã.
building.menu.status.harvest.n_days,A colheita será feita em {days} dias.
building.menu.status.harvest.today,A colheita será feita hoje.
building.menu.status.harvest.tomorrow,A colheita será feita amanhã.
building.menu.status.no_tasks,Criar um pedido no menu de produção
building.menu.status.fertilize,Fertilidade: {number}%
building.menu.status.produce,Em produção: {resource} ({progress}%)
building.menu.status.raw_not_enough,Não há recursos suficientes para a produção.
building.menu.status.relocate,Reposicionamento em andamento.
building.menu.status.repair,Conserto em andamento.
building.menu.status.upgrade,Melhoria em andamento.
building.menu.status.work_time,Horário de trabalho: das {work_hour_begin} às {work_hour_end}
building.menu.status.works_fine,Trabalhando normalmente
building.menu.status.pig_farm_need_to_charge,É necessário abastecer com couve-nabo.
building.menu.status.need_inspector,Precisa de um administrador designado
building.menu.status.need_inspection,Instruções não recebidas
building.menu.status.need_paper_charge,É necessário abastecer com papel.
building.menu.tavern.allow_nectar,Permitir néctar
building.menu.temple.donation,Doações
building.menu.temple.priest,SACERDOTE
building.menu.workplace.appoint_inspector,Atribuir
building.menu.workplace.inspection,ADMINISTRAÇÃO
building.menu.workplace.priority,Prioridade
building.menu.workplace.produced_today,PRODUÇÃO DE HOJE
building.menu.workplace.bonus_slave,Bônus de prisioneiros: {bonus_slave}
building.menu.workplace.bonus_addicted,Bônus de viciados: {bonus_addicted}
building.menu.workplace.bonus_culture,Bônus de especialização {culture}: {bonus_culture}
building.menu.workplace.statistics,ESTATÍSTICAS
building.menu.workplace.workers,TRABALHADORES
building.menu.workplace.workers.free,Camponeses
building.menu.workplace.workers.slaves,Prisioneiros
building.menu.workplace.addicted,Viciados
building.menu.patrollers,Estandarte da patrulha
building.menu.radius,Raio da patrulha
building.menu.combat_max,Nível máximo de combate
building.menu.max_pain,NÍVEL MÁXIMO DE DOR
menu.patrol_sign.description,Local de patrulha para guerreiros
building.mine,Mina
building.noble_house,Casa de nobre
building.paper_factory,Oficina de papel
building.slaves_barrack,Cela de prisão
building.temple.preach.doubt,Sermão de dúvida
building.temple.preach.faith,Sermão de fé
building.farm.pig_farm_charge_abort,Cancelar abastecimento
building.farm.pig_farm_charge,Abastecer com couve-nabo
building.gallows.crimes,Crimes
building.gallows.punishments,Punições
building.gallows.change,Mudança
building.training_field,Campo de treinamento
building.woodcutter,Serraria
building.workshop,Oficina
building.gallows,Patíbulo
building.market,Mercado
building.storage,Depósito
building.tavern,Taverna
building.drug_deg,Antro
building.rye_farm,Campo de centeio
building.hop_farm,Campo de lúpulo
building.swede_farm,Campo de couve-nabo
building.pig_farm,Fazenda de porcos
building.mill,Moinho
building.alchimestry,Laboratório alquímico
building.melting_furnace,Fundição
building.patrol_sign,Patrulha noturna
display_event.actor_complete_action_task_on_gm,{name} completou a tarefa: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} não completou a tarefa.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} chegou em {town_name}.
display_event.actors_married,{name_1} e {name_2} contraíram noivado.
display_event.new_genius_king,Rumor: Conquistadores
display_event.defence_alliance.squad_arrived,Os reforços enviados por {faction_name} chegaram!
display_event.defence_alliance.squad_created,Os reforços foram organizados e colocados sob seu comando!
display_event.defence_alliance.leave.time_expired,A estadia dos reforços acabou. Eles voltarão para casa.
display_event.defence_alliance.leave.battle_finished,"Depois de ajudar você, os reforços estão voltando para casa."
display_event.defence_alliance.leave.defence_alliance_broken,"A sua aliança com {faction_name} foi desfeita. Portanto, os reforços estão voltando para casa mais cedo."
display_event.defence_alliance.leave.no_one_is_attacking_player,"Você não está mais sob ameaça. Portanto, os reforços estão voltando para casa."
display_event.defence_alliance.leave.other_reason,Os reforços estão voltando para casa cedo.
display_event.got_title,{name} recebeu um título de nobreza.
display_event.kid_need_title,{name} exigirá um título de nobreza em breve.
display_event.storage_robbery_gold,Ladrões roubaram {number} em ouro!
display_event.squad_go_to_take_equipment,Os guerreiros foram buscar as armas no depósito. Aguarde um momento...
display_event.no_servants_in_hall,Não há servos no salão!
display_event.squad_take_all_equipment,Os guerreiros estão armados e prontos!
display_event.horde_apeears,Aparecimento da Horda Profana
display_event.horde_gossip,Rumor: um novo culto herege em terras distantes
display_event.new_fraction,Fundação de uma nova casa nobre: {faction_name}
display_event.fraction_death,Queda de uma casa nobre: {faction_name}
display_event.horde_murder_faction,A Horda Profana destruiu mais uma casa nobre.
display_event.horde_crisis_finish,A Horda Profana deixou as terras da Norlândia.
display_event.forecast,Previsão de preço obtida. {resource}
display_event.village_tribute,{village_name}: Pagando tributo
display_event.bandits_at_the_gate,Esquadrão hostil próximo!
display_event.army_at_the_gate,Esquadrão hostil próximo!
display_event.enemy_attack_city,O inimigo está atacando!
display_event.free_lord_expired,O contrato do nobre expirou.
display_event.free_lord_low_loyalty,O nobre livre perdeu lealdade.
display_event.terror_lords,Terror entre nobres!
display_event.terror_peasants,Terror entre camponeses!
display_event.bandits_prepare_to_attack,Bandidos preparam um ataque à sua cidade.
display_event.caravan_arrive,A Caravana Sagrada chegou na cidade.
display_event.free_lord_arrive,Um nobre livre espera ser contratado.
display_event.character_bleeding,Um personagem está sangrando.
display_event.fire,Um incêndio se iniciou.
display_event.slaves_hungry,Entre no menu de economia para verificar se os prisioneiros estão recebendo comida suficiente.
display_event.dummy_little_beer,Entre no menu de economia para verificar se os personagem estão recebendo bebida suficiente.
display_event.dummy_little_food,Entre no menu de economia para verificar se os prisioneiros estão recebendo comida suficiente.
display_event.dummy_many_homeless,Construa mais casas.
display_event.high_fanaticism_level,"No Templo, o sermão de dúvida pode reduzir o fanatismo."
display_event.low_dummy_happiness,Preste atenção aos pensamentos infelizes mais frequentes.
display_event.not_enough_barracks,Construa mais casernas.
display_event.not_enough_equipment,Compre mais equipamentos da Caravana ou produza-os.
display_event.not_enough_taverns,Construa mais tavernas.
display_event.not_enough_temples,Construa mais templos.
display_event.too_much_unemploe,"Para reduzir o desemprego, diminua a média de humor e, portanto, a migração."
display_event.high_prices,Os camponeses compram produtos da Caravana Sagrada.
display_event.hired_soldiers_arrive,Os guerreiros contratados chegaram.
display_event.migrants_arrive,{number} migrantes chegaram.
display_event.knowledge_interaction,{name} está estudando {knowledge}: {progress}%
display_event.book_writing,{name} está escrevendo um livro de {knowledge}: {progress}%
display_event.not_enough_knowledge_paper,Não há papel o suficiente para escrever um livro: {name}
display_event.knowledge_too_hard_again,{name} não pode mais aprender: {knowledge}
display_event.not_enough_resources,Recursos insuficientes.
display_event.building_breakdown,O edifício está danificado.
display_event.farm_depleted,O solo da fazenda se esgotou.
display_event.farm_soon_depleted,O solo da fazenda logo se esgotará.
display_event.not_enough_workers,Não há trabalhadores o suficiente.
display_event.wheat_destroyed,Plantações pereceram devido à seca.
display_event.building_needs_direct_contol,O edifício precisa de administração direta para operar.
display_event.building_without_inspector,O edifício precisa de alguém para administrá-lo.
display_event.order_complete,{value} {resource}: Pedido concluído!
display_event.building_without_instruction,Os trabalhadores não foram instruídos hoje.
display_event.resources_stolen,Recursos roubados! {value} {resource}
display_event.thugs_appear,Facínoras apareceram na cidade.
display_event.wolf_attack,Ataque de lobos-sangrentos!
display_event.no_meds,O unguento medicinal está pronto!
display_event.quest_result,Resultado: {quest_name}
display_event.battle_result,Resultado da batalha
display_event.battle_start,Nova batalha!
display_event.new_quest,{name}
display_event.new_book,Uma cópia nova de um livro é criada: {knowledge}
display_event.new_knowledge,Conhecimento aprendido: {knowledge}
display_event.slave_escape,Alguém está tentando escapar da prisão.
display_event.unhappy_lord,O seu nobre está infeliz.
display_event.actor_dont_work,"Devido a mau humor, {name} se recusa a concluir as tarefas."
display_event.reg_riot_soon,Os fanáticos demandam sangue: {target_name}!
