Key,SimplifiedChinese
main_menu.new_game.province.difficulty.peaceful,和平模式
main_menu.new_game.province.difficulty.normal,普通
main_menu.new_game.hardcore_start,硬核模式
main_menu.new_game.province.difficulty.ironman,钢铁意志
main_menu.new_game.province.neighbours.caution.careful,谨慎
main_menu.new_game.province.neighbours.caution.risky,冒险
main_menu.new_game.province.neighbours.caution.balanced,平衡
main_menu.new_game.province.neighbours.pacifism.default,普通
main_menu.new_game.province.neighbours.pacifism.peaceful,和平
main_menu.new_game.province.neighbours.city_size,起始城市规模
main_menu.new_game.province.neighbours.army_power,军事实力
main_menu.new_game.province.neighbours.enemy,不喜欢
main_menu.new_game.province.neighbours.friend,同情
main_menu.new_game.province.neighbours.neutral,中立
main_menu.new_game.province.kingdom.culture.gwelts,凯登
main_menu.new_game.province.kingdom.culture.tanaya,塔纳亚
main_menu.new_game.province.kingdom.culture.makha,马哈
main_menu.new_game.province.kingdom.culture.voruns,瓦恩
main_menu.new_game.province.neighbours.abandoned_town,废弃城镇
main_menu.new_game.province.neighbours.empty,选择邻邦
main_menu.new_game.family.banner.sign_color,标志颜色
main_menu.new_game.family.banner.pattern,图案
main_menu.new_game.family.banner.sign,标志
main_menu.new_game.family.look.body,身体
main_menu.new_game.family.look.skin_color,皮肤颜色
main_menu.new_game.family.look.hair_color,头发颜色
main_menu.new_game.family.look.beard,胡子
main_menu.new_game.family.look.haircut,发型
main_menu.new_game.family.look.head,头部
main_menu.new_game.family.look.sex,性别
main_menu.new_game.family.look.random,随机外观
main_menu.new_game.family.character_traits,角色特质
main_menu.new_game.family.skills,技能
main_menu.new_game.family.overall_skills,综合技能
main_menu.new_game.soft_onboarding,以简单难度开始
main_menu.new_game.family.members,家庭成员
main_menu.new_game.family.members.husband_wife_child,丈夫、妻子、孩子
main_menu.new_game.family.members.two_sis_and_son,两个姐妹和一个儿子
main_menu.new_game.family.members.two_bro,两个兄弟
main_menu.new_game.family.members.three_sisters,三个姐妹
main_menu.new_game.family.members.father_three_doughters,父亲和女儿
main_menu.new_game.family_settings,家庭设置
main_menu.ng_world_should_generate,生成世界
main_menu.ng_select_map,选择地图
main_menu.ng_save_name,输入存档名
main_menu.save_load.delete,删除
main_menu.save_load.deleted,已删除
main_menu.save_load.save_as.desc2,留空以使用当前地图文件名保存
main_menu.save_load.save_as.desc,新的存档名
main_menu.save_load.save_as,新存档
main_menu.save_load.rewrite,覆盖
main_menu.save_load.save,保存
main_menu.save_load.load,加载
main_menu.save_load.autosave_morning,上午
main_menu.save_load.autosave_evening,晚间
main_menu.mods,模组
main_menu.credits,制作人员
main_menu.discord,Discord
main_menu.leave_feedback,反馈
main_menu.feedback.send,发送
main_menu.exit,退出
main_menu.settings,设置
main_menu.load_game,加载游戏
main_menu.start_tutorial,教程
main_menu.start_new_game,新游戏
main_menu.continue_last_game,继续
main_menu.save_and_exit,保存并退出
main_menu.start,开始
main_menu.back,返回
menu.problems,问题
adv_tutorial.obj_build_sawmill_place_text,在此处建造伐木场
adv_tutorial.obj_build_field_place_text,在此处放置芜菁田
adv_tutorial.obj_build_taverna_place_text,在此处建造酒馆
adv_tutorial.obj_build_generic_place_text,放置在此处
notification.tutorial.ambush,强盗正在发动攻击！
loading_screen,加载中……请稍候。
loading_screen.ingame.misc_loading,正在加载数据
loading_screen.ingame.gui_init,正在创建界面
loading_screen.ingame.save_game_load,正在加载游戏存档
loading_screen.ingame.new_game_load,初始化新游戏
loading_screen.ingame.gui_system,初始化界面系统
loading_screen.ingame.map_cells,创建地图单元格
loading_screen.ingame.trade_manager,贸易管理初始化中
loading_screen.ingame.local_map_controller,本地地图控制器加载中
loading_screen.ingame.province_controller,省邦数据加载中
loading_screen.ingame.global_map,外部地图加载中
loading_screen.ingame.battle_injuty_lottery,战斗受伤几率加载中
loading_screen.ingame.game_system_init,游戏内系统初始化中
loading_screen.ingame_unloading,游戏内资源卸载中
loading_screen.caching_textures,正在缓存纹理
loading_screen.game_vars,obsolete
loading_screen.audio,音频系统启动中
loading_screen.animations,动画加载中
loading_screen.building_assets,建筑资产加载中
loading_screen.actor_assets,执行者资产加载中
loading_screen.traits,特质加载中
loading_screen.minds,思维加载中
loading_screen.tantrums,发脾气加载中
loading_screen.activity,活动加载中
loading_screen.game_data,游戏内数据加载中
loading_screen.building_constructions,建筑施工加载中
loading_screen.banners,旗帜加载中
loading_screen.gui,界面加载中
loading_screen.hints,提示加载中
loading_screen.rich_string,obsolete
loading_screen.knowledge_localization,obsolete
loading_screen.saves_and_maps,世界和存档列表加载中
loading_screen.done,加载完成。
encyclopedia.help,帮助
encyclopedia.category.battle,战斗
encyclopedia.category.economics,经济学
encyclopedia.category.characters,角色
encyclopedia.category.mechanics,机制
encyclopedia.category.hints,提示
encyclopedia.category.global_map,地图
encyclopedia.search,搜索……
action_task.skill_training_caption,{skill_name} 教导
actor.relations.filter.location,邻近
actor.relations.filter.kings,君王
actor.relations.filter.friends,朋友
actor.relations.filter.enemies,敌人
actor.relations.filter.can_seduce,可被诱惑
action_task.category.king,君王
action_task.category.social,社交
action_task.category.bishop,主教
action_task.sub_category.social,交流
action_task.sub_category.intrigue,挑拨
actor.action_task.begging,乞求原谅
actor.action_task.nominate_enemy,宣布敌对立场
actor.action_task_hunt,饿狼狩猎
actor.action_task_sick_visit,探望病人
actor.action_task.marriage,结婚
actor.action_task.bribe,贿赂
actor.action_task.punish,惩罚
actor.action_task.reward,奖赏
actor.action_task.rumors,散布谣言
actor.action_task.spent_time,共度时光
actor.action_task.invite,邀请
actor.action_task.teach,教育
actor.action_task.threat,威胁
actor.action_task.trade,贸易
actor.action_task.make_free,免费
actor.action_task.seduction,诱惑
actor.action_task.donate,进献给君王
actor.action_task.kill,杀死
actor.action_task.poison,毒害
actor.action_task.play_dice,玩骰子
actor.action_task.depart,流放
actor.action_task.duel_call,发起决斗
actor.action_task.duel_provocation,决斗挑衅
actor.action_task.free_lord_hire,雇佣领主
actor.action_task.send_guest,派出宾客
actor.action_task.king_tribute,贡品
actor.action_task.confession,忏悔
actor.action_task.kidnap,俘获
actor.action_task.free_captive,释放
actor.action_task.forced_sex,obsolete
actor.action_task.appoint_an_heir,宣布为继承人
actor.action_task.go_home,送回家
actor.action_task.sex_with_dummy,求欢
actor.action_task.new_heir,指定为继承人
actor.action_task.canonization,祝祷
actor.action_task.divorce,离婚
actor.action_task.consolation,安慰
actor.action_task.give_title_to_hired_free_lord,授予爵位
actor.action_task.give_title_to_soldier,授予爵位
actor.action_task.take_title,撤销领主爵位
actor.action_task.join_captive,释放并接受
actor.action_task.new_king,传授王位
actor.appoint_in_town,在{town_name}
actor.appoint_in_this_town,在这个城镇
actor.appoint.our_lords,我们的领主
actor.appoint.other_lords,其他领主
actor.action.training,训练
actor.action.conversation,谈判
actor.action.army.on_local_map,在本地地图上
actor.action.army.on_global_map,在世界地图上
actor.action.army,军队
actor.action.executor,执行者
actor.action.executor_replace,替换
actor.action.teacher,导师
actor.action.chancellery_any,任何官邸
actor.action.punishment,惩罚
actor.action.teach,学习
actor.action.person,谁？
actor.action.different_actions,行动
actor.action.trade,贸易
actor.action_task.invite_guest,邀请到你的省邦
actor.status.on_global_map,在世界地图上
actor.status.on_global_map_lost,缺失
actor.status.in_army,在世界地图上的部队中
actor.status.in_travel,移动中
actor.status.in_object,在{object_name}
actor.adjective.addicted_to_drink,容易酗酒
actor.adjective.ambitious,野心勃勃
actor.adjective.angry,复仇的
actor.adjective.arrogant,傲慢的
actor.adjective.ascetic,苦行僧
actor.adjective.bloodthirsty,嗜血的
actor.adjective.contemptuous,傲慢
actor.adjective.contradictory,矛盾的
actor.adjective.emotional,情绪化的
actor.adjective.envious,嫉妒
actor.adjective.friendly,友好
actor.adjective.frivolous,轻浮的
actor.adjective.greedy,贪婪
actor.adjective.indifferent,漠不关心的
actor.adjective.intemperate,冲动的
actor.adjective.jealous,嫉妒的
actor.adjective.mean,恶意的
actor.adjective.melancholy,忧郁的
actor.adjective.sarcastic,讥讽
actor.adjective.subtle,精致的
actor.adjective.trusting,轻信者
actor.adjective.weakpowered,削弱
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>无端攻击平民会导致<hint=hint_terror_peasants>恐慌</hint></red>
actor.appoint.nominate_enemy.lord,<red>无端攻击领主会引起<hint=hint_terror_lord>恐慌</hint></red>
actor.appoint.nominate_enemy.guest,"<red>无论宾客做了什么，攻击宾客都违反了神圣的待客之道。</red>
 
 ${soul_uuid_performer_king}和{soul_uuid_target}的关系：<red>{relations_modify_target}
 
 </b>提示</b>：最好采用<hint=hint_duel>决斗</hint>的方式解决冲突。"
actor.appoint.nominate_enemy.bishop,<red>无论神爱之家的成员做了什么，只要对他们发起攻击，将导致你的城市受到<hint=hint_inquisitors>审判庭</hint>惩罚。</red>
actor.age,{age} 岁
actor.age_short,{age} 岁
actor.class.unarmed,无武装
actor.class.l_archer,轻型弓兵
actor.class.axeman,斧兵
actor.class.guard,卫兵
actor.class.h_axeman,重型斧兵
actor.class.faceless_axeman,邪恶部族斗士
actor.class.h_hammerhead,重型链锤兵
actor.class.h_spearman,重型枪兵
actor.class.h_swordman,重型剑士
actor.class.hammerhead,链锤兵
actor.class.l_spearman,轻型枪兵
actor.class.outcast,流浪者
actor.class.spearman,枪兵
actor.class.swordman,剑士
actor.class.light_archer,3-5 级无甲弓兵
actor.class.light_hammerhead,3-5 级无甲链锤兵
actor.class.light_spearman,3-5 级无甲枪兵
actor.class.light_axeman,3-5 级无甲持盾斧兵
actor.class.middle_archer,8-11 级轻甲弓兵
actor.class.middle_hammerhead,8-11 级轻甲持盾链锤兵
actor.class.middle_spearman,8-11 级轻甲持盾枪兵
actor.class.heavy_axeman,13-17 级重甲持盾斧兵
actor.class.heavy_swordman,13-17 级重甲持盾剑士
actor.class.lord,重甲持盾领主剑士
actor.dignity.king,统治者
actor.events,事件
actor.events_date,日期
actor.knowledge,知识
actor.hint.battle_skill,战斗技能等级
actor.hint.crimes.caption,罪行
actor.hint.injury.caption,伤害
actor.hint.injury.pain_level,疼痛等级：{pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>疼痛阈值：</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - 仍存在感染风险
actor.hint.sin.caption,罪孽
actor.hint.sin.piety_impact,对心情的影响：{piety_impact}
actor.impact_on_person,行动
actor.inventory,物品栏
actor.log.today,今天
actor.log.days_before,{day}天前：
actor.log.yesterday,昨天
actor.loyalty,忠诚度 {loyalty}%
menu.battle_result.win,胜利！
menu.battle_result.lose,失败
menu.battle_result.deployed,已部署
menu.battle_result.died,死亡
menu.battle_result.escaped,逃跑
menu.battle_result.captured,被俘
actor.menu.appoint.hunt,狩猎
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,想法
actor.moral,心情
actor.motive.energy,睡眠
actor.motive.food,食物
actor.motive.rest,休息
actor.motive.religion,虔诚
actor.motive.sex,性欲
actor.motive.care,关心
actor.noun.adventurer,冒险家
actor.noun.depraved,放荡者
actor.noun.fatalist,宿命论者
actor.noun.flatterer,谄媚者
actor.noun.genius,天才
actor.noun.introvert,内向者
actor.noun.moron,傻瓜
actor.noun.mystic,神秘主义者
actor.noun.narcissist,自恋者
actor.noun.rude,恶棍
actor.noun.shameless,离经叛道者
actor.noun.skeptic,怀疑论者
actor.noun.workaholic,工作狂
actor.opinion.choose_factions.province_hint,在本地地图上
actor.opinion.interest,兴趣：
actor.opinion.interest.high,高
actor.opinion.interest.low,低
actor.opinion.interest.middle,中
actor.opinion.no_minds,无想法
actor.opinion.opinion_of,对{name}的看法：
actor.opinion.opinion_of_me,{name}对我的看法：
actor.opinion.opinion_of_third_person,{name_2}对{name}的看法：
actor.opinion.special.deadly_enemy,死敌
actor.opinion.special.enemy,敌人
actor.opinion.special.friend,朋友
actor.opinion.special.like,良好关系
actor.opinion.special.love,浪漫兴趣
actor.part_of_nature,性格特质
actor.punish.execute,处决
actor.punish.expel,流放
actor.punish.imprison,扣为人质
actor.desire,欲望
actor.skill.command,指挥
actor.skill.education,教导
actor.skill.fight,战斗
actor.skill.knowledge,智力
actor.skill.management,管理
actor.skill.manners,礼仪
actor.skill.negotiation,贸易
actor.skill.oratory,游说
actor.skill.points_remain,需要 {number} 经验值以升到下一级
actor.skills,技能
actor.skills_training,训练
actor.skills.level,{level}
actor.skill_category.rhetoric,修辞学
actor.skill_category.economic,经济
actor.skill_category.philosophy,哲学
actor.skill_category.warcraft,军事学
actor.stata.bandit,强盗
actor.stata.thug,刺客
actor.states,状态
actor.strata.animal,动物
actor.strata.slave,囚犯
actor.traits,状态
building.hostel,宿舍
building.library,图书馆
building.armorsmith,防具锻造厂
building.barracks,兵营
building.brewery,酿酒厂
building.caption_with_level,{level} 级{building_name}
building.castle,大厅
building.chancellery,官邸
building.church,圣堂
building.altar,祭坛
building.coal_burner,煤炉
building.coal_furnace,煤炉
building.coal_mine,煤矿
building.description.burned,该建筑已被烧毁，只能拆除。
building.farm,农场
building.forge,武器锻造厂
building.hall_storage,大厅仓库
building.herbalist,草药师
building.house,民宅
building.menu.appoint.church,布道
building.menu.appoint.training,训练
building.menu.appoint.gallows,惩罚
building.menu.appoint.chancellery,大臣
building.menu.appoint.culture,文化
building.menu.appoint.appoint_culture,指定
building.menu.castle.builders,建筑工人
building.menu.castle.servants,仆人
building.menu.gallows.terror,恐慌
building.menu.gallows.executers,刽子手
building.menu.in_stock,在仓库
building.menu.required_resources,需要
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,居民
building.menu.service.attendance,出席
building.menu.service.inspection,政治
building.menu.service.revenue,收入
building.menu.combat_training.number_of_places,同时训练
building.menu.sold,已售
building.menu.trader,商人
building.menu.special_button.auto_repair,自动修理
building.menu.special_button.abort,中止
building.menu.special_button.destroy,销毁
building.menu.special_button.relocate,移动
building.menu.special_button.repair,修理
building.menu.special_button.upgrade,升级
building.menu.special_button.upgrade_workplace,+1 工作地点
building.menu.status.breakdown,故障
building.menu.status.need_charge,田地资源耗尽。
building.menu.status.burned_full,已烧毁。
building.menu.status.burned_partially,部分烧毁。
building.menu.status.burning,建筑物着火了！
building.menu.status.church,城市中的宗教狂热信徒：{fanatics_percent}%
building.menu.status.construction,建设中。
building.menu.status.construction_template,{status} ({progress}%) 完成
building.menu.status.demolition,拆除中。
building.menu.status.extinguishing,灭火中。
building.menu.status.harvest.after_tomorrow,后天将收获庄稼。
building.menu.status.harvest.n_days,他们将在{days}天内收获庄稼。
building.menu.status.harvest.today,今天他们将会收获庄稼。
building.menu.status.harvest.tomorrow,明天他们将会收获庄稼。
building.menu.status.no_tasks,在生产菜单中创建订单。
building.menu.status.fertilize,肥力：{number}%
building.menu.status.produce,生产进度：{resource} ({progress}%)
building.menu.status.raw_not_enough,生产资源不足。
building.menu.status.relocate,搬迁中。
building.menu.status.repair,修理中。
building.menu.status.upgrade,升级中。
building.menu.status.work_time,工作时间从{work_hour_begin}到{work_hour_end}
building.menu.status.works_fine,正常工作
building.menu.status.pig_farm_need_to_charge,需要供应芜菁
building.menu.status.need_inspector,需要指定管理人
building.menu.status.need_inspection,未收到指令
building.menu.status.need_paper_charge,需要供应纸张
building.menu.tavern.allow_nectar,允许使用蜜酿
building.menu.temple.donation,捐献
building.menu.temple.priest,牧师
building.menu.workplace.appoint_inspector,分配
building.menu.workplace.inspection,管理
building.menu.workplace.priority,优先级
building.menu.workplace.produced_today,今日产出
building.menu.workplace.bonus_slave,囚犯的奖励：{bonus_slave}
building.menu.workplace.bonus_addicted,瘾君子的奖励：{bonus_addicted}
building.menu.workplace.bonus_culture,来自{culture}专长的奖励：{bonus_culture}
building.menu.workplace.statistics,统计
building.menu.workplace.workers,工人
building.menu.workplace.workers.free,平民
building.menu.workplace.workers.slaves,囚犯
building.menu.workplace.addicted,瘾君子
building.menu.patrollers,巡逻旗帜
building.menu.radius,巡逻范围
building.menu.combat_max,最大战斗等级
building.menu.max_pain,最大疼痛等级
menu.patrol_sign.description,战士巡逻地点
building.mine,矿井
building.noble_house,领主住宅
building.paper_factory,造纸坊
building.slaves_barrack,监狱牢房
building.temple.preach.doubt,疑窦之道
building.temple.preach.faith,信仰之道
building.farm.pig_farm_charge_abort,取消供应
building.farm.pig_farm_charge,供应芜菁
building.gallows.crimes,罪行
building.gallows.punishments,惩罚
building.gallows.change,变更
building.training_field,训练场
building.woodcutter,伐木场
building.workshop,工坊
building.gallows,行刑台
building.market,市场
building.storage,仓库
building.tavern,酒馆
building.drug_deg,蜜酿窝点
building.rye_farm,麦田
building.hop_farm,啤酒花田
building.swede_farm,芜菁田
building.pig_farm,养猪场
building.mill,磨坊
building.alchimestry,炼金实验室
building.melting_furnace,冶炼炉
building.patrol_sign,夜间巡逻队
display_event.actor_complete_action_task_on_gm,{name}完成了任务 - {task_name}。
display_event.actor_abort_action_task_on_gm,{name}未能完成任务。
display_event.actor_arrived_in_town_as_guest_on_gm,{name}到{town_name}了。
display_event.actors_married,{name_1}和{name_2}订婚了。
display_event.new_genius_king,传闻：征服者
display_event.defence_alliance.squad_arrived,{faction_name}的援军已抵达！
display_event.defence_alliance.squad_created,援军已经集结完毕，他们听命于你！
display_event.defence_alliance.leave.time_expired,援军驻守结束并将返回。
display_event.defence_alliance.leave.battle_finished,援军完成对你的支援并将返回。
display_event.defence_alliance.leave.defence_alliance_broken,你与{faction_name}的联盟已经解散，所以援军提前回家了。
display_event.defence_alliance.leave.no_one_is_attacking_player,你面临的威胁已经解除，所以援军将返回。
display_event.defence_alliance.leave.other_reason,援军提前返回了。
display_event.got_title,{name}获得了领主爵位。
display_event.kid_need_title,{name}很快需要获得一个领主爵位。
display_event.storage_robbery_gold,窃贼们偷走了 {number} 金币！
display_event.squad_go_to_take_equipment,战士们正在从仓库里取出武器。请稍候……
display_event.no_servants_in_hall,大厅内没有仆人！
display_event.squad_take_all_equipment,战士们全副武装，枕戈待旦！
display_event.horde_apeears,邪恶部族出现
display_event.horde_gossip,传闻：在遥远的地方出现了一个新的异端邪教
display_event.new_fraction,一个新的贵族诞生了：{faction_name}
display_event.fraction_death,一个贵族消亡了：{faction_name}
display_event.horde_murder_faction,邪恶部族又摧毁了一个贵族。
display_event.horde_crisis_finish,邪恶部族已经离开诺兰德了。
display_event.forecast,获得{resource}价格预测
display_event.village_tribute,{village_name}：缴纳贡金
display_event.bandits_at_the_gate,附近有敌军！
display_event.army_at_the_gate,附近有敌军！
display_event.enemy_attack_city,敌人发动了突袭！
display_event.free_lord_expired,领主契约已失效。
display_event.free_lord_low_loyalty,自由领主将失去忠诚度。
display_event.terror_lords,领主间产生了恐慌！
display_event.terror_peasants,平民间产生了恐慌！
display_event.bandits_prepare_to_attack,强盗准备袭击你的城镇。
display_event.caravan_arrive,圣商队进城了。
display_event.free_lord_arrive,一位自由领主正等待被雇佣。
display_event.character_bleeding,一个角色正在出血。
display_event.fire,着火了。
display_event.slaves_hungry,前往经济学菜单，查看囚犯是否收到足量食物。
display_event.dummy_little_beer,前往经济学菜单，查看角色是否收到足量酒。
display_event.dummy_little_food,前往经济学菜单，查看囚犯是否收到足量食物。
display_event.dummy_many_homeless,建造更多房屋。
display_event.high_fanaticism_level,圣堂内的疑窦之道可以减缓狂热。
display_event.low_dummy_happiness,注意那些最常出现的不满想法。
display_event.not_enough_barracks,建造更多兵营。
display_event.not_enough_equipment,从商队购买装备，或者自行制作。
display_event.not_enough_taverns,建造更多酒馆。
display_event.not_enough_temples,建造更多圣堂。
display_event.too_much_unemploe,降低人口平均心情水平，从而减少人口迁入，即可降低失业率。
display_event.high_prices,平民从圣商队处购买商品。
display_event.hired_soldiers_arrive,雇佣的战士抵达了。
display_event.migrants_arrive,{number} 位迁入平民抵达了。
display_event.knowledge_interaction,{name}正在学习{knowledge}，进度：{progress}%
display_event.book_writing,{name}正在写一本名为《{knowledge}》的书，进度：{progress}%
display_event.not_enough_knowledge_paper,缺少写《{name}》一书的纸张
display_event.knowledge_too_hard_again,{name}无法再学习：{knowledge}
display_event.not_enough_resources,资源不足。
display_event.building_breakdown,建筑已损毁。
display_event.farm_depleted,农田土壤贫瘠。
display_event.farm_soon_depleted,农田土壤将很快变得贫瘠。
display_event.not_enough_workers,工人不足。
display_event.wheat_destroyed,庄稼因干旱而枯死。
display_event.building_needs_direct_contol,需要先直接控制这座建筑才能经营。
display_event.building_without_inspector,该建筑需要一位管理人。
display_event.order_complete,{value} {resource}：订单完成！
display_event.building_without_instruction,工人们今天还未收到指令。
display_event.resources_stolen,资源失窃！{value} {resource}
display_event.thugs_appear,城里出现了刺客。
display_event.wolf_attack,饿狼攻击！
display_event.no_meds,医用药膏制作完成！
display_event.quest_result,结果：{quest_name}
display_event.battle_result,战斗结果
display_event.battle_start,新战斗！
display_event.new_quest,{name}
display_event.new_book,已创建一本书的新副本：{knowledge}
display_event.new_knowledge,已学到知识：{knowledge}
display_event.slave_escape,一名囚犯想要越狱。
display_event.unhappy_lord,你的领主有所不满。
display_event.actor_dont_work,{name}心情不好，拒绝完成你的任务。
display_event.reg_riot_soon,狂热信徒想让{target_name}死！
display_event.reg_riot_cancel,狂热信徒对{target_name}的处决感到满意，因此不会叛乱。
display_event.holy_family_become_enemy,你失去了女教皇的宠信！
display_event.reg_riot_against_king,狂热信徒认为{target_name}必须死。
display_event.reg_riot_in_hour,叛乱将在数小时后开始！
display_event.low_loyaled,领主正要离开省邦。
display_event.bulglary_storage,流民抢劫了大厅的仓库。
display_event.hall_robbed,流民潜入了大厅，偷走了金币。
display_event.library_robbed,流民潜入了图书馆，偷走了书籍。
display_event.lord_kidnapped,流民劫持了你的领主！
display_event.lord_killed,受贿刺客杀死了你的领主！
display_event.army_returned_from_global_map,部队已返回。
display_event.hirde_bandits_returned_from_global_map,雇佣的刺客带着战利品回来了。
display_event.kid_now_can_read,{name}已经长大，成为了一名青年。
display_event.bishop_arrived,主教已抵达你的聚落。
display_event.bishop_leave_province,主教正要离开你的聚落。
display_event.faction_become_enemy,{faction_name}派系已成为我们的敌人。
display_event.faction_soon_become_enemy,{faction_name}派系很快将成为我们的敌人。
display_event.economy_statistics,经济报告
display_event.dayly_statistic,每日统计
display_event.daily_stat_main_pronlems,频繁的消极想法
display_event.daily_stat_no_problems,没有问题
display_event.world_summary,世界概要
display_event.world_summary_trade,贸易
display_event.world_summary_marriage,婚姻
display_event.world_summary_other,其他
display_event.world_summary_politic,政策
display_event.religious_rebellion_start,宗教起义开始了！
display_event.slaves_rebellion,囚犯起义开始了！
display_event.soldier_rebellion,战士叛乱开始了！
display_event.loyalist_rage,忠诚派正在发动一场大屠杀！
display_event.loyalist_rage_over,忠诚派的大屠杀已经结束
display_event.soldier_rebellion_finished,战士叛乱结束了
display_event.soldier_rebellion_crushed,已成功镇压战士叛乱！
display_event.religion_rebellion_crushed,宗教起义已成功镇压！
display_event.religion_rebellion_finished,宗教叛乱结束了。
display_event.slaves_rebellion_finished,囚犯叛乱结束了。
display_event.slaves_rebellion_crushed,囚犯叛乱已成功镇压！
display_event.culture_rage_today,{name}：将计划发动针对{name_2}的叛乱
display_event.culture_rage,{name}：开始暴动。
display_event.culture_rage_over,暴动结束。
display_event.no_new_events,无事件。
display_event.player_became_vassal,你已成为{sir_faction}的附庸。
display_event.player_stopped_being_vassal,你不再是{ex_sir_faction}的附庸。
display_event.enemy_go_to_attack_town_soon,{faction}似乎即将攻击你的城镇！
display_event.enemy_go_to_attack_village,{faction}派了一支军队来掠夺你的村庄！
display_event.enemy_go_to_attack_town,{faction}派了一支军队来洗劫你的城市！
display_event.bandits_go_to_attack_village,林中劫匪已进军你的村庄！
display_event.bandits_go_to_attack_town,森林强盗正准备攻击你的城镇！
display_event.bandits_looted_village,林中劫匪掠夺了你的村庄！
display_event.enemy_looted_village,{faction}掠夺了你的村庄！
display_event.heir_rebellion,王位继承人正在发动叛乱！
display_event.new_heir,新的王位继承人是{name}
display_event.free_lord_was_hired,已雇佣自由领主{name} {duration} 天
display_event.lord_captured,来自{faction_name}的{name}已被{faction_name_2}俘获
display_event.captive_terror,{king_name}已经知晓了你与{captive_name}的往来。他对你的态度恶化了。
display_event.looted_books,失窃的书籍：
display_event.character_part_of_nature_add,{name}获得了性格特质{trait_name}
display_event.character_part_of_nature_delete,{name}失去了性格特质{trait_name}
display_event.character_revail_skill_trait,{name}的{skill_name}技能达到了完美，并解锁了技能特质{trait_name}
display_event.dark_order,你的刺客已被贿赂
display_event.student_as_teacher,{student}在{skill}技能上达到了{teacher}的水平
