Key,Korean
main_menu.new_game.province.header,시작 영지를 선택하세요
main_menu.new_game.province.header.back_to_select_mode,자신의 영지와 다른 영지를 설정하세요
main_menu.new_game.province.header.next,다음
main_menu.new_game.province.banner,깃발
main_menu.new_game.province.difficulty,난이도
main_menu.new_game.province.difficulty.peaceful,평화 모드
main_menu.new_game.province.difficulty.normal,일반 모드
main_menu.new_game.hardcore_start,하드코어
main_menu.new_game.province.difficulty.ironman,철의 의지
main_menu.new_game.province.neighbours.caution.careful,주의
main_menu.new_game.province.neighbours.caution.risky,위험
main_menu.new_game.province.neighbours.caution.balanced,균형
main_menu.new_game.province.neighbours.pacifism.default,보통
main_menu.new_game.province.neighbours.pacifism.peaceful,평화
main_menu.new_game.province.neighbours.city_size,시작 도시 규모
main_menu.new_game.province.neighbours.army_power,군대 전투력
main_menu.new_game.province.neighbours.enemy,반감
main_menu.new_game.province.neighbours.friend,공감
main_menu.new_game.province.neighbours.neutral,중립
main_menu.new_game.province.kingdom.culture.gwelts,카이덴
main_menu.new_game.province.kingdom.culture.tanaya,타나야
main_menu.new_game.province.kingdom.culture.makha,마카
main_menu.new_game.province.kingdom.culture.voruns,반
main_menu.new_game.province.neighbours.abandoned_town,버려진 마을
main_menu.new_game.province.neighbours.empty,이웃 선택
main_menu.new_game.family.banner.sign_color,기호 색상
main_menu.new_game.family.banner.pattern,패턴
main_menu.new_game.family.banner.sign,기호
main_menu.new_game.family.look.body,몸
main_menu.new_game.family.look.skin_color,피부색
main_menu.new_game.family.look.hair_color,머리색
main_menu.new_game.family.look.beard,수염
main_menu.new_game.family.look.haircut,머리 모양
main_menu.new_game.family.look.head,머리
main_menu.new_game.family.look.sex,성별
main_menu.new_game.family.look.random,무작위 외형
main_menu.new_game.family.character_traits,캐릭터 특성
main_menu.new_game.family.skills,스킬
main_menu.new_game.family.overall_skills,전체 스킬
main_menu.new_game.soft_onboarding,쉬운 시작
main_menu.new_game.family.members,가문 구성원
main_menu.new_game.family.members.husband_wife_child,"남편, 아내, 자녀"
main_menu.new_game.family.members.two_sis_and_son,두 자매와 아들
main_menu.new_game.family.members.two_bro,두 형제
main_menu.new_game.family.members.three_sisters,세 자매
main_menu.new_game.family.members.father_three_doughters,아버지와 딸
main_menu.new_game.family_settings,가문 설정
main_menu.ng_world_should_generate,세계 생성
main_menu.ng_select_map,지도 선택
main_menu.ng_save_name,저장 파일명 입력
main_menu.save_load.delete,삭제
main_menu.save_load.deleted,삭제 완료
main_menu.save_load.save_as.desc2,현재 지도 파일명으로 저장하려면 비워두세요
main_menu.save_load.save_as.desc,새 저장 파일명
main_menu.save_load.save_as,새로 저장
main_menu.save_load.rewrite,덮어쓰기
main_menu.save_load.save,저장
main_menu.save_load.load,불러오기
main_menu.save_load.autosave_morning,아침
main_menu.save_load.autosave_evening,저녁
main_menu.mods,모드
main_menu.credits,크레딧
main_menu.discord,Discord
main_menu.leave_feedback,의견
main_menu.feedback.send,전송
main_menu.exit,종료
main_menu.settings,설정
main_menu.load_game,게임 불러오기
main_menu.start_tutorial,튜토리얼
main_menu.start_new_game,새 게임
main_menu.continue_last_game,계속하기
main_menu.save_and_exit,저장 및 종료
main_menu.start,시작
main_menu.back,뒤로
menu.problems,문제
adv_tutorial.obj_build_sawmill_place_text,여기에 제재소를 건설
adv_tutorial.obj_build_field_place_text,여기에 순무밭 배치
adv_tutorial.obj_build_taverna_place_text,여기에 술집을 건설
adv_tutorial.obj_build_generic_place_text,여기에 배치하세요
notification.tutorial.ambush,도적단이 공격해 옵니다!
loading_screen,불러오는 중... 잠시만 기다리세요.
loading_screen.ingame.misc_loading,데이터 불러오는 중
loading_screen.ingame.gui_init,GUI 생성 중
loading_screen.ingame.save_game_load,저장된 게임 불러오는 중
loading_screen.ingame.new_game_load,새 게임 시작 중
loading_screen.ingame.gui_system,GUI 시스템 초기화 중
loading_screen.ingame.map_cells,지도 칸 생성 중
loading_screen.ingame.trade_manager,무역 관리자 초기화 중
loading_screen.ingame.local_map_controller,지역 지도 제어기 불러오는 중
loading_screen.ingame.province_controller,영지 데이터 불러오는 중
loading_screen.ingame.global_map,외부 지도 불러오는 중
loading_screen.ingame.battle_injuty_lottery,전투 부상 확률 불러오는 중
loading_screen.ingame.game_system_init,게임 내 시스템 초기화 중
loading_screen.ingame_unloading,게임 내 자원 내리는 중
loading_screen.caching_textures,텍스처 캐싱 중
loading_screen.game_vars,게임 변수 불러오는 중
loading_screen.audio,오디오 시스템 실행 중
loading_screen.animations,애니메이션 불러오는 중
loading_screen.building_assets,건물 자산 불러오는 중
loading_screen.actor_assets,행위자 자산 불러오는 중
loading_screen.traits,특성 불러오는 중
loading_screen.minds,사고방식 불러오는 중
loading_screen.tantrums,분노 불러오는 중
loading_screen.activity,활동 불러오는 중
loading_screen.game_data,게임 내 데이터 불러오는 중
loading_screen.building_constructions,건물 구조물 불러오는 중
loading_screen.banners,깃발 불러오는 중
loading_screen.gui,GUI 불러오는 중
loading_screen.hints,힌트 불러오는 중
loading_screen.rich_string,리치 스트링 불러오는 중
loading_screen.knowledge_localization,지식 현지화 불러오는 중
loading_screen.saves_and_maps,세계 및 저장 목록 불러오는 중
loading_screen.done,불러오기 완료.
encyclopedia.help,도움말
encyclopedia.category.battle,전투
encyclopedia.category.economics,경제
encyclopedia.category.characters,캐릭터
encyclopedia.category.mechanics,메커니즘
encyclopedia.category.hints,힌트
encyclopedia.category.global_map,지도
encyclopedia.search,검색...
action_task.skill_training_caption,{skill_name} 교육 중
actor.relations.filter.location,인근
actor.relations.filter.kings,왕
actor.relations.filter.friends,친구
actor.relations.filter.enemies,적
actor.relations.filter.can_seduce,유혹 가능
action_task.category.king,왕
action_task.category.social,사회
action_task.category.bishop,주교
action_task.sub_category.social,소통
action_task.sub_category.intrigue,음모
actor.action_task.begging,용서 빌기
actor.action_task.nominate_enemy,적으로 선포
actor.action_task_hunt,살육늑대 사냥
actor.action_task_sick_visit,환자 방문
actor.action_task.marriage,결혼
actor.action_task.bribe,뇌물
actor.action_task.punish,처벌
actor.action_task.reward,보상
actor.action_task.rumors,소문 내기
actor.action_task.spent_time,함께 시간 보내기
actor.action_task.invite,초대
actor.action_task.teach,교육
actor.action_task.threat,위협
actor.action_task.trade,무역
actor.action_task.make_free,해방
actor.action_task.seduction,유혹
actor.action_task.donate,왕을 위한 선물
actor.action_task.kill,암살
actor.action_task.poison,독살
actor.action_task.play_dice,주사위 굴리기
actor.action_task.depart,추방
actor.action_task.duel_call,결투 신청
actor.action_task.duel_provocation,결투 도발
actor.action_task.free_lord_hire,영주 고용
actor.action_task.send_guest,손님 보내기
actor.action_task.king_tribute,조공
actor.action_task.confession,고해성사
actor.action_task.kidnap,생포
actor.action_task.free_captive,석방
actor.action_task.forced_sex,강제 성관계
actor.action_task.appoint_an_heir,후계자 선포
actor.action_task.go_home,귀환
actor.action_task.sex_with_dummy,성매매
actor.action_task.new_heir,후계자로 임명
actor.action_task.canonization,축복
actor.action_task.divorce,이혼
actor.action_task.consolation,위로
actor.action_task.give_title_to_hired_free_lord,작위 수여
actor.action_task.give_title_to_soldier,작위 수여
actor.action_task.take_title,영주 작위 박탈
actor.action_task.join_captive,석방하고 영입
actor.action_task.new_king,왕위 선위
actor.appoint_in_town,현재 위치: {town_name}
actor.appoint_in_this_town,이 마을에 있음
actor.appoint.our_lords,우리 영주
actor.appoint.other_lords,다른 영주
actor.action.training,훈련
actor.action.conversation,협상
actor.action.army.on_local_map,지역 지도
actor.action.army.on_global_map,세계 지도에 있음
actor.action.army,군대
actor.action.executor,행위자
actor.action.executor_replace,교체
actor.action.teacher,교사
actor.action.chancellery_any,모든 사무국
actor.action.punishment,처벌
actor.action.teach,학습
actor.action.person,대상
actor.action.different_actions,행동
actor.action.trade,무역
actor.action_task.invite_guest,내 영지로 초대
actor.status.on_global_map,세계 지도
actor.status.on_global_map_lost,실종
actor.status.in_army,세계 지도의 분대 소속
actor.status.in_travel,여행 중
actor.status.in_object,현재 위치: {object_name}
actor.adjective.addicted_to_drink,애주가
actor.adjective.ambitious,야심만만
actor.adjective.angry,복수심
actor.adjective.arrogant,거만
actor.adjective.ascetic,금욕
actor.adjective.bloodthirsty,살기등등
actor.adjective.contemptuous,경멸
actor.adjective.contradictory,모순적
actor.adjective.emotional,감정적
actor.adjective.envious,질투
actor.adjective.friendly,우호적
actor.adjective.frivolous,경박
actor.adjective.greedy,탐욕
actor.adjective.indifferent,무관심
actor.adjective.intemperate,충동적
actor.adjective.jealous,시샘
actor.adjective.mean,악의적
actor.adjective.melancholy,우울
actor.adjective.sarcastic,냉소적
actor.adjective.subtle,교양
actor.adjective.trusting,잘 속음
actor.adjective.weakpowered,약골
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name}({age_string})
actor.appoint.nominate_enemy.peasant,<red>정당한 이유 없이 농민을 공격하면 <hint=hint_terror_peasants>공포</hint>가 조성됩니다</red>
actor.appoint.nominate_enemy.lord,<red>정당한 이유 없이 영주를 공격하면 <hint=hint_terror_lord>공포</hint>가 조성됩니다</red>
actor.appoint.nominate_enemy.guest,"<red>상대가 어떤 행동을 했든 손님을 공격하는 것은 신성한 환대의 법칙을 어긴 것으로 여겨집니다.</red>
 
 $ {soul_uuid_performer_king} 및 {soul_uuid_target} 사이의 관계: <red>{relations_modify_target}
 
 </b>힌트</b>: 갈등을 해결하려면 <hint=hint_duel>결투</hint>를 이용하는 것이 낫습니다."
actor.appoint.nominate_enemy.bishop,<red>사랑의 가족이 무슨 짓을 했든 그들에 대한 공격은 도시가 <hint=hint_inquisitors>종교재판단</hint>의 처벌을 받을 이유로 여겨집니다.</red>
actor.age,{age}세
actor.age_short,{age}세
actor.class.unarmed,비무장
actor.class.l_archer,경갑 궁수
actor.class.axeman,도끼병
actor.class.guard,경비
actor.class.h_axeman,중갑 도끼병
actor.class.faceless_axeman,불경한 군단 투사
actor.class.h_hammerhead,중갑 철퇴병
actor.class.h_spearman,중갑 창병
actor.class.h_swordman,중갑 검병
actor.class.hammerhead,철퇴병
actor.class.l_spearman,경갑 창병
actor.class.outcast,추방자
actor.class.spearman,창병
actor.class.swordman,검병
actor.class.light_archer,레벨 3-5 무장갑 궁수
actor.class.light_hammerhead,레벨 3-5 무장갑 철퇴꾼
actor.class.light_spearman,레벨 3-5 무장갑 창병
actor.class.light_axeman,레벨 3-5 방패를 든 무장갑 도끼병
actor.class.middle_archer,레벨 8-11 경갑 궁수
actor.class.middle_hammerhead,레벨 8-11 방패를 든 경갑 철퇴꾼
actor.class.middle_spearman,레벨 8-11 방패를 든 경갑 창병
actor.class.heavy_axeman,레벨 13-17 방패를 든 중갑 도끼병
actor.class.heavy_swordman,레벨 13-17 방패를 든 중갑 검병
actor.class.lord,방패를 든 중갑 검병 영주
actor.dignity.king,통치자
actor.events,사건
actor.events_date,날짜
actor.knowledge,지식
actor.hint.battle_skill,전투 스킬 레벨
actor.hint.crimes.caption,범죄
actor.hint.injury.caption,부상
actor.hint.injury.pain_level,통증 레벨: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>통증 한계치:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - 감염 위험 잔존
actor.hint.sin.caption,죄
actor.hint.sin.piety_impact,기분 영향: {piety_impact}
actor.impact_on_person,행동
actor.inventory,인벤토리
actor.log.today,오늘
actor.log.days_before,{day}일 전
actor.log.yesterday,어제
actor.loyalty,충성도 {loyalty}%
menu.battle_result.win,승리!
menu.battle_result.lose,패배
menu.battle_result.deployed,배치됨
menu.battle_result.died,사망
menu.battle_result.escaped,탈출
menu.battle_result.captured,생포
actor.menu.appoint.hunt,사냥
actor.mind.count_scheme,{mind_caption}({mind_count})
actor.minds,생각
actor.moral,기분
actor.motive.energy,수면
actor.motive.food,음식
actor.motive.rest,휴식
actor.motive.religion,신앙심
actor.motive.sex,성관계
actor.motive.care,돌봄
actor.noun.adventurer,모험가
actor.noun.depraved,난봉꾼
actor.noun.fatalist,운명론자
actor.noun.flatterer,아첨꾼
actor.noun.genius,천재
actor.noun.introvert,내향인
actor.noun.moron,얼간이
actor.noun.mystic,신비주의자
actor.noun.narcissist,나르시시스트
actor.noun.rude,악당
actor.noun.shameless,괴짜
actor.noun.skeptic,회의론자
actor.noun.workaholic,일벌레
actor.opinion.choose_factions.province_hint,지역 지도
actor.opinion.interest,관심:
actor.opinion.interest.high,높음
actor.opinion.interest.low,낮음
actor.opinion.interest.middle,중간
actor.opinion.no_minds,생각 없음
actor.opinion.opinion_of,{name}의 평가:
actor.opinion.opinion_of_me,나에 대한 {name}의 평가:
actor.opinion.opinion_of_third_person,{name}에 대한 {name_2}의 평가:
actor.opinion.special.deadly_enemy,원수
actor.opinion.special.enemy,적
actor.opinion.special.friend,친구
actor.opinion.special.like,좋은 관계
actor.opinion.special.love,연애 관심
actor.part_of_nature,성격 특성
actor.punish.execute,처형
actor.punish.expel,추방
actor.punish.imprison,인질로 두기
actor.desire,욕망
actor.skill.command,명령
actor.skill.education,교육
actor.skill.fight,전투
actor.skill.knowledge,지능
actor.skill.management,관리
actor.skill.manners,예의
actor.skill.negotiation,무역
actor.skill.oratory,설득
actor.skill.points_remain,다음 레벨에 도달하려면 경험치 {number} 필요
actor.skills,스킬
actor.skills_training,훈련
actor.skills.level,{level}
actor.skill_category.rhetoric,수사학
actor.skill_category.economic,경제
actor.skill_category.philosophy,철학
actor.skill_category.warcraft,전쟁
actor.stata.bandit,도적
actor.stata.thug,흉악범
actor.states,상태
actor.strata.animal,동물
actor.strata.slave,수감자
actor.traits,상태
building.hostel,공동 숙소
building.library,도서관
building.armorsmith,방어구 대장간
building.barracks,병영
building.brewery,양조장
building.caption_with_level,{building_name} 레벨 {level}
building.castle,영주관
building.chancellery,사무국
building.church,사원
building.altar,제단
building.coal_burner,석탄 가공소
building.coal_furnace,석탄 가공소
building.coal_mine,석탄 광산
building.description.burned,화재에 의해 파괴된 건물입니다. 철거만 가능합니다.
building.farm,농장
building.forge,무기 대장간
building.hall_storage,영주관 창고
building.herbalist,약초 채집가
building.house,농가
building.menu.appoint.church,설교
building.menu.appoint.training,훈련
building.menu.appoint.gallows,처벌
building.menu.appoint.chancellery,사무관
building.menu.appoint.culture,문화
building.menu.appoint.appoint_culture,임명
building.menu.castle.builders,건설자
building.menu.castle.servants,시종
building.menu.gallows.terror,공포
building.menu.gallows.executers,사형집행인
building.menu.in_stock,창고에 있음
building.menu.required_resources,필요
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,거주민
building.menu.service.attendance,참석
building.menu.service.inspection,정치
building.menu.service.revenue,수익
building.menu.combat_training.number_of_places,동시 훈련
building.menu.sold,판매됨
building.menu.trader,상인
building.menu.special_button.auto_repair,자동 수리
building.menu.special_button.abort,중단
building.menu.special_button.destroy,파괴
building.menu.special_button.relocate,이동
building.menu.special_button.repair,수리
building.menu.special_button.upgrade,업그레이드
building.menu.special_button.upgrade_workplace,일자리 +1
building.menu.status.breakdown,고장
building.menu.status.need_charge,농장이 고갈되었습니다.
building.menu.status.burned_full,화재로 인해 파괴되었습니다.
building.menu.status.burned_partially,부분적으로 그을렸습니다.
building.menu.status.burning,건물에 화재 발생!
building.menu.status.church,도시 내 종교 광신도: {fanatics_percent}%
building.menu.status.construction,건설 진행 중.
building.menu.status.construction_template,{status}({progress}%) 완료
building.menu.status.demolition,해체 중입니다.
building.menu.status.extinguishing,화재 진압 중입니다.
building.menu.status.harvest.after_tomorrow,수확물이 이틀 후 수거됩니다.
building.menu.status.harvest.n_days,{days}일 후 농작물을 수확할 예정입니다.
building.menu.status.harvest.today,오늘 농작물을 수확할 예정입니다.
building.menu.status.harvest.tomorrow,내일 농작물을 수확할 예정입니다.
building.menu.status.no_tasks,생산 메뉴에서 명령하세요.
building.menu.status.fertilize,비옥도: {number}%
building.menu.status.produce,생산 중: {resource}({progress}%)
building.menu.status.raw_not_enough,생산에 필요한 자원이 부족합니다.
building.menu.status.relocate,재배치 중입니다.
building.menu.status.repair,수리 중입니다.
building.menu.status.upgrade,업그레이드 중입니다.
building.menu.status.work_time,작업 시간: {work_hour_begin}~{work_hour_end}
building.menu.status.works_fine,평소처럼 작업 중
building.menu.status.pig_farm_need_to_charge,순무 보충 필요
building.menu.status.need_inspector,관리자 임명 필요
building.menu.status.need_inspection,받은 지시 없음
building.menu.status.need_paper_charge,종이 보충 필요
building.menu.tavern.allow_nectar,넥타 허용
building.menu.temple.donation,기부
building.menu.temple.priest,사제
building.menu.workplace.appoint_inspector,배정
building.menu.workplace.inspection,관리
building.menu.workplace.priority,우선순위
building.menu.workplace.produced_today,오늘 생산량
building.menu.workplace.bonus_slave,수감자 보너스: {bonus_slave}
building.menu.workplace.bonus_addicted,중독자 보너스: {bonus_addicted}
building.menu.workplace.bonus_culture,{culture} 전문 분야 보너스: {bonus_culture}
building.menu.workplace.statistics,통계
building.menu.workplace.workers,일꾼
building.menu.workplace.workers.free,농민
building.menu.workplace.workers.slaves,수감자
building.menu.workplace.addicted,중독자
building.menu.patrollers,순찰 깃발
building.menu.radius,순찰 반경
building.menu.combat_max,최대 전투 레벨
building.menu.max_pain,최대 통증 레벨
menu.patrol_sign.description,전사 순찰 장소
building.mine,광산
building.noble_house,영주의 집
building.paper_factory,제지소
building.slaves_barrack,감옥
building.temple.preach.doubt,의심의 설교
building.temple.preach.faith,믿음의 설교
building.farm.pig_farm_charge_abort,보충 취소
building.farm.pig_farm_charge,순무 보충
building.gallows.crimes,범죄
building.gallows.punishments,처벌
building.gallows.change,변경
building.training_field,훈련장
building.woodcutter,제재소
building.workshop,공방
building.gallows,처형대
building.market,시장
building.storage,창고
building.tavern,술집
building.drug_deg,마약 소굴
building.rye_farm,호밀밭
building.hop_farm,홉밭
building.swede_farm,순무밭
building.pig_farm,돼지 농장
building.mill,방앗간
building.alchimestry,연금술 실험실
building.melting_furnace,제련소
building.patrol_sign,야간 순찰
display_event.actor_complete_action_task_on_gm,{name}이(가) {task_name} 임무를 완료했습니다.
display_event.actor_abort_action_task_on_gm,{name}이(가) 임무 완료에 실패했습니다.
display_event.actor_arrived_in_town_as_guest_on_gm,{name}이(가) {town_name}에 도착했습니다.
display_event.actors_married,{name_1}이(가) {name_2}(이)와 약혼했습니다.
display_event.new_genius_king,소문: 정복자
display_event.defence_alliance.squad_arrived,{faction_name} 지원군이 도착했습니다!
display_event.defence_alliance.squad_created,지원군이 집결하여 명령에 따라 배치되었습니다.
display_event.defence_alliance.leave.time_expired,지원군의 주둔이 끝났습니다. 이제 돌아갑니다.
display_event.defence_alliance.leave.battle_finished,지원군이 나를 지원했으며 이제 돌아갑니다.
display_event.defence_alliance.leave.defence_alliance_broken,{faction_name}와(과)의 동맹이 종료되었습니다. 지원군이 예정보다 빨리 돌아오는 중입니다.
display_event.defence_alliance.leave.no_one_is_attacking_player,더 이상 위협을 받지 않습니다. 지원군이 오고 있습니다.
display_event.defence_alliance.leave.other_reason,지원군이 일찍 돌아오는 중입니다.
display_event.got_title,{name}에게 영주 작위가 주어졌습니다.
display_event.kid_need_title,{name}이(가) 곧 남은 영주 작위를 요구할 것입니다.
display_event.storage_robbery_gold,도둑들이 {number}개의 금화를 훔쳐 갔습니다!
display_event.squad_go_to_take_equipment,전사들이 창고에서 무기를 가져오는 중입니다. 잠시만 기다려주세요...
display_event.no_servants_in_hall,영주관에 시종이 없습니다!
display_event.squad_take_all_equipment,전사들이 무장하고 출전 준비를 마쳤습니다!
display_event.horde_apeears,불경한 군단 등장
display_event.horde_gossip,소문: 먼 지역에 새롭게 등장한 이단 교단
display_event.new_fraction,새로운 귀족 가문의 탄생: {faction_name}
display_event.fraction_death,귀족 가문의 몰락: {faction_name}
display_event.horde_murder_faction,불경한 군단이 귀족 가문을 하나 더 말살했습니다.
display_event.horde_crisis_finish,불경한 군단이 Norland 땅에서 떠났습니다.
display_event.forecast,{resource} 가격 예측 획득
display_event.village_tribute,{village_name}: 공물 납부
display_event.bandits_at_the_gate,인근에 적대적 분대 등장!
display_event.army_at_the_gate,인근에 적대적 분대 등장!
display_event.enemy_attack_city,적이 공격을 개시합니다!
display_event.free_lord_expired,영주 계약이 만료되었습니다.
display_event.free_lord_low_loyalty,자유 영주가 충성심을 잃었습니다.
display_event.terror_lords,영주들 사이에 공포가 조성되었습니다!
display_event.terror_peasants,농민들 사이에 공포가 조성되었습니다!
display_event.bandits_prepare_to_attack,도적단이 마을을 공격하려고 준비합니다.
display_event.caravan_arrive,신성한 대상단이 도시에 도착했습니다.
display_event.free_lord_arrive,자유 영주가 고용을 기다리고 있습니다.
display_event.character_bleeding,캐릭터가 출혈 중입니다.
display_event.fire,화재가 발생했습니다.
display_event.slaves_hungry,경제 메뉴에서 수감자가 음식을 충분히 받고 있는지 확인하세요.
display_event.dummy_little_beer,경제 메뉴에서 캐릭터가 술을 충분히 받고 있는지 확인하세요.
display_event.dummy_little_food,경제 메뉴에서 수감자가 음식을 충분히 받고 있는지 확인하세요.
display_event.dummy_many_homeless,주거를 더 건설하세요.
display_event.high_fanaticism_level,사원에서 의심의 설교를 하면 광신주의를 줄일 수 있습니다.
display_event.low_dummy_happiness,가장 자주 발생하는 불행한 생각에 주의하세요.
display_event.not_enough_barracks,병영을 더 건설하세요.
display_event.not_enough_equipment,상단에서 장비를 구매하거나 장비를 만드세요.
display_event.not_enough_taverns,술집을 더 건설하세요.
display_event.not_enough_temples,사원을 더 건설하세요.
display_event.too_much_unemploe,실업률을 줄이려면 평균 기분을 낮추어 이주를 줄이세요.
display_event.high_prices,농민은 신성한 대상단으로부터 상품을 구매합니다.
display_event.hired_soldiers_arrive,고용된 전사가 도착했습니다.
display_event.migrants_arrive,{number}명의 이주자가 도착했습니다.
display_event.knowledge_interaction,{name}이(가) {knowledge} 연구 중: {progress}%
display_event.book_writing,{name}이(가) {knowledge} 책 집필 중: {progress}%
display_event.not_enough_knowledge_paper,종이 부족으로 책 집필 불가: {name}
display_event.knowledge_too_hard_again,{name}이(가) 연구 불가: {knowledge}
display_event.not_enough_resources,자원이 부족합니다.
display_event.building_breakdown,고장난 건물입니다.
display_event.farm_depleted,농장 토양이 고갈되었습니다.
display_event.farm_soon_depleted,농장 토양이 곧 고갈됩니다.
display_event.not_enough_workers,일꾼이 부족합니다.
display_event.wheat_destroyed,가뭄으로 인해 농작물이 말라 죽었습니다.
display_event.building_needs_direct_contol,이 건물을 운영하려면 직접 통제가 필요합니다.
display_event.building_without_inspector,건물에 관리자가 필요합니다.
display_event.order_complete,{value} {resource}: 명령 완료!
display_event.building_without_instruction,오늘 일꾼들이 지시를 받지 못했습니다.
display_event.resources_stolen,자원을 도난당했습니다! {value} {resource}
display_event.thugs_appear,도시에 흉악범이 등장했습니다.
display_event.wolf_attack,살육늑대 공격!
display_event.no_meds,의료 연고가 소진되었습니다!
display_event.quest_result,결과: {quest_name}
display_event.battle_result,전투 결과
display_event.battle_start,새로운 전투!
display_event.new_quest,{name}
display_event.new_book,새로 제작된 책 사본: {knowledge}
display_event.new_knowledge,지식 습득함: {knowledge}
display_event.slave_escape,수감자가 탈출 시도 중입니다.
display_event.unhappy_lord,영주가 불행합니다.
display_event.actor_dont_work,{name}이(가) 기분이 안 좋아 임무 완수를 거부합니다.
display_event.reg_riot_soon,광신도들이 {target_name}의 피를 요구합니다!
display_event.reg_riot_cancel,광신도들이 {target_name}의 처형에 만족했습니다. 반란이 일어나지 않습니다.
display_event.holy_family_become_enemy,총대주교의 총애를 잃었습니다!
display_event.reg_riot_against_king,광신도들이 {target_name}이(가) 반드시 죽어야 한다고 믿습니다.
display_event.reg_riot_in_hour,몇 시간 뒤면 반란이 시작됩니다!
display_event.low_loyaled,영주가 영지를 떠나는 중입니다.
display_event.bulglary_storage,부랑자들이 영주관 창고를 털었습니다.
display_event.hall_robbed,부랑자들이 영주관에 잠입해 금화를 훔쳤습니다.
display_event.library_robbed,부랑자들이 도서관에 잠입해 책을 훔쳤습니다.
display_event.lord_kidnapped,부랑자들이 영주를 납치했습니다!
display_event.lord_killed,매수된 흉악범들이 영주를 살해했습니다!
display_event.army_returned_from_global_map,분대가 귀환했습니다.
display_event.hirde_bandits_returned_from_global_map,고용된 흉악범들이 전리품을 가지고 귀환했습니다.
display_event.kid_now_can_read,{name}이(가) 자라 청소년이 되었습니다.
display_event.bishop_arrived,주교가 정착지에 도착했습니다.
display_event.bishop_leave_province,주교가 정착지에서 떠나고 있습니다.
display_event.faction_become_enemy,{faction_name} 진영이 적이 되었습니다.
display_event.faction_soon_become_enemy,{faction_name} 진영이 곧 적이 될 예정입니다.
display_event.economy_statistics,경제 보고서
