Key,Indonesia
mutator.power_of_crowd,Kekuatan dalam Jumlah
mutator.fast_metabolism,Metabolisme Cepat
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Siapkan
main_menu.new_game.family_editor.erethic,Bidah
main_menu.new_game.province.game_params.adv_neighbours_settings,Pengaturan tetangga lanjutan
main_menu.new_game.province.game_params.header,Parameter permainan
main_menu.new_game.province.header,Pilih provinsi awal Anda
main_menu.new_game.province.header.back_to_select_mode,Siapkan provinsi Anda dan provinsi lainnya
main_menu.new_game.province.header.next,Selanjutnya
main_menu.new_game.province.banner,Bendera
main_menu.new_game.province.difficulty,Kesulitan
main_menu.new_game.province.difficulty.peaceful,Mode Damai
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Hardcore
main_menu.new_game.province.difficulty.ironman,Kehendak Besi
main_menu.new_game.province.neighbours.caution.careful,Hati-hati
main_menu.new_game.province.neighbours.caution.risky,Berisiko
main_menu.new_game.province.neighbours.caution.balanced,Seimbang
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Damai
main_menu.new_game.province.neighbours.city_size,Ukuran kota awal
main_menu.new_game.province.neighbours.army_power,Kekuatan Tentara
main_menu.new_game.province.neighbours.enemy,Tidak Suka
main_menu.new_game.province.neighbours.friend,Simpati
main_menu.new_game.province.neighbours.neutral,Netral
main_menu.new_game.province.kingdom.culture.gwelts,jawa
main_menu.new_game.province.kingdom.culture.tanaya,madura
main_menu.new_game.province.kingdom.culture.makha,dayak
main_menu.new_game.province.kingdom.culture.voruns,sunda
main_menu.new_game.province.neighbours.abandoned_town,Kota Terbengkalai
main_menu.new_game.province.neighbours.empty,Pilih Tetangga
main_menu.new_game.family.banner.sign_color,Warna Tanda
main_menu.new_game.family.banner.pattern,Pola
main_menu.new_game.family.banner.sign,Tanda
main_menu.new_game.family.look.body,Tubuh
main_menu.new_game.family.look.skin_color,Warna Kulit
main_menu.new_game.family.look.hair_color,Warna Rambut
main_menu.new_game.family.look.beard,Jenggot
main_menu.new_game.family.look.haircut,Gaya Rambut
main_menu.new_game.family.look.head,Kepala
main_menu.new_game.family.look.sex,Jenis Kelamin
main_menu.new_game.family.look.random,Penampilan Acak
main_menu.new_game.family.character_traits,SIFAT KARAKTER
main_menu.new_game.family.skills,KETERAMPILAN
main_menu.new_game.family.overall_skills,Keterampilan Keseluruhan
main_menu.new_game.soft_onboarding,Mulai Mudah
main_menu.new_game.family.members,Anggota Keluarga
main_menu.new_game.family.members.husband_wife_child,"Suami, istri, anak"
main_menu.new_game.family.members.two_sis_and_son,Dua saudari dan seorang putra
main_menu.new_game.family.members.two_bro,Dua saudara laki-laki
main_menu.new_game.family.members.three_sisters,Tiga saudari
main_menu.new_game.family.members.father_three_doughters,Ayah dan putri-putrinya
main_menu.new_game.family_settings,Pengaturan Keluarga
main_menu.ng_world_should_generate,Buat Dunia
main_menu.ng_select_map,Pilih Peta
main_menu.ng_save_name,Masukkan nama file simpan
main_menu.save_load.delete,Hapus
main_menu.save_load.deleted,DIHAPUS
main_menu.save_load.save_as.desc2,Biarkan kosong untuk menyimpan dengan nama file peta saat ini
main_menu.save_load.save_as.desc,Nama file simpan baru
main_menu.save_load.save_as,Simpan Baru
main_menu.save_load.rewrite,Timpa
main_menu.save_load.save,Simpan
main_menu.save_load.load,Muat
main_menu.save_load.autosave_morning,Pagi
main_menu.save_load.autosave_evening,Sore
main_menu.mods,Mods
main_menu.credits,Kredit
main_menu.discord,Discord
main_menu.leave_feedback,Umpan Balik
main_menu.feedback.send,Berikan
main_menu.exit,Keluar
main_menu.settings,Pengaturan
main_menu.load_game,Muat Permainan
main_menu.start_tutorial,Tutorial
main_menu.start_new_game,Permainan Baru
main_menu.continue_last_game,Lanjutkan
main_menu.save_and_exit,Simpan & Keluar
main_menu.start,Mulai
main_menu.back,Kembali
menu.problems,Masalah
adv_tutorial.obj_build_sawmill_place_text,Bangun Pabrik Kayu di sini
adv_tutorial.obj_build_field_place_text,Letakkan Ladang Rutabaga di Sini
adv_tutorial.obj_build_taverna_place_text,Bangun Kedai di sini
adv_tutorial.obj_build_generic_place_text,Letakkan di sini
notification.tutorial.ambush,Para begal sedang menyerang!
loading_screen,Memuat... Silakan tunggu.
loading_screen.ingame.misc_loading,Memuat Data
loading_screen.ingame.gui_init,Membuat GUI
loading_screen.ingame.save_game_load,Memuat Permainan Tersimpan
loading_screen.ingame.new_game_load,Menginisialisasi Permainan Baru
loading_screen.ingame.gui_system,Menginisialisasi Sistem GUI
loading_screen.ingame.map_cells,Membuat Sel Peta
loading_screen.ingame.trade_manager,Menginisialisasi Manajer Perdagangan
loading_screen.ingame.local_map_controller,Memuat Pengontrol Peta Lokal
loading_screen.ingame.province_controller,Memuat Data Provinsi
loading_screen.ingame.global_map,Memuat Peta Eksternal
loading_screen.ingame.battle_injuty_lottery,Memuat Peluang Cedera Tempur
loading_screen.ingame.game_system_init,Menginisialisasi Sistem Dalam Permainan
loading_screen.ingame_unloading,Membongkar Sumber Daya Dalam Permainan
loading_screen.caching_textures,Menyimpan Tekstur
loading_screen.game_vars,Memuat Variabel Permainan
loading_screen.audio,Meluncurkan Sistem Audio
loading_screen.animations,Memuat Animasi
loading_screen.building_assets,Memuat Aset Bangunan
loading_screen.actor_assets,Memuat Aset Aktor
loading_screen.traits,Memuat Sifat-sifat
loading_screen.minds,Memuat Pikiran
loading_screen.tantrums,Memuat Amukan
loading_screen.activity,Memuat Aktivitas
loading_screen.game_data,Memuat Data Dalam Permainan
loading_screen.building_constructions,Memuat Konstruksi Bangunan
loading_screen.banners,Memuat Bendera
loading_screen.gui,Memuat GUI
loading_screen.hints,Memuat Petunjuk
loading_screen.rich_string,Memuat String Kaya
loading_screen.knowledge_localization,Memuat Lokalisasi Pengetahuan
loading_screen.saves_and_maps,Memuat Daftar Dunia dan Simpan
loading_screen.done,Pemuatan Selesai.
encyclopedia.help,BANTUAN
encyclopedia.category.battle,Pertempuran
encyclopedia.category.economics,Ekonomi
encyclopedia.category.characters,Karakter
encyclopedia.category.mechanics,Mekanik
encyclopedia.category.hints,Petunjuk
encyclopedia.category.global_map,Peta
encyclopedia.search,Cari...
action_task.skill_training_caption,Mengajarkan {skill_name}
actor.relations.filter.location,Sekitar
actor.relations.filter.kings,Raja-raja
actor.relations.filter.friends,Teman
actor.relations.filter.enemies,Musuh
actor.relations.filter.can_seduce,Bisa digoda
action_task.category.king,Raja
action_task.category.social,Sosial
action_task.category.bishop,Uskup
action_task.sub_category.social,Komunikasi
action_task.sub_category.intrigue,Intrik
actor.action_task.begging,Mohon ampun
actor.action_task.nominate_enemy,Nyatakan sebagai musuh
actor.action_task_hunt,Berburu Fleshwolf
actor.action_task_sick_visit,Kunjungi yang sakit
actor.action_task.marriage,Menikah
actor.action_task.bribe,Suap
actor.action_task.punish,Hukum
actor.action_task.reward,Hadiahkan
actor.action_task.rumors,Sebarkan rumor
actor.action_task.spent_time,Habiskan waktu
actor.action_task.invite,Undang
actor.action_task.teach,Didik
actor.action_task.threat,Ancaman
actor.action_task.trade,Perdagangan
actor.action_task.make_free,Bebas
actor.action_task.seduction,Godaan
actor.action_task.donate,Hadiahkan kepada raja
actor.action_task.kill,Bunuh
actor.action_task.poison,Racun
actor.action_task.play_dice,Main dadu
actor.action_task.depart,Pengasingan
actor.action_task.duel_call,Tantang duel
actor.action_task.duel_provocation,Provokasi duel
actor.action_task.free_lord_hire,Pekerjakan lord
actor.action_task.send_guest,Kirim tamu
actor.action_task.king_tribute,Persembahan
actor.action_task.confession,Pengakuan dosa
actor.action_task.kidnap,Tangkap
actor.action_task.free_captive,Lepaskan
actor.action_task.forced_sex,Paksa hubungan
actor.action_task.appoint_an_heir,Nyatakan sebagai ahli waris
actor.action_task.go_home,Kirim pulang
actor.action_task.sex_with_dummy,Lamaran
actor.action_task.new_heir,Tunjuk sebagai ahli waris
actor.action_task.canonization,Berkah
actor.action_task.divorce,Cerai
actor.action_task.consolation,Menghibur
actor.action_task.give_title_to_hired_free_lord,Berikan gelar
actor.action_task.give_title_to_soldier,Berikan gelar
actor.action_task.take_title,Cabut gelar lordship
actor.action_task.join_captive,Lepaskan dan terima
actor.action_task.new_king,Serahkan mahkota
actor.appoint_in_town,Di {town_name}
actor.appoint_in_this_town,Di kota ini
actor.appoint.our_lords,Lord kami
actor.appoint.other_lords,Lord lain
actor.action.training,PELAIHAN
actor.action.conversation,NEGOSIASI
actor.action.army.on_local_map,Di peta lokal
actor.action.army.on_global_map,Di peta global
actor.action.army,PASUKAN
actor.action.executor,TOKOH
actor.action.executor_replace,GANTI
actor.action.teacher,GURU
actor.action.chancellery_any,Kantor Kanselir mana pun
actor.action.punishment,HUKUMAN
actor.action.teach,BELAJAR
actor.action.person,SIAPA?
actor.action.different_actions,AKSI
actor.action.trade,PERDAGANGAN
actor.action_task.invite_guest,Undang ke provinsi Anda
actor.status.on_global_map,Di peta global
actor.status.on_global_map_lost,Hilang
actor.status.in_army,Dalam regu di peta global
actor.status.in_travel,Bepergian
actor.status.in_object,Di {object_name}
actor.adjective.addicted_to_drink,Cenderung minum
actor.adjective.ambitious,Ambisius
actor.adjective.angry,Pembalas dendam
actor.adjective.arrogant,Sombong
actor.adjective.ascetic,Asketis
actor.adjective.bloodthirsty,Haus darah
actor.adjective.contemptuous,Meremehkan
actor.adjective.contradictory,Kontradiktif
actor.adjective.emotional,Emosional
actor.adjective.envious,Iri hati
actor.adjective.friendly,Ramah
actor.adjective.frivolous,Frivolous
actor.adjective.greedy,Keserakahan
actor.adjective.indifferent,Acuh tak acuh
actor.adjective.intemperate,Impulsif
actor.adjective.jealous,Cemburu
actor.adjective.mean,Bengis
actor.adjective.melancholy,Melankolis
actor.adjective.sarcastic,Sarkastik
actor.adjective.subtle,Halus
actor.adjective.trusting,Mudah tertipu
actor.adjective.weakpowered,Lemah
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Serangan tak terprovokasi terhadap petani akan menyebabkan <hint=hint_terror_peasants>teror</hint></red>
actor.appoint.nominate_enemy.lord,<red>Serangan tak terprovokasi terhadap lord akan menyebabkan <hint=hint_terror_lord>teror</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Serangan terhadap tamu, terlepas dari tindakan mereka, akan dianggap sebagai pelanggaran terhadap hukum suci keramahan.</red>

$ Hubungan antara {soul_uuid_performer_king} dan {soul_uuid_target}: <red>{relations_modify_target}

</b>PETUNJUK</b>: Untuk menyelesaikan konflik, lebih baik menggunakan <hint=hint_duel>duel</hint>."
actor.appoint.nominate_enemy.bishop,"<red>Serangan terhadap anggota Keluarga Penuh Kasih, terlepas dari apa yang telah mereka lakukan, akan dianggap sebagai alasan kota Anda dihukum oleh <hint=hint_inquisitors>Inkuisisi</hint></red>"
actor.age,{age} tahun
actor.age_short,{age} th
actor.class.unarmed,Tanpa Senjata
actor.class.l_archer,Pemanah Ringan
actor.class.axeman,Pemangkas Kapak
actor.class.guard,Pengawal
actor.class.h_axeman,Pemangkas Kapak Berat
actor.class.faceless_axeman,Pejuang Unholy Horde
actor.class.h_hammerhead,Pemangkas Gada Berat
actor.class.h_spearman,Pemangkus Tombak Berat
actor.class.h_swordman,Pemegang Pedang Berat
actor.class.hammerhead,Pemangkas Gada
actor.class.l_spearman,Pemangkus Tombak Ringan
actor.class.outcast,Pengungsi
actor.class.spearman,Pemangkus Tombak
actor.class.swordman,Pemegang Pedang
actor.class.light_archer,Pemanah Lvl. 3-5 tanpa zirah
actor.class.light_hammerhead,Pengguna Gada Lvl. 3-5 tanpa zirah
actor.class.light_spearman,Pemangkus Tombak Lvl. 3-5 tanpa zirah
actor.class.light_axeman,Pemangkas Kapak Lvl. 3-5 dengan perisai tanpa zirah
actor.class.middle_archer,Pemanah Lvl. 8-11 dengan zirah ringan
actor.class.middle_hammerhead,Pengguna Gada Lvl. 8-11 dengan zirah ringan dan perisai
actor.class.middle_spearman,Pemangkus Tombak Lvl. 8-11 dengan zirah ringan dan perisai
actor.class.heavy_axeman,Pemangkas Kapak Lvl. 13-17 dengan zirah berat dan perisai
actor.class.heavy_swordman,Pemegang Pedang Lvl. 13-17 dengan zirah berat dan perisai
actor.class.lord,Lord Pemegang Pedang dengan zirah berat dan perisai
actor.dignity.king,Penguasa
actor.events,PERISTIWA
actor.events_date,TANGGAL
actor.knowledge,PENGETAHUAN
actor.hint.battle_skill,Tingkat Keterampilan Tempur
actor.hint.crimes.caption,Kejahatan
actor.hint.injury.caption,Cedera
actor.hint.injury.pain_level,Tingkat Rasa Sakit: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Ambang batas rasa sakit:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Risiko Infeksi tetap ada
actor.hint.sin.caption,Dosa
actor.hint.sin.piety_impact,Pengaruh pada suasana hati: {piety_impact}
actor.impact_on_person,AKSI
actor.inventory,INVENTARIS
actor.log.today,Hari Ini
actor.log.days_before,Hari lalu: {day}
actor.log.yesterday,Kemarin
actor.loyalty,Kesetiaan {loyalty}%
menu.battle_result.win,Kemenangan!
menu.battle_result.lose,Kekalahan
menu.battle_result.deployed,Dikerahkan
menu.battle_result.died,Mati
menu.battle_result.escaped,Kabur
menu.battle_result.captured,Ditangkap
actor.menu.appoint.hunt,Berburu
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,PIKIRAN
actor.moral,SUASANA HATI
actor.motive.energy,Tidur
actor.motive.food,Makanan
actor.motive.rest,Istirahat
actor.motive.religion,Kesalehan
actor.motive.sex,Seks
actor.motive.care,perawatan
actor.noun.adventurer,Petualang
actor.noun.depraved,Pemboros
actor.noun.fatalist,Fatalis
actor.noun.flatterer,Pengasanjung
actor.noun.genius,Geni
actor.noun.introvert,Pendiam
actor.noun.moron,Orang Simpel
actor.noun.mystic,Mistik
actor.noun.narcissist,Narsis
actor.noun.rude,Preman
actor.noun.shameless,Penyimpang
actor.noun.skeptic,Skeptis
actor.noun.workaholic,Pekerja Keras
actor.opinion.choose_factions.province_hint,Di peta lokal
actor.opinion.interest,Minat:
actor.opinion.interest.high,Tinggi
actor.opinion.interest.low,Rendah
actor.opinion.interest.middle,Sedang
actor.opinion.no_minds,Tidak Ada Pikiran
actor.opinion.opinion_of,"Pendapat tentang {name}: "
actor.opinion.opinion_of_me,"Pendapat {name} tentang saya: "
actor.opinion.opinion_of_third_person,"Pendapat {name_2} tentang {name}: "
actor.opinion.special.deadly_enemy,Musuh Bebuyutan
actor.opinion.special.enemy,Musuh
actor.opinion.special.friend,Teman
actor.opinion.special.like,Hubungan Baik
actor.opinion.special.love,Ketertarikan Romantis
actor.part_of_nature,SIFAT KEPRIBADIAN
actor.punish.execute,Eksekusi
actor.punish.expel,Pengasingan
actor.punish.imprison,Ditahan sebagai sandera
actor.desire,KEINGINAN
actor.skill.command,Komando
actor.skill.education,Pengajaran
actor.skill.fight,Tempur
actor.skill.knowledge,Kecerdasan
actor.skill.management,Manajemen
actor.skill.manners,Etika
actor.skill.negotiation,Perdagangan
actor.skill.oratory,Persuasi
actor.skill.points_remain,{number} poin pengalaman diperlukan untuk mencapai tingkat berikutnya
actor.skills,SKILL
actor.skills_training,Pelatihan
actor.skills.level,{level}
actor.skill_category.rhetoric,Retorika
actor.skill_category.economic,Ekonomi
actor.skill_category.philosophy,Filsafat
actor.skill_category.warcraft,Perang
actor.stata.bandit,Perampok
actor.stata.thug,Cutthroat
actor.states,KEADAAN
actor.strata.animal,Hewan
actor.strata.slave,Narapidana
actor.traits,KEADAAN
building.hostel,Asrama
building.library,Perpustakaan
building.armorsmith,Tempa Zirah
building.barracks,Barak
building.brewery,Pabrik Bir
building.caption_with_level,{building_name} Tingkat {level}
building.castle,Aula
building.chancellery,Kantor Kanselir
building.church,Kuil
building.altar,Altar
building.coal_burner,Tungku Batu Bara
building.coal_furnace,Tungku Batu Bara
building.coal_mine,Tambang Batu Bara
building.description.burned,Bangunan ini telah hancur akibat kebakaran. Hanya dapat dirobohkan.
building.farm,Ladang
building.forge,Tempa Senjata
building.hall_storage,Penyimpanan Aula
building.herbalist,Ahli Rempah
building.house,Rumah Petani
building.menu.appoint.church,KHOTBAH
building.menu.appoint.training,Pelatihan
building.menu.appoint.gallows,Hukuman
building.menu.appoint.chancellery,KANSELIR
building.menu.appoint.culture,BUDAYA
building.menu.appoint.appoint_culture,Tunjuk
building.menu.castle.builders,Tukang Bangunan
building.menu.castle.servants,Pelayan
building.menu.gallows.terror,Teror
building.menu.gallows.executers,Algojo
building.menu.in_stock,DI GUDANG
building.menu.required_resources,DIPERLUKAN
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,PENDUDUK
building.menu.service.attendance,Kehadiran
building.menu.service.inspection,POLITIK
building.menu.service.revenue,Pendapatan
building.menu.combat_training.number_of_places,Pelatihan Serentak
building.menu.sold,Terjual
building.menu.trader,Pedagang
building.menu.special_button.auto_repair,Perbaikan Otomatis
building.menu.special_button.abort,Batalkan
building.menu.special_button.destroy,Hancurkan
building.menu.special_button.relocate,Pindahkan
building.menu.special_button.repair,Perbaiki
building.menu.special_button.upgrade,Tingkatkan
building.menu.special_button.upgrade_workplace,+1 Tempat Kerja
building.menu.status.breakdown,Kerusakan
building.menu.status.need_charge,Ladang kehabisan tenaga.
building.menu.status.burned_full,Hancur akibat kebakaran.
building.menu.status.burned_partially,Sebagian terbakar.
building.menu.status.burning,Kebakaran di bangunan!
building.menu.status.church,Fanatik agama di kota: {fanatics_percent}%
building.menu.status.construction,Konstruksi sedang berlangsung.
building.menu.status.construction_template,{status} ({progress}%) Selesai
building.menu.status.demolition,Pembongkaran sedang berlangsung.
building.menu.status.extinguishing,Pemadaman kebakaran sedang berlangsung.
building.menu.status.harvest.after_tomorrow,Panen akan dikumpulkan lusa.
building.menu.status.harvest.n_days,Mereka akan memanen tanaman dalam {days} hari.
building.menu.status.harvest.today,"Hari ini, mereka akan memanen tanaman."
building.menu.status.harvest.tomorrow,"Besok, mereka akan memanen tanaman."
building.menu.status.no_tasks,Buat pesanan di menu Produksi.
building.menu.status.fertilize,Kesuburan: {number}%
building.menu.status.produce,Sedang Diproduksi: {resource} ({progress}%)
building.menu.status.raw_not_enough,Sumber daya tidak mencukupi untuk produksi.
building.menu.status.relocate,Pemindahan sedang berlangsung.
building.menu.status.repair,Perbaikan sedang berlangsung.
building.menu.status.upgrade,Peningkatan sedang berlangsung.
building.menu.status.work_time,Jam kerja dari {work_hour_begin} hingga {work_hour_end}
building.menu.status.works_fine,Bekerja Normal
building.menu.status.pig_farm_need_to_charge,Pengisian dengan Rutabaga diperlukan
building.menu.status.need_inspector,Memerlukan manajer yang ditunjuk
building.menu.status.need_inspection,Instruksi belum diterima
building.menu.status.need_paper_charge,Pengisian dengan Kertas diperlukan
building.menu.tavern.allow_nectar,Izinkan Nektar
building.menu.temple.donation,Sumbangan
building.menu.temple.priest,PASTOR
building.menu.workplace.appoint_inspector,Tetapkan
building.menu.workplace.inspection,MANAJEMEN
building.menu.workplace.priority,Prioritas
building.menu.workplace.produced_today,Diproduksi Hari Ini
building.menu.workplace.bonus_slave,Bonus dari narapidana: {bonus_slave}
building.menu.workplace.bonus_addicted,Bonus dari pecandu: {bonus_addicted}
building.menu.workplace.bonus_culture,Bonus dari keahlian {culture}: {bonus_culture}
building.menu.workplace.statistics,STATISTIK
building.menu.workplace.workers,PEKERJA
building.menu.workplace.workers.free,Petani
building.menu.workplace.workers.slaves,Narapidana
building.menu.workplace.addicted,Kecanduan
building.menu.patrollers,Bendera Patroli
building.menu.radius,Radius Patroli
building.menu.combat_max,Tingkat tempur maksimal
building.menu.max_pain,TINGKAT NYERI MAKSIMAL
menu.patrol_sign.description,Tempat patroli untuk prajurit
building.mine,Tambang
building.noble_house,Rumah lord
building.paper_factory,Pabrik Kertas
building.slaves_barrack,Blok Penjara
building.temple.preach.doubt,Khotbah Keraguan
building.temple.preach.faith,Khotbah Iman
building.farm.pig_farm_charge_abort,Batalkan Serangan
building.farm.pig_farm_charge,Serbu dengan Rutabaga
building.gallows.crimes,Kejahatan
building.gallows.punishments,Hukuman
building.gallows.change,Ubah
building.training_field,Lapangan Latihan
building.woodcutter,Pabrik Kayu
building.workshop,Bengkel
building.gallows,Scaffold
building.market,Pasar
building.storage,Gudang
building.tavern,Kedai
building.drug_deg,Sarang Narkoba
building.rye_farm,Ladang Rye
building.hop_farm,Ladang Hop
building.swede_farm,Ladang Rutabaga
building.pig_farm,Peternakan Babi
building.mill,Penggilingan
building.alchimestry,Laboratorium Alkimia
building.melting_furnace,Tungku Peleburan
building.patrol_sign,Patroli Malam
display_event.actor_complete_action_task_on_gm,{name} telah menyelesaikan tugas - {task_name}.
display_event.actor_abort_action_task_on_gm,{name} gagal menyelesaikan tugas.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} tiba di {town_name}.
display_event.actors_married,{name_1} dan {name_2} bertunangan.
display_event.new_genius_king,Rumor: Penakluk
display_event.defence_alliance.squad_arrived,Penguatan dari {faction_name} telah tiba!
display_event.defence_alliance.squad_created,Penguatan telah dirakit dan ditempatkan di bawah komando Anda!
display_event.defence_alliance.leave.time_expired,"Masa tinggal penguatan telah berakhir, mereka akan pulang."
display_event.defence_alliance.leave.battle_finished,Penguatan telah membantu Anda dan sedang pulang.
display_event.defence_alliance.leave.defence_alliance_broken,"Aliansi Anda dengan {faction_name} telah dibubarkan, sehingga penguatan kembali pulang lebih awal."
display_event.defence_alliance.leave.no_one_is_attacking_player,Anda tidak lagi dalam ancaman - penguatan sedang pulang.
display_event.defence_alliance.leave.other_reason,Penguatan pulang lebih awal.
display_event.got_title,{name} telah diberikan gelar lord.
display_event.kid_need_title,{name} segera memerlukan gelar kepemimpinan lord yang tersedia.
display_event.storage_robbery_gold,Pencuri telah mencuri {number} emas!
display_event.squad_go_to_take_equipment,Prajurit sedang mengambil senjata mereka dari penyimpanan. Mohon tunggu sebentar...
display_event.no_servants_in_hall,Tidak ada pelayan di aula!
display_event.squad_take_all_equipment,Para prajurit bersenjata dan siap!
display_event.horde_apeears,Kemunculan Unholy Horde
display_event.horde_gossip,Rumor: Kultus sesat baru di tanah jauh
display_event.new_fraction,Kelahiran Rumah Bangsawan baru: {faction_name}
display_event.fraction_death,Kehancuran Rumah Bangsawan: {faction_name}
display_event.horde_murder_faction,Unholy Horde telah menghancurkan Rumah Bangsawan lainnya.
display_event.horde_crisis_finish,Unholy Horde telah meninggalkan tanah Norland.
display_event.forecast,Prakiraan harga diperoleh {resource}
display_event.village_tribute,{village_name}: Membayar upeti
display_event.bandits_at_the_gate,Regu musuh di sekitar!
display_event.army_at_the_gate,Regu musuh di sekitar!
display_event.enemy_attack_city,Musuh melancarkan serangan!
display_event.free_lord_expired,Kontrak lord telah berakhir.
display_event.free_lord_low_loyalty,Free lord kehilangan kesetiaan.
display_event.terror_lords,Teror di kalangan para lord!
display_event.terror_peasants,Teror di kalangan petani!
display_event.bandits_prepare_to_attack,Begal sedang mempersiapkan serangan ke kota Anda.
display_event.caravan_arrive,Holy Caravan telah tiba di kota.
display_event.free_lord_arrive,Seorang free lord menunggu untuk direkrut.
display_event.character_bleeding,Seorang karakter sedang berdarah.
display_event.fire,Api telah menyala.
display_event.slaves_hungry,Periksa di menu Ekonomi bahwa narapidana menerima makanan yang cukup.
display_event.dummy_little_beer,Periksa di menu Ekonomi bahwa karakter menerima alkohol yang cukup.
display_event.dummy_little_food,Periksa di menu Ekonomi bahwa narapidana menerima makanan yang cukup.
display_event.dummy_many_homeless,Bangun lebih banyak perumahan.
display_event.high_fanaticism_level,Khotbah Keraguan di Kuil dapat mengurangi fanatisme.
display_event.low_dummy_happiness,Perhatikan pikiran tidak bahagia yang paling sering.
display_event.not_enough_barracks,Bangun lebih banyak barak.
display_event.not_enough_equipment,"Beli peralatan dari karavan, atau buat sendiri."
display_event.not_enough_taverns,Bangun lebih banyak kedai.
display_event.not_enough_temples,Bangun lebih banyak kuil.
display_event.too_much_unemploe,"Untuk mengurangi pengangguran, turunkan suasana hati rata-rata, dan dengan demikian migrasi."
display_event.high_prices,Petani membeli barang dari Holy Caravan.
display_event.hired_soldiers_arrive,Prajurit yang direkrut telah tiba.
display_event.migrants_arrive,{number} pendatang telah tiba.
display_event.knowledge_interaction,{name} sedang mempelajari {knowledge}: {progress}%
display_event.book_writing,{name} sedang menulis buku {knowledge}: {progress}%
display_event.not_enough_knowledge_paper,Kertas tidak cukup untuk menulis buku: {name}
display_event.knowledge_too_hard_again,{name} tidak bisa lagi belajar: {knowledge}
